task,worker,label
1251376725306589184,AI_8,5
1303113292475371520,AI_8,5
1266342527654940672,AI_8,5
1214720126085414912,AI_8,1
1378965726808190976,AI_8,5
1266129458110423040,AI_8,5
1349076668351131648,AI_8,0
1349687440567640064,AI_8,0
1262070980979146752,AI_8,1
1348326738325983232,AI_8,1
1349537809695182848,AI_8,1
1314402520555454464,AI_8,1
1334229642643972096,AI_8,0
1348139374731522048,AI_8,1
1349409670235107328,AI_8,0
1227231575445843968,AI_8,0
1328768077740335104,AI_8,0
1353556388086231040,AI_8,0
1348062269100367872,AI_8,0
1349651316654661632,AI_8,1
1348494733207859200,AI_8,0
1359602690985136128,AI_8,1
1338538839711895552,AI_8,1
1325202306552324096,AI_8,1
1367553303387594752,AI_8,5
1332177205862883328,AI_8,0
1344063670473478144,AI_8,0
1344128995722481664,AI_8,0
1334884300018290688,AI_8,0
1334277204298043392,AI_8,0
1344093793109364736,AI_8,0
1244420000313565184,AI_8,5
1336772265468448768,AI_8,0
1292924682010628096,AI_8,0
1280001369278054400,AI_8,1
1348728709587603456,AI_8,0
1332328584204197888,AI_8,0
1371779483057987584,AI_8,1
1266406360486301696,AI_8,0
1273285691850416128,AI_8,0
1317255610858024960,AI_8,0
1353497827205242880,AI_8,4
1352607405486596096,AI_8,4
1331962683042779136,AI_8,0
1349124046361915392,AI_8,0
1257727831758516224,AI_8,5
1266143878849032192,AI_8,0
1347764241747611648,AI_8,1
1348340615772319744,AI_8,0
1265985138883809280,AI_8,1
1349549214305554432,AI_8,1
1274042464962314240,AI_8,5
1308663225962188800,AI_8,5
1338735827212513280,AI_8,5
1344097774237843456,AI_8,0
1326626763825246208,AI_8,0
1346934361103376384,AI_8,1
1348854655481241600,AI_8,1
1259842719851048960,AI_8,4
1350554074886889472,AI_8,0
1342209628856328192,AI_8,0
1315354065598132224,AI_8,0
1265739232888455168,AI_8,1
1332026799224664064,AI_8,0
1353514468379136000,AI_8,4
1322522049047367680,AI_8,0
1350447053831340032,AI_8,1
1261070585498685440,AI_8,1
1363904132822745088,AI_8,0
1309257049696600064,AI_8,0
1335384673934057472,AI_8,0
1336740270201778176,AI_8,0
1348143808303702016,AI_8,1
1308875882916974592,AI_8,0
1347307583284015104,AI_8,1
1347957281833545728,AI_8,4
1265994477136687104,AI_8,0
1288779881774329856,AI_8,1
1341590193631969280,AI_8,0
1266158945707495424,AI_8,1
1351615338023165952,AI_8,0
1347833160634085376,AI_8,1
1327135853509029888,AI_8,1
1321146682382422016,AI_8,5
1348952923284369408,AI_8,1
1232255650811564032,AI_8,5
1344398044100513792,AI_8,0
1338230129550647296,AI_8,1
1267987665011515392,AI_8,5
1349646467980521472,AI_8,1
1347341671638343680,AI_8,0
1342670503476158464,AI_8,0
1342588940419657728,AI_8,0
1344077276086820864,AI_8,0
1349709960180097024,AI_8,0
1334101254914465792,AI_8,0
1334766962807775232,AI_8,0
1344127902049214464,AI_8,0
1321205041491894272,AI_8,0
1343963005583843328,AI_8,0
1349587066703798272,AI_8,1
1353030341645099008,AI_8,1
1330494705998688256,AI_8,1
1351352672423731200,AI_8,1
1235667474995179520,AI_8,4
1277512823292256256,AI_8,5
1348445830227890176,AI_8,1
1380211141440204800,AI_8,0
1316834067338326016,AI_8,0
1293852305482293248,AI_8,4
1319675806939975680,AI_8,4
1347767181019381760,AI_8,1
1281659152046198784,AI_8,1
1344304564426723328,AI_8,0
1303640325781704704,AI_8,0
1344178595963564032,AI_8,0
1345184266330595328,AI_8,0
1347854954581602304,AI_8,0
1267619918666543104,AI_8,1
1348834072978731008,AI_8,0
1344066329356070912,AI_8,0
1329877250934792192,AI_8,1
1336461166403596288,AI_8,0
1347245019892232192,AI_8,1
1316777167603355648,AI_8,0
1214013637733470208,AI_8,5
1347801500295245824,AI_8,1
1349725960799719424,AI_8,1
1348995734704705536,AI_8,1
1313561856083017728,AI_8,0
1313689641233518592,AI_8,5
1350563911364472832,AI_8,1
1336928087448166400,AI_8,0
1347667314309795840,AI_8,1
1228720308279898112,AI_8,1
1321249887770521600,AI_8,5
1321239661394550784,AI_8,0
1334096660973150208,AI_8,0
1265415545882505216,AI_8,1
1316478835148419072,AI_8,0
1348028563904028672,AI_8,1
1348866438472347648,AI_8,1
1334444819918295040,AI_8,0
1237588681461911552,AI_8,0
1347991541369880576,AI_8,0
1347267833953087488,AI_8,0
1346926632272060416,AI_8,1
1342654750832160768,AI_8,0
1321721022559772672,AI_8,0
1268804904790958080,AI_8,0
1344275756705320960,AI_8,0
1317541551099269120,AI_8,5
1334571501761294336,AI_8,0
1280725897251819520,AI_8,1
1332327713386991616,AI_8,0
1326217114009690112,AI_8,0
1264217946441703424,AI_8,5
1317127308600315904,AI_8,5
1344094305326047232,AI_8,0
1352646471980437504,AI_8,1
1247208416486895616,AI_8,4
1336710160610365440,AI_8,0
1319035005398441984,AI_8,0
1334150085001744384,AI_8,0
1319726787874623488,AI_8,0
1270086686366711808,AI_8,5
1348074761591652352,AI_8,1
1266033027127431168,AI_8,0
1317447597112655872,AI_8,0
1355389583610023936,AI_8,1
1357153608761020416,AI_8,1
1349602198825496576,AI_8,5
1360803496468045824,AI_8,1
1351962379727364096,AI_8,5
1351522011974086656,AI_8,5
1342812630474514432,AI_8,0
1269470744209211392,AI_8,4
1328766894191505408,AI_8,1
1349884504928878592,AI_8,1
1317823169726697472,AI_8,0
1322044065928523776,AI_8,0
1274177329061933056,AI_8,5
1350005897855168512,AI_8,1
1290431238470279168,AI_8,5
1323813973913817088,AI_8,0
1347688164547293184,AI_8,1
1336754217516613632,AI_8,0
1345135003357777920,AI_8,0
1323731399174688768,AI_8,1
1317081250860044288,AI_8,5
1334527288017350656,AI_8,0
1349003982245486592,AI_8,0
1349033320517169152,AI_8,1
1332048382932742144,AI_8,0
1348339605016358912,AI_8,1
1347802237091729408,AI_8,0
1266626834751520768,AI_8,0
1303884452028993536,AI_8,0
1348055162116591616,AI_8,1
1228349104692047872,AI_8,0
1233217766204809216,AI_8,4
1334281376535891968,AI_8,0
1349651228842721280,AI_8,1
1265991418683838464,AI_8,1
1347812094801022976,AI_8,1
1336992658586210304,AI_8,0
1349528650530643968,AI_8,1
1348290040112312320,AI_8,1
1349056324781432832,AI_8,0
1348823524115415040,AI_8,5
1313714838640746496,AI_8,0
1376253888551124992,AI_8,4
1328089400417284096,AI_8,1
1346978777566310400,AI_8,1
1212514331503538176,AI_8,0
1345939219114385408,AI_8,0
1327022789363056640,AI_8,1
1349042130363277312,AI_8,1
1348281832375152640,AI_8,0
1311816588740395008,AI_8,5
1348028024927744000,AI_8,0
1344188060666355712,AI_8,0
1349912338497896448,AI_8,1
1373860310008926208,AI_8,1
1327827666678910976,AI_8,4
1316900383265095680,AI_8,0
1349899823244304384,AI_8,1
1337175708586663936,AI_8,5
1349901915677593600,AI_8,0
1289720600806612992,AI_8,5
1319683696534827008,AI_8,1
1341910592488046592,AI_8,0
1338324204857434112,AI_8,5
1348061459637538816,AI_8,0
1317217774372966400,AI_8,0
1273801060012851200,AI_8,0
1298420127768223744,AI_8,0
1333967670937436160,AI_8,0
1356428940609421312,AI_8,1
1346977436538433536,AI_8,1
1260559158358704128,AI_8,0
1288665114481012736,AI_8,0
1348480184274583552,AI_8,1
1347877022287208448,AI_8,1
1296236431371837440,AI_8,5
1347314040796708864,AI_8,1
1372148591029067776,AI_8,1
1348026971037585408,AI_8,1
1249341779805114368,AI_8,5
1383202556789264384,AI_8,0
1344086686607794176,AI_8,0
1347772798824013824,AI_8,1
1348356002417172480,AI_8,1
1329131894282219520,AI_8,0
1353725908348096512,AI_8,1
1336790111250489344,AI_8,0
1354366001408831488,AI_8,1
1342283819664039936,AI_8,0
1305597908511678464,AI_8,4
1344438673455030272,AI_8,0
1349367001563725824,AI_8,1
1354835929484169216,AI_8,0
1313651264702443520,AI_8,5
1266129310030589952,AI_8,0
1334140773902770176,AI_8,1
1333971908484882432,AI_8,0
1344299056839979008,AI_8,0
1288139827578376192,AI_8,0
1270762596778553344,AI_8,0
1347762078828916736,AI_8,0
1347936194856771584,AI_8,0
1347916547474518016,AI_8,0
1273542151893405696,AI_8,0
1347774260190785536,AI_8,1
1348230556689920000,AI_8,1
1348270144531869696,AI_8,0
1309329843457126400,AI_8,0
1347693724059447296,AI_8,1
1324874705631850496,AI_8,0
1347219684039553024,AI_8,1
1325004430362734592,AI_8,0
1341913771191791616,AI_8,5
1373841376408956928,AI_8,5
1355619168406499328,AI_8,1
1306604140064313344,AI_8,0
1265902978013282304,AI_8,1
1273952246057906176,AI_8,0
1317107763814699008,AI_8,0
1263510346758791168,AI_8,1
1347154429057900544,AI_8,1
1266152144526163968,AI_8,0
1344046031961526272,AI_8,0
1308747316963274752,AI_8,5
1316685871920353280,AI_8,0
1338233823004385280,AI_8,5
1348125177666703360,AI_8,1
1314651633964457984,AI_8,0
1386668939871199232,AI_8,5
1348016627887992832,AI_8,0
1334865057323376640,AI_8,0
1327713258292187136,AI_8,1
1266907489490079744,AI_8,0
1266380698870591488,AI_8,1
1344093659852115968,AI_8,0
1330297775670632448,AI_8,0
1316422299092955136,AI_8,0
1348157886447243264,AI_8,5
1274239340609245184,AI_8,5
1347802117050916864,AI_8,4
1311679351688179712,AI_8,5
1219750828333887488,AI_8,1
1317177077460848640,AI_8,0
1349906671116627968,AI_8,1
1320086267720208384,AI_8,5
1340328899599884288,AI_8,1
1344069038285058048,AI_8,0
1321440848979046400,AI_8,0
1336341435608571904,AI_8,0
1334561594504740864,AI_8,0
1331682485642665984,AI_8,0
1347817166003789824,AI_8,5
1343109041191587840,AI_8,0
1266353208450068480,AI_8,0
1321682723480678400,AI_8,0
1344081587793780736,AI_8,0
1348156851825897472,AI_8,1
1352781976168615936,AI_8,5
1279295373870317568,AI_8,4
1347579397822410752,AI_8,1
