num_ai,iteration,method,accuracy,recall,uc_count
5,0,HSDS-EM,0.8166939443535188,0.3106796116504854,-1
5,0,HSDS-MCMC(iter_sampling=3000),0.9034369885433715,0.970873786407767,114
5,0,BDS(iter_sampling=3000),0.7397708674304418,0.0,285
5,1,HSDS-EM,0.8166939443535188,0.3106796116504854,-1
5,1,HSDS-MCMC(iter_sampling=3000),0.9050736497545008,0.9805825242718447,0
5,1,BDS(iter_sampling=3000),0.9034369885433715,0.970873786407767,115
5,2,HSDS-EM,0.8166939443535188,0.3106796116504854,-1
5,2,HSDS-MCMC(iter_sampling=3000),0.9050736497545008,0.9805825242718447,0
5,2,BDS(iter_sampling=3000),0.9034369885433715,0.970873786407767,116
5,3,HSDS-EM,0.8166939443535188,0.3106796116504854,-1
5,3,HSDS-MCMC(iter_sampling=3000),0.9050736497545008,0.9805825242718447,0
5,3,BDS(iter_sampling=3000),0.7397708674304418,0.0,0
5,4,HSDS-EM,0.8166939443535188,0.3106796116504854,-1
5,4,HSDS-MCMC(iter_sampling=3000),0.9050736497545008,0.9805825242718447,0
5,4,BDS(iter_sampling=3000),0.9034369885433715,0.970873786407767,115
10,0,HSDS-EM,0.779050736497545,0.13592233009708737,-1
10,0,HSDS-MCMC(iter_sampling=3000),0.9050736497545008,0.9805825242718447,392
10,0,BDS(iter_sampling=3000),0.9050736497545008,0.9805825242718447,176
10,1,HSDS-EM,0.779050736497545,0.13592233009708737,-1
10,1,HSDS-MCMC(iter_sampling=3000),0.9050736497545008,0.9805825242718447,176
10,1,BDS(iter_sampling=3000),0.9050736497545008,0.9805825242718447,418
10,2,HSDS-EM,0.779050736497545,0.13592233009708737,-1
10,2,HSDS-MCMC(iter_sampling=3000),0.9018003273322422,0.9611650485436893,268
10,2,BDS(iter_sampling=3000),0.3993453355155483,0.8252427184466019,415
10,3,HSDS-EM,0.779050736497545,0.13592233009708737,-1
10,3,HSDS-MCMC(iter_sampling=3000),0.9050736497545008,0.9805825242718447,176
10,3,BDS(iter_sampling=3000),0.9050736497545008,0.9805825242718447,671
10,4,HSDS-EM,0.779050736497545,0.13592233009708737,-1
10,4,HSDS-MCMC(iter_sampling=3000),0.9050736497545008,0.9805825242718447,0
10,4,BDS(iter_sampling=3000),0.7397708674304418,0.0,414
