num_ai,iteration,method,accuracy,recall
5,0,CBCC_M=2,0.9067103109656302,1.0
5,0,CBCC_M=4,0.9067103109656302,1.0
5,0,CBCC_M=8,0.9067103109656302,1.0
5,1,CBCC_M=2,0.9067103109656302,1.0
5,1,CBCC_M=4,0.9067103109656302,1.0
5,1,CBCC_M=8,0.9067103109656302,1.0
5,2,CBCC_M=2,0.9067103109656302,1.0
5,2,CBCC_M=4,0.9067103109656302,1.0
5,2,CBCC_M=8,0.9067103109656302,1.0
5,3,CBCC_M=2,0.9067103109656302,1.0
5,3,CBCC_M=4,0.9067103109656302,1.0
5,3,CBCC_M=8,0.9067103109656302,1.0
5,4,CBCC_M=2,0.9067103109656302,1.0
5,4,CBCC_M=4,0.9067103109656302,1.0
5,4,CBCC_M=8,0.9067103109656302,1.0
10,0,CBCC_M=2,0.9050736497545008,0.9805825242718447
10,0,CBCC_M=4,0.9050736497545008,0.9805825242718447
10,0,CBCC_M=8,0.9050736497545008,0.9805825242718447
10,1,CBCC_M=2,0.9050736497545008,0.9805825242718447
10,1,CBCC_M=4,0.9050736497545008,0.9805825242718447
10,1,CBCC_M=8,0.9050736497545008,0.9805825242718447
10,2,CBCC_M=2,0.9050736497545008,0.9805825242718447
10,2,CBCC_M=4,0.9050736497545008,0.9805825242718447
10,2,CBCC_M=8,0.9050736497545008,0.9805825242718447
10,3,CBCC_M=2,0.9050736497545008,0.9805825242718447
10,3,CBCC_M=4,0.9050736497545008,0.9805825242718447
10,3,CBCC_M=8,0.9050736497545008,0.9805825242718447
10,4,CBCC_M=2,0.9050736497545008,0.9805825242718447
10,4,CBCC_M=4,0.9050736497545008,0.9805825242718447
10,4,CBCC_M=8,0.9050736497545008,0.9805825242718447
0,0,CBCC_M=2,0.8919803600654664,0.7281553398058253
0,0,CBCC_M=4,0.8919803600654664,0.7281553398058253
0,0,CBCC_M=8,0.8887070376432079,0.7281553398058253
0,1,CBCC_M=2,0.8919803600654664,0.7281553398058253
0,1,CBCC_M=4,0.8919803600654664,0.7281553398058253
0,1,CBCC_M=8,0.88379705400982,0.7378640776699029
0,2,CBCC_M=2,0.8919803600654664,0.7281553398058253
0,2,CBCC_M=4,0.8919803600654664,0.7281553398058253
0,2,CBCC_M=8,0.8919803600654664,0.7281553398058253
0,3,CBCC_M=2,0.8919803600654664,0.7281553398058253
0,3,CBCC_M=4,0.8887070376432079,0.7281553398058253
0,3,CBCC_M=8,0.8887070376432079,0.7281553398058253
0,4,CBCC_M=2,0.8919803600654664,0.7281553398058253
0,4,CBCC_M=4,0.8919803600654664,0.7281553398058253
0,4,CBCC_M=8,0.8919803600654664,0.7281553398058253
