task,worker,label
t27,AI_-sigma_8,2
t542,AI_-sigma_8,2
t544,AI_-sigma_8,2
t569,AI_-sigma_8,2
t225,AI_-sigma_8,1
t655,AI_-sigma_8,2
t827,AI_-sigma_8,0
t1040,AI_-sigma_8,2
t20,AI_-sigma_8,1
t699,AI_-sigma_8,2
t812,AI_-sigma_8,4
t681,AI_-sigma_8,4
t360,AI_-sigma_8,1
t328,AI_-sigma_8,2
t908,AI_-sigma_8,0
t732,AI_-sigma_8,4
t97,AI_-sigma_8,2
t860,AI_-sigma_8,2
t817,AI_-sigma_8,2
t821,AI_-sigma_8,4
t822,AI_-sigma_8,2
t43,AI_-sigma_8,2
t284,AI_-sigma_8,2
t381,AI_-sigma_8,2
t21,AI_-sigma_8,2
t541,AI_-sigma_8,4
t995,AI_-sigma_8,0
t380,AI_-sigma_8,3
t750,AI_-sigma_8,0
t180,AI_-sigma_8,4
t322,AI_-sigma_8,0
t98,AI_-sigma_8,0
t395,AI_-sigma_8,4
t100,AI_-sigma_8,4
t1039,AI_-sigma_8,4
t1042,AI_-sigma_8,2
t685,AI_-sigma_8,2
t62,AI_-sigma_8,3
t309,AI_-sigma_8,2
t640,AI_-sigma_8,3
t509,AI_-sigma_8,1
t425,AI_-sigma_8,2
t776,AI_-sigma_8,0
t238,AI_-sigma_8,2
t730,AI_-sigma_8,2
t419,AI_-sigma_8,1
t131,AI_-sigma_8,2
t579,AI_-sigma_8,1
t171,AI_-sigma_8,2
t524,AI_-sigma_8,1
t713,AI_-sigma_8,2
t696,AI_-sigma_8,4
t4,AI_-sigma_8,2
t584,AI_-sigma_8,3
t353,AI_-sigma_8,4
t890,AI_-sigma_8,2
t482,AI_-sigma_8,1
t248,AI_-sigma_8,3
t25,AI_-sigma_8,3
t494,AI_-sigma_8,1
t839,AI_-sigma_8,4
t969,AI_-sigma_8,0
t29,AI_-sigma_8,2
t806,AI_-sigma_8,4
t978,AI_-sigma_8,1
t119,AI_-sigma_8,4
t796,AI_-sigma_8,3
t606,AI_-sigma_8,2
t314,AI_-sigma_8,2
t782,AI_-sigma_8,0
t69,AI_-sigma_8,3
t199,AI_-sigma_8,3
t427,AI_-sigma_8,0
t173,AI_-sigma_8,2
t941,AI_-sigma_8,0
t489,AI_-sigma_8,2
t804,AI_-sigma_8,2
t183,AI_-sigma_8,2
t945,AI_-sigma_8,2
t107,AI_-sigma_8,4
t834,AI_-sigma_8,1
t891,AI_-sigma_8,2
t430,AI_-sigma_8,3
t835,AI_-sigma_8,2
t555,AI_-sigma_8,0
t181,AI_-sigma_8,2
t12,AI_-sigma_8,1
t999,AI_-sigma_8,1
t926,AI_-sigma_8,4
t281,AI_-sigma_8,3
t706,AI_-sigma_8,2
t986,AI_-sigma_8,4
t102,AI_-sigma_8,4
t918,AI_-sigma_8,4
t456,AI_-sigma_8,4
t886,AI_-sigma_8,4
t125,AI_-sigma_8,2
t370,AI_-sigma_8,2
t446,AI_-sigma_8,2
t86,AI_-sigma_8,2
t277,AI_-sigma_8,3
t481,AI_-sigma_8,4
t346,AI_-sigma_8,2
t58,AI_-sigma_8,2
t63,AI_-sigma_8,0
t120,AI_-sigma_8,3
t196,AI_-sigma_8,2
t892,AI_-sigma_8,3
t1049,AI_-sigma_8,4
t214,AI_-sigma_8,2
t400,AI_-sigma_8,3
t979,AI_-sigma_8,2
t319,AI_-sigma_8,2
t636,AI_-sigma_8,1
t669,AI_-sigma_8,4
t303,AI_-sigma_8,4
t582,AI_-sigma_8,2
t335,AI_-sigma_8,4
t985,AI_-sigma_8,4
t376,AI_-sigma_8,0
t808,AI_-sigma_8,4
t170,AI_-sigma_8,4
t649,AI_-sigma_8,2
t358,AI_-sigma_8,2
t870,AI_-sigma_8,4
t50,AI_-sigma_8,3
t989,AI_-sigma_8,3
t189,AI_-sigma_8,3
t526,AI_-sigma_8,2
t885,AI_-sigma_8,4
t625,AI_-sigma_8,4
t141,AI_-sigma_8,2
t156,AI_-sigma_8,2
t453,AI_-sigma_8,2
t318,AI_-sigma_8,2
t426,AI_-sigma_8,4
t563,AI_-sigma_8,2
t373,AI_-sigma_8,2
t72,AI_-sigma_8,0
t547,AI_-sigma_8,4
t740,AI_-sigma_8,2
t363,AI_-sigma_8,4
t694,AI_-sigma_8,2
t578,AI_-sigma_8,2
t710,AI_-sigma_8,2
t490,AI_-sigma_8,3
t26,AI_-sigma_8,1
t271,AI_-sigma_8,4
t884,AI_-sigma_8,0
t840,AI_-sigma_8,0
t82,AI_-sigma_8,1
t680,AI_-sigma_8,2
t213,AI_-sigma_8,2
t129,AI_-sigma_8,0
t905,AI_-sigma_8,2
t1037,AI_-sigma_8,2
t116,AI_-sigma_8,2
t755,AI_-sigma_8,1
t450,AI_-sigma_8,2
t486,AI_-sigma_8,0
t1010,AI_-sigma_8,4
t81,AI_-sigma_8,4
t288,AI_-sigma_8,4
t733,AI_-sigma_8,4
t305,AI_-sigma_8,2
t241,AI_-sigma_8,1
t460,AI_-sigma_8,3
t567,AI_-sigma_8,0
t819,AI_-sigma_8,2
t345,AI_-sigma_8,4
t136,AI_-sigma_8,3
t774,AI_-sigma_8,3
t803,AI_-sigma_8,2
t413,AI_-sigma_8,4
t953,AI_-sigma_8,4
t359,AI_-sigma_8,2
t371,AI_-sigma_8,1
t581,AI_-sigma_8,2
t261,AI_-sigma_8,3
t95,AI_-sigma_8,2
t1015,AI_-sigma_8,3
t784,AI_-sigma_8,3
t783,AI_-sigma_8,4
t650,AI_-sigma_8,2
t851,AI_-sigma_8,0
t263,AI_-sigma_8,4
t174,AI_-sigma_8,1
t11,AI_-sigma_8,1
t1016,AI_-sigma_8,2
t588,AI_-sigma_8,0
t546,AI_-sigma_8,1
t638,AI_-sigma_8,2
t525,AI_-sigma_8,3
t33,AI_-sigma_8,4
t246,AI_-sigma_8,4
t549,AI_-sigma_8,2
t139,AI_-sigma_8,4
t618,AI_-sigma_8,2
t463,AI_-sigma_8,2
t508,AI_-sigma_8,2
t338,AI_-sigma_8,0
t117,AI_-sigma_8,1
t386,AI_-sigma_8,1
t1036,AI_-sigma_8,2
t668,AI_-sigma_8,2
t976,AI_-sigma_8,3
t586,AI_-sigma_8,2
t423,AI_-sigma_8,4
t1031,AI_-sigma_8,4
t202,AI_-sigma_8,1
t220,AI_-sigma_8,1
t502,AI_-sigma_8,4
t222,AI_-sigma_8,2
t488,AI_-sigma_8,2
t250,AI_-sigma_8,1
t188,AI_-sigma_8,0
t545,AI_-sigma_8,3
t336,AI_-sigma_8,2
t422,AI_-sigma_8,2
t949,AI_-sigma_8,2
t639,AI_-sigma_8,1
t876,AI_-sigma_8,2
t369,AI_-sigma_8,2
t676,AI_-sigma_8,3
t660,AI_-sigma_8,3
t496,AI_-sigma_8,1
t148,AI_-sigma_8,2
t532,AI_-sigma_8,4
t591,AI_-sigma_8,4
t40,AI_-sigma_8,4
t824,AI_-sigma_8,2
t285,AI_-sigma_8,4
t103,AI_-sigma_8,4
t854,AI_-sigma_8,4
t865,AI_-sigma_8,0
t1029,AI_-sigma_8,4
t168,AI_-sigma_8,3
t60,AI_-sigma_8,4
t570,AI_-sigma_8,2
t448,AI_-sigma_8,2
t402,AI_-sigma_8,4
t704,AI_-sigma_8,4
t879,AI_-sigma_8,3
t777,AI_-sigma_8,4
t1000,AI_-sigma_8,2
t36,AI_-sigma_8,1
t159,AI_-sigma_8,2
t980,AI_-sigma_8,4
t480,AI_-sigma_8,1
t1,AI_-sigma_8,0
t374,AI_-sigma_8,1
t1028,AI_-sigma_8,1
t596,AI_-sigma_8,2
t789,AI_-sigma_8,1
t657,AI_-sigma_8,4
t194,AI_-sigma_8,2
t112,AI_-sigma_8,3
t344,AI_-sigma_8,1
t815,AI_-sigma_8,1
t693,AI_-sigma_8,1
t93,AI_-sigma_8,2
t747,AI_-sigma_8,3
t622,AI_-sigma_8,1
t503,AI_-sigma_8,2
t643,AI_-sigma_8,2
t595,AI_-sigma_8,4
t705,AI_-sigma_8,2
t479,AI_-sigma_8,4
