task,worker,label
t27,AI_max_2,2
t542,AI_max_2,4
t544,AI_max_2,2
t569,AI_max_2,2
t225,AI_max_2,2
t655,AI_max_2,4
t827,AI_max_2,2
t1040,AI_max_2,2
t20,AI_max_2,1
t699,AI_max_2,2
t812,AI_max_2,4
t681,AI_max_2,2
t360,AI_max_2,2
t328,AI_max_2,1
t908,AI_max_2,2
t732,AI_max_2,4
t97,AI_max_2,2
t860,AI_max_2,2
t817,AI_max_2,2
t821,AI_max_2,4
t822,AI_max_2,4
t43,AI_max_2,2
t284,AI_max_2,2
t381,AI_max_2,1
t21,AI_max_2,4
t541,AI_max_2,4
t995,AI_max_2,2
t380,AI_max_2,3
t750,AI_max_2,2
t180,AI_max_2,4
t322,AI_max_2,2
t98,AI_max_2,4
t395,AI_max_2,4
t100,AI_max_2,2
t1039,AI_max_2,1
t1042,AI_max_2,2
t685,AI_max_2,2
t62,AI_max_2,4
t309,AI_max_2,1
t640,AI_max_2,2
t509,AI_max_2,3
t425,AI_max_2,2
t776,AI_max_2,2
t238,AI_max_2,2
t730,AI_max_2,2
t419,AI_max_2,1
t131,AI_max_2,2
t579,AI_max_2,2
t171,AI_max_2,2
t524,AI_max_2,2
t713,AI_max_2,2
t696,AI_max_2,2
t4,AI_max_2,2
t584,AI_max_2,2
t353,AI_max_2,4
t890,AI_max_2,2
t482,AI_max_2,4
t248,AI_max_2,4
t25,AI_max_2,2
t494,AI_max_2,2
t839,AI_max_2,2
t969,AI_max_2,2
t29,AI_max_2,2
t806,AI_max_2,4
t978,AI_max_2,1
t119,AI_max_2,4
t796,AI_max_2,2
t606,AI_max_2,1
t314,AI_max_2,1
t782,AI_max_2,2
t69,AI_max_2,3
t199,AI_max_2,2
t427,AI_max_2,2
t173,AI_max_2,2
t941,AI_max_2,2
t489,AI_max_2,2
t804,AI_max_2,2
t183,AI_max_2,3
t945,AI_max_2,2
t107,AI_max_2,4
t834,AI_max_2,4
t891,AI_max_2,2
t430,AI_max_2,2
t835,AI_max_2,2
t555,AI_max_2,4
t181,AI_max_2,2
t12,AI_max_2,1
t999,AI_max_2,2
t926,AI_max_2,4
t281,AI_max_2,4
t706,AI_max_2,2
t986,AI_max_2,3
t102,AI_max_2,4
t918,AI_max_2,2
t456,AI_max_2,4
t886,AI_max_2,4
t125,AI_max_2,2
t370,AI_max_2,2
t446,AI_max_2,4
t86,AI_max_2,2
t277,AI_max_2,3
t481,AI_max_2,4
t346,AI_max_2,2
t58,AI_max_2,2
t63,AI_max_2,2
t120,AI_max_2,3
t196,AI_max_2,2
t892,AI_max_2,3
t1049,AI_max_2,4
t214,AI_max_2,2
t400,AI_max_2,3
t979,AI_max_2,2
t319,AI_max_2,2
t636,AI_max_2,2
t669,AI_max_2,2
t303,AI_max_2,1
t582,AI_max_2,2
t335,AI_max_2,4
t985,AI_max_2,4
t376,AI_max_2,2
t808,AI_max_2,2
t170,AI_max_2,4
t649,AI_max_2,2
t358,AI_max_2,2
t870,AI_max_2,4
t50,AI_max_2,2
t989,AI_max_2,2
t189,AI_max_2,1
t526,AI_max_2,2
t885,AI_max_2,4
t625,AI_max_2,4
t141,AI_max_2,4
t156,AI_max_2,2
t453,AI_max_2,2
t318,AI_max_2,1
