task,worker,label
t27,AI_mean_12,2
t542,AI_mean_12,4
t544,AI_mean_12,2
t569,AI_mean_12,2
t225,AI_mean_12,2
t655,AI_mean_12,4
t827,AI_mean_12,2
t1040,AI_mean_12,2
t20,AI_mean_12,1
t699,AI_mean_12,2
t812,AI_mean_12,4
t681,AI_mean_12,2
t360,AI_mean_12,2
t328,AI_mean_12,4
t908,AI_mean_12,2
t732,AI_mean_12,4
t97,AI_mean_12,2
t860,AI_mean_12,2
t817,AI_mean_12,2
t821,AI_mean_12,4
t822,AI_mean_12,4
t43,AI_mean_12,2
t284,AI_mean_12,2
t381,AI_mean_12,4
t21,AI_mean_12,4
t541,AI_mean_12,4
t995,AI_mean_12,2
t380,AI_mean_12,3
t750,AI_mean_12,2
t180,AI_mean_12,4
t322,AI_mean_12,2
t98,AI_mean_12,4
t395,AI_mean_12,4
t100,AI_mean_12,2
t1039,AI_mean_12,4
t1042,AI_mean_12,2
t685,AI_mean_12,2
t62,AI_mean_12,4
t309,AI_mean_12,4
t640,AI_mean_12,2
t509,AI_mean_12,3
t425,AI_mean_12,1
t776,AI_mean_12,2
t238,AI_mean_12,2
t730,AI_mean_12,2
t419,AI_mean_12,1
t131,AI_mean_12,2
t579,AI_mean_12,2
t171,AI_mean_12,2
t524,AI_mean_12,2
t713,AI_mean_12,2
t696,AI_mean_12,2
t4,AI_mean_12,2
t584,AI_mean_12,2
t353,AI_mean_12,4
t890,AI_mean_12,2
t482,AI_mean_12,4
t248,AI_mean_12,4
t25,AI_mean_12,2
t494,AI_mean_12,2
t839,AI_mean_12,2
t969,AI_mean_12,2
t29,AI_mean_12,2
t806,AI_mean_12,3
t978,AI_mean_12,1
t119,AI_mean_12,2
t796,AI_mean_12,2
t606,AI_mean_12,4
t314,AI_mean_12,1
t782,AI_mean_12,2
t69,AI_mean_12,3
t199,AI_mean_12,2
t427,AI_mean_12,2
t173,AI_mean_12,2
t941,AI_mean_12,2
t489,AI_mean_12,2
t804,AI_mean_12,2
t183,AI_mean_12,3
t945,AI_mean_12,2
t107,AI_mean_12,4
t834,AI_mean_12,4
t891,AI_mean_12,2
t430,AI_mean_12,2
t835,AI_mean_12,2
t555,AI_mean_12,4
t181,AI_mean_12,2
t12,AI_mean_12,4
t999,AI_mean_12,2
t926,AI_mean_12,4
t281,AI_mean_12,4
t706,AI_mean_12,2
t986,AI_mean_12,3
t102,AI_mean_12,4
t918,AI_mean_12,2
t456,AI_mean_12,4
t886,AI_mean_12,4
t125,AI_mean_12,2
t370,AI_mean_12,2
t446,AI_mean_12,4
t86,AI_mean_12,2
t277,AI_mean_12,3
t481,AI_mean_12,4
t346,AI_mean_12,2
t58,AI_mean_12,2
t63,AI_mean_12,2
t120,AI_mean_12,3
t196,AI_mean_12,2
t892,AI_mean_12,3
t1049,AI_mean_12,4
t214,AI_mean_12,2
t400,AI_mean_12,3
t979,AI_mean_12,2
t319,AI_mean_12,2
t636,AI_mean_12,2
t669,AI_mean_12,2
t303,AI_mean_12,4
t582,AI_mean_12,1
t335,AI_mean_12,4
t985,AI_mean_12,4
t376,AI_mean_12,2
t808,AI_mean_12,2
t170,AI_mean_12,4
t649,AI_mean_12,2
t358,AI_mean_12,0
t870,AI_mean_12,4
t50,AI_mean_12,2
t989,AI_mean_12,2
t189,AI_mean_12,4
t526,AI_mean_12,2
t885,AI_mean_12,4
t625,AI_mean_12,4
