task,worker,label
344,AI_mean_17,2
345,AI_mean_17,1
346,AI_mean_17,2
347,AI_mean_17,1
340,AI_mean_17,1
341,AI_mean_17,3
342,AI_mean_17,3
343,AI_mean_17,1
348,AI_mean_17,2
349,AI_mean_17,3
595,AI_mean_17,3
719,AI_mean_17,2
718,AI_mean_17,2
717,AI_mean_17,3
716,AI_mean_17,1
715,AI_mean_17,3
714,AI_mean_17,1
713,AI_mean_17,3
712,AI_mean_17,3
711,AI_mean_17,1
710,AI_mean_17,3
606,AI_mean_17,1
594,AI_mean_17,2
736,AI_mean_17,2
619,AI_mean_17,1
298,AI_mean_17,2
299,AI_mean_17,2
296,AI_mean_17,2
297,AI_mean_17,2
294,AI_mean_17,2
295,AI_mean_17,2
292,AI_mean_17,2
293,AI_mean_17,3
290,AI_mean_17,1
291,AI_mean_17,3
591,AI_mean_17,1
590,AI_mean_17,2
593,AI_mean_17,1
592,AI_mean_17,2
199,AI_mean_17,3
198,AI_mean_17,2
597,AI_mean_17,2
596,AI_mean_17,1
195,AI_mean_17,3
194,AI_mean_17,2
197,AI_mean_17,2
196,AI_mean_17,3
191,AI_mean_17,1
190,AI_mean_17,3
193,AI_mean_17,3
192,AI_mean_17,3
270,AI_mean_17,2
271,AI_mean_17,3
272,AI_mean_17,3
273,AI_mean_17,1
274,AI_mean_17,2
275,AI_mean_17,1
276,AI_mean_17,2
277,AI_mean_17,2
278,AI_mean_17,2
279,AI_mean_17,1
738,AI_mean_17,3
524,AI_mean_17,1
525,AI_mean_17,1
526,AI_mean_17,2
527,AI_mean_17,3
520,AI_mean_17,2
521,AI_mean_17,2
522,AI_mean_17,2
523,AI_mean_17,2
599,AI_mean_17,2
528,AI_mean_17,3
529,AI_mean_17,2
449,AI_mean_17,3
448,AI_mean_17,2
443,AI_mean_17,2
442,AI_mean_17,3
441,AI_mean_17,3
440,AI_mean_17,2
447,AI_mean_17,2
446,AI_mean_17,2
445,AI_mean_17,2
444,AI_mean_17,1
108,AI_mean_17,2
109,AI_mean_17,3
102,AI_mean_17,1
103,AI_mean_17,1
100,AI_mean_17,2
101,AI_mean_17,2
106,AI_mean_17,3
107,AI_mean_17,0
104,AI_mean_17,2
105,AI_mean_17,1
39,AI_mean_17,3
38,AI_mean_17,2
33,AI_mean_17,2
32,AI_mean_17,2
31,AI_mean_17,2
30,AI_mean_17,1
37,AI_mean_17,3
36,AI_mean_17,3
35,AI_mean_17,3
34,AI_mean_17,2
641,AI_mean_17,2
640,AI_mean_17,2
643,AI_mean_17,1
642,AI_mean_17,2
645,AI_mean_17,2
644,AI_mean_17,1
438,AI_mean_17,3
439,AI_mean_17,1
436,AI_mean_17,3
437,AI_mean_17,3
434,AI_mean_17,1
435,AI_mean_17,2
432,AI_mean_17,2
433,AI_mean_17,2
430,AI_mean_17,3
431,AI_mean_17,3
339,AI_mean_17,2
338,AI_mean_17,2
335,AI_mean_17,3
334,AI_mean_17,3
337,AI_mean_17,3
336,AI_mean_17,2
331,AI_mean_17,3
330,AI_mean_17,2
333,AI_mean_17,2
332,AI_mean_17,2
744,AI_mean_17,2
745,AI_mean_17,3
748,AI_mean_17,1
6,AI_mean_17,2
99,AI_mean_17,2
98,AI_mean_17,2
91,AI_mean_17,1
90,AI_mean_17,1
93,AI_mean_17,2
92,AI_mean_17,0
95,AI_mean_17,1
94,AI_mean_17,3
97,AI_mean_17,1
96,AI_mean_17,2
740,AI_mean_17,1
741,AI_mean_17,2
742,AI_mean_17,2
743,AI_mean_17,1
559,AI_mean_17,1
558,AI_mean_17,3
746,AI_mean_17,3
747,AI_mean_17,1
555,AI_mean_17,2
554,AI_mean_17,2
557,AI_mean_17,3
556,AI_mean_17,2
551,AI_mean_17,2
550,AI_mean_17,2
553,AI_mean_17,2
552,AI_mean_17,2
238,AI_mean_17,2
239,AI_mean_17,1
234,AI_mean_17,1
235,AI_mean_17,2
236,AI_mean_17,2
237,AI_mean_17,1
230,AI_mean_17,1
231,AI_mean_17,1
232,AI_mean_17,3
233,AI_mean_17,1
1,AI_mean_17,3
614,AI_mean_17,2
146,AI_mean_17,1
147,AI_mean_17,3
144,AI_mean_17,1
145,AI_mean_17,2
142,AI_mean_17,2
