task,worker,label
344,AI_-sigma_7,3
345,AI_-sigma_7,1
346,AI_-sigma_7,2
347,AI_-sigma_7,1
340,AI_-sigma_7,1
341,AI_-sigma_7,0
342,AI_-sigma_7,3
343,AI_-sigma_7,2
348,AI_-sigma_7,1
349,AI_-sigma_7,0
595,AI_-sigma_7,3
719,AI_-sigma_7,3
718,AI_-sigma_7,3
717,AI_-sigma_7,3
716,AI_-sigma_7,1
715,AI_-sigma_7,1
714,AI_-sigma_7,0
713,AI_-sigma_7,3
712,AI_-sigma_7,3
711,AI_-sigma_7,2
710,AI_-sigma_7,3
606,AI_-sigma_7,2
594,AI_-sigma_7,3
736,AI_-sigma_7,2
619,AI_-sigma_7,1
298,AI_-sigma_7,3
299,AI_-sigma_7,3
296,AI_-sigma_7,3
297,AI_-sigma_7,3
294,AI_-sigma_7,2
295,AI_-sigma_7,3
292,AI_-sigma_7,2
293,AI_-sigma_7,3
290,AI_-sigma_7,1
291,AI_-sigma_7,2
591,AI_-sigma_7,2
590,AI_-sigma_7,3
593,AI_-sigma_7,1
592,AI_-sigma_7,3
199,AI_-sigma_7,3
198,AI_-sigma_7,2
597,AI_-sigma_7,2
596,AI_-sigma_7,1
195,AI_-sigma_7,3
194,AI_-sigma_7,3
197,AI_-sigma_7,3
196,AI_-sigma_7,3
191,AI_-sigma_7,1
190,AI_-sigma_7,1
193,AI_-sigma_7,0
192,AI_-sigma_7,3
270,AI_-sigma_7,3
271,AI_-sigma_7,3
272,AI_-sigma_7,3
273,AI_-sigma_7,3
274,AI_-sigma_7,2
275,AI_-sigma_7,0
276,AI_-sigma_7,0
277,AI_-sigma_7,1
278,AI_-sigma_7,2
279,AI_-sigma_7,3
738,AI_-sigma_7,3
524,AI_-sigma_7,3
525,AI_-sigma_7,1
526,AI_-sigma_7,3
527,AI_-sigma_7,3
520,AI_-sigma_7,3
521,AI_-sigma_7,0
522,AI_-sigma_7,2
523,AI_-sigma_7,2
599,AI_-sigma_7,0
528,AI_-sigma_7,3
529,AI_-sigma_7,2
449,AI_-sigma_7,3
448,AI_-sigma_7,2
443,AI_-sigma_7,3
442,AI_-sigma_7,3
441,AI_-sigma_7,2
440,AI_-sigma_7,0
447,AI_-sigma_7,3
446,AI_-sigma_7,3
445,AI_-sigma_7,0
444,AI_-sigma_7,1
108,AI_-sigma_7,3
109,AI_-sigma_7,1
102,AI_-sigma_7,1
103,AI_-sigma_7,1
100,AI_-sigma_7,1
101,AI_-sigma_7,0
106,AI_-sigma_7,3
107,AI_-sigma_7,3
104,AI_-sigma_7,2
105,AI_-sigma_7,1
39,AI_-sigma_7,3
38,AI_-sigma_7,2
33,AI_-sigma_7,3
32,AI_-sigma_7,1
31,AI_-sigma_7,1
30,AI_-sigma_7,0
37,AI_-sigma_7,2
36,AI_-sigma_7,3
35,AI_-sigma_7,3
34,AI_-sigma_7,3
641,AI_-sigma_7,2
640,AI_-sigma_7,2
643,AI_-sigma_7,1
642,AI_-sigma_7,3
645,AI_-sigma_7,2
644,AI_-sigma_7,1
438,AI_-sigma_7,3
439,AI_-sigma_7,1
436,AI_-sigma_7,3
437,AI_-sigma_7,3
434,AI_-sigma_7,1
435,AI_-sigma_7,3
432,AI_-sigma_7,1
433,AI_-sigma_7,3
430,AI_-sigma_7,3
431,AI_-sigma_7,1
339,AI_-sigma_7,2
338,AI_-sigma_7,0
335,AI_-sigma_7,1
334,AI_-sigma_7,3
337,AI_-sigma_7,3
336,AI_-sigma_7,3
331,AI_-sigma_7,3
330,AI_-sigma_7,3
333,AI_-sigma_7,3
332,AI_-sigma_7,2
744,AI_-sigma_7,2
745,AI_-sigma_7,2
748,AI_-sigma_7,3
6,AI_-sigma_7,2
99,AI_-sigma_7,2
98,AI_-sigma_7,2
91,AI_-sigma_7,1
90,AI_-sigma_7,3
93,AI_-sigma_7,2
92,AI_-sigma_7,3
95,AI_-sigma_7,1
94,AI_-sigma_7,2
97,AI_-sigma_7,1
96,AI_-sigma_7,2
740,AI_-sigma_7,1
741,AI_-sigma_7,1
742,AI_-sigma_7,2
743,AI_-sigma_7,1
559,AI_-sigma_7,0
558,AI_-sigma_7,3
746,AI_-sigma_7,1
747,AI_-sigma_7,1
555,AI_-sigma_7,0
554,AI_-sigma_7,2
557,AI_-sigma_7,3
556,AI_-sigma_7,2
551,AI_-sigma_7,1
550,AI_-sigma_7,2
553,AI_-sigma_7,2
552,AI_-sigma_7,2
238,AI_-sigma_7,2
239,AI_-sigma_7,1
234,AI_-sigma_7,3
235,AI_-sigma_7,2
236,AI_-sigma_7,0
237,AI_-sigma_7,1
230,AI_-sigma_7,1
231,AI_-sigma_7,1
232,AI_-sigma_7,3
233,AI_-sigma_7,2
1,AI_-sigma_7,3
614,AI_-sigma_7,2
146,AI_-sigma_7,1
147,AI_-sigma_7,3
144,AI_-sigma_7,1
145,AI_-sigma_7,3
142,AI_-sigma_7,0
143,AI_-sigma_7,3
140,AI_-sigma_7,3
141,AI_-sigma_7,3
612,AI_-sigma_7,3
613,AI_-sigma_7,3
610,AI_-sigma_7,1
611,AI_-sigma_7,3
616,AI_-sigma_7,3
617,AI_-sigma_7,0
148,AI_-sigma_7,2
149,AI_-sigma_7,1
768,AI_-sigma_7,2
689,AI_-sigma_7,3
688,AI_-sigma_7,3
685,AI_-sigma_7,1
684,AI_-sigma_7,3
687,AI_-sigma_7,3
686,AI_-sigma_7,3
681,AI_-sigma_7,1
680,AI_-sigma_7,3
683,AI_-sigma_7,2
682,AI_-sigma_7,0
623,AI_-sigma_7,2
622,AI_-sigma_7,2
133,AI_-sigma_7,3
132,AI_-sigma_7,0
131,AI_-sigma_7,3
130,AI_-sigma_7,1
137,AI_-sigma_7,2
136,AI_-sigma_7,2
135,AI_-sigma_7,2
134,AI_-sigma_7,3
494,AI_-sigma_7,2
495,AI_-sigma_7,0
139,AI_-sigma_7,0
138,AI_-sigma_7,1
490,AI_-sigma_7,3
491,AI_-sigma_7,3
492,AI_-sigma_7,2
493,AI_-sigma_7,1
24,AI_-sigma_7,0
25,AI_-sigma_7,0
26,AI_-sigma_7,3
27,AI_-sigma_7,2
20,AI_-sigma_7,1
21,AI_-sigma_7,2
22,AI_-sigma_7,3
23,AI_-sigma_7,3
28,AI_-sigma_7,2
29,AI_-sigma_7,0
407,AI_-sigma_7,0
