task,worker,label
344,AI_max_18,2
345,AI_max_18,1
346,AI_max_18,2
347,AI_max_18,1
340,AI_max_18,1
341,AI_max_18,3
342,AI_max_18,3
343,AI_max_18,1
348,AI_max_18,2
349,AI_max_18,1
595,AI_max_18,3
719,AI_max_18,2
718,AI_max_18,2
717,AI_max_18,3
716,AI_max_18,1
715,AI_max_18,3
714,AI_max_18,1
713,AI_max_18,3
712,AI_max_18,3
711,AI_max_18,1
710,AI_max_18,3
606,AI_max_18,1
594,AI_max_18,2
736,AI_max_18,2
619,AI_max_18,1
298,AI_max_18,2
299,AI_max_18,2
296,AI_max_18,2
297,AI_max_18,2
294,AI_max_18,2
295,AI_max_18,2
292,AI_max_18,2
293,AI_max_18,3
290,AI_max_18,1
291,AI_max_18,3
591,AI_max_18,1
590,AI_max_18,2
593,AI_max_18,1
592,AI_max_18,2
199,AI_max_18,3
198,AI_max_18,2
597,AI_max_18,2
596,AI_max_18,1
195,AI_max_18,3
194,AI_max_18,2
197,AI_max_18,3
196,AI_max_18,3
191,AI_max_18,1
190,AI_max_18,3
193,AI_max_18,3
192,AI_max_18,3
270,AI_max_18,3
271,AI_max_18,3
272,AI_max_18,3
273,AI_max_18,3
274,AI_max_18,2
275,AI_max_18,1
276,AI_max_18,2
277,AI_max_18,2
278,AI_max_18,2
279,AI_max_18,1
738,AI_max_18,3
524,AI_max_18,3
525,AI_max_18,1
526,AI_max_18,2
527,AI_max_18,3
520,AI_max_18,2
521,AI_max_18,2
522,AI_max_18,2
523,AI_max_18,2
599,AI_max_18,2
528,AI_max_18,3
529,AI_max_18,2
449,AI_max_18,3
448,AI_max_18,2
443,AI_max_18,2
442,AI_max_18,3
441,AI_max_18,3
440,AI_max_18,2
447,AI_max_18,2
446,AI_max_18,3
445,AI_max_18,2
444,AI_max_18,1
108,AI_max_18,2
109,AI_max_18,1
102,AI_max_18,1
103,AI_max_18,1
100,AI_max_18,2
101,AI_max_18,2
106,AI_max_18,3
107,AI_max_18,3
104,AI_max_18,2
105,AI_max_18,1
39,AI_max_18,3
38,AI_max_18,2
33,AI_max_18,2
32,AI_max_18,1
31,AI_max_18,2
30,AI_max_18,1
37,AI_max_18,3
36,AI_max_18,3
35,AI_max_18,3
34,AI_max_18,2
641,AI_max_18,2
640,AI_max_18,2
643,AI_max_18,1
642,AI_max_18,2
645,AI_max_18,2
644,AI_max_18,1
438,AI_max_18,3
439,AI_max_18,1
436,AI_max_18,3
437,AI_max_18,3
434,AI_max_18,1
435,AI_max_18,2
432,AI_max_18,2
433,AI_max_18,2
430,AI_max_18,2
431,AI_max_18,3
339,AI_max_18,2
338,AI_max_18,2
335,AI_max_18,2
334,AI_max_18,3
337,AI_max_18,3
336,AI_max_18,2
331,AI_max_18,3
330,AI_max_18,2
333,AI_max_18,2
332,AI_max_18,2
744,AI_max_18,2
745,AI_max_18,3
748,AI_max_18,2
6,AI_max_18,2
99,AI_max_18,2
98,AI_max_18,2
91,AI_max_18,1
90,AI_max_18,1
93,AI_max_18,2
92,AI_max_18,2
95,AI_max_18,1
94,AI_max_18,3
97,AI_max_18,1
96,AI_max_18,2
740,AI_max_18,1
741,AI_max_18,2
742,AI_max_18,2
743,AI_max_18,3
559,AI_max_18,1
558,AI_max_18,3
746,AI_max_18,3
747,AI_max_18,1
555,AI_max_18,2
554,AI_max_18,2
557,AI_max_18,3
556,AI_max_18,2
551,AI_max_18,2
550,AI_max_18,2
553,AI_max_18,2
552,AI_max_18,2
238,AI_max_18,2
239,AI_max_18,1
234,AI_max_18,1
235,AI_max_18,2
236,AI_max_18,2
237,AI_max_18,1
230,AI_max_18,1
231,AI_max_18,1
232,AI_max_18,3
233,AI_max_18,1
1,AI_max_18,3
614,AI_max_18,2
146,AI_max_18,1
147,AI_max_18,3
144,AI_max_18,1
145,AI_max_18,2
142,AI_max_18,2
143,AI_max_18,2
140,AI_max_18,2
141,AI_max_18,3
612,AI_max_18,2
613,AI_max_18,2
610,AI_max_18,1
611,AI_max_18,3
616,AI_max_18,2
617,AI_max_18,2
148,AI_max_18,2
149,AI_max_18,3
768,AI_max_18,2
689,AI_max_18,3
688,AI_max_18,3
685,AI_max_18,1
684,AI_max_18,2
687,AI_max_18,3
686,AI_max_18,2
681,AI_max_18,2
680,AI_max_18,3
683,AI_max_18,2
682,AI_max_18,1
623,AI_max_18,2
622,AI_max_18,2
133,AI_max_18,1
132,AI_max_18,1
131,AI_max_18,2
130,AI_max_18,1
137,AI_max_18,3
136,AI_max_18,1
135,AI_max_18,2
134,AI_max_18,3
494,AI_max_18,3
495,AI_max_18,2
139,AI_max_18,3
138,AI_max_18,2
490,AI_max_18,2
491,AI_max_18,3
492,AI_max_18,2
493,AI_max_18,1
24,AI_max_18,1
25,AI_max_18,2
26,AI_max_18,3
27,AI_max_18,3
20,AI_max_18,1
21,AI_max_18,2
22,AI_max_18,3
23,AI_max_18,2
28,AI_max_18,2
29,AI_max_18,3
407,AI_max_18,1
406,AI_max_18,1
405,AI_max_18,2
404,AI_max_18,3
403,AI_max_18,1
402,AI_max_18,1
401,AI_max_18,3
400,AI_max_18,2
629,AI_max_18,2
409,AI_max_18,1
408,AI_max_18,1
628,AI_max_18,2
758,AI_max_18,3
379,AI_max_18,2
378,AI_max_18,2
371,AI_max_18,2
370,AI_max_18,3
373,AI_max_18,2
372,AI_max_18,3
375,AI_max_18,2
374,AI_max_18,1
377,AI_max_18,2
376,AI_max_18,2
708,AI_max_18,3
709,AI_max_18,1
704,AI_max_18,3
705,AI_max_18,2
706,AI_max_18,2
707,AI_max_18,2
700,AI_max_18,2
618,AI_max_18,1
702,AI_max_18,3
703,AI_max_18,2
393,AI_max_18,2
392,AI_max_18,1
88,AI_max_18,1
89,AI_max_18,2
397,AI_max_18,2
396,AI_max_18,2
395,AI_max_18,1
394,AI_max_18,3
82,AI_max_18,2
83,AI_max_18,2
80,AI_max_18,1
81,AI_max_18,1
86,AI_max_18,2
87,AI_max_18,1
84,AI_max_18,2
85,AI_max_18,1
797,AI_max_18,3
796,AI_max_18,3
795,AI_max_18,1
794,AI_max_18,3
793,AI_max_18,2
792,AI_max_18,3
791,AI_max_18,3
790,AI_max_18,2
799,AI_max_18,2
798,AI_max_18,2
7,AI_max_18,2
601,AI_max_18,1
607,AI_max_18,2
586,AI_max_18,2
587,AI_max_18,1
584,AI_max_18,3
585,AI_max_18,2
582,AI_max_18,1
583,AI_max_18,3
580,AI_max_18,3
581,AI_max_18,2
588,AI_max_18,1
589,AI_max_18,1
245,AI_max_18,3
244,AI_max_18,1
247,AI_max_18,2
246,AI_max_18,3
241,AI_max_18,2
240,AI_max_18,2
243,AI_max_18,1
242,AI_max_18,2
615,AI_max_18,2
249,AI_max_18,1
248,AI_max_18,2
519,AI_max_18,2
518,AI_max_18,2
511,AI_max_18,2
510,AI_max_18,3
513,AI_max_18,2
512,AI_max_18,2
515,AI_max_18,1
514,AI_max_18,2
517,AI_max_18,3
516,AI_max_18,3
458,AI_max_18,2
459,AI_max_18,2
621,AI_max_18,2
620,AI_max_18,2
627,AI_max_18,2
626,AI_max_18,3
625,AI_max_18,2
624,AI_max_18,1
450,AI_max_18,3
451,AI_max_18,3
452,AI_max_18,2
453,AI_max_18,3
454,AI_max_18,2
455,AI_max_18,3
456,AI_max_18,2
457,AI_max_18,3
179,AI_max_18,2
178,AI_max_18,3
177,AI_max_18,2
176,AI_max_18,1
175,AI_max_18,1
174,AI_max_18,3
