task,worker,label
1,AI_-sigma_0,3
2,AI_-sigma_0,3
3,AI_-sigma_0,2
4,AI_-sigma_0,2
5,AI_-sigma_0,0
6,AI_-sigma_0,2
7,AI_-sigma_0,2
8,AI_-sigma_0,1
9,AI_-sigma_0,2
10,AI_-sigma_0,2
11,AI_-sigma_0,1
12,AI_-sigma_0,2
13,AI_-sigma_0,1
14,AI_-sigma_0,1
15,AI_-sigma_0,0
16,AI_-sigma_0,2
17,AI_-sigma_0,0
18,AI_-sigma_0,0
19,AI_-sigma_0,2
20,AI_-sigma_0,1
21,AI_-sigma_0,0
22,AI_-sigma_0,1
23,AI_-sigma_0,1
24,AI_-sigma_0,2
25,AI_-sigma_0,1
26,AI_-sigma_0,0
27,AI_-sigma_0,2
28,AI_-sigma_0,3
29,AI_-sigma_0,1
30,AI_-sigma_0,3
31,AI_-sigma_0,2
32,AI_-sigma_0,2
33,AI_-sigma_0,3
34,AI_-sigma_0,1
35,AI_-sigma_0,2
36,AI_-sigma_0,2
37,AI_-sigma_0,2
38,AI_-sigma_0,1
39,AI_-sigma_0,1
40,AI_-sigma_0,2
41,AI_-sigma_0,1
42,AI_-sigma_0,3
43,AI_-sigma_0,3
44,AI_-sigma_0,2
45,AI_-sigma_0,2
46,AI_-sigma_0,0
47,AI_-sigma_0,3
48,AI_-sigma_0,1
49,AI_-sigma_0,0
50,AI_-sigma_0,0
51,AI_-sigma_0,2
52,AI_-sigma_0,3
53,AI_-sigma_0,2
54,AI_-sigma_0,0
55,AI_-sigma_0,1
56,AI_-sigma_0,1
57,AI_-sigma_0,3
58,AI_-sigma_0,2
59,AI_-sigma_0,3
60,AI_-sigma_0,2
61,AI_-sigma_0,2
62,AI_-sigma_0,1
63,AI_-sigma_0,3
64,AI_-sigma_0,3
65,AI_-sigma_0,2
66,AI_-sigma_0,2
67,AI_-sigma_0,1
68,AI_-sigma_0,2
69,AI_-sigma_0,2
70,AI_-sigma_0,2
71,AI_-sigma_0,3
72,AI_-sigma_0,3
73,AI_-sigma_0,3
74,AI_-sigma_0,2
75,AI_-sigma_0,3
76,AI_-sigma_0,3
77,AI_-sigma_0,2
78,AI_-sigma_0,3
79,AI_-sigma_0,1
80,AI_-sigma_0,1
81,AI_-sigma_0,1
82,AI_-sigma_0,3
83,AI_-sigma_0,2
84,AI_-sigma_0,2
85,AI_-sigma_0,0
86,AI_-sigma_0,0
87,AI_-sigma_0,0
88,AI_-sigma_0,2
89,AI_-sigma_0,2
90,AI_-sigma_0,2
91,AI_-sigma_0,3
92,AI_-sigma_0,1
93,AI_-sigma_0,1
94,AI_-sigma_0,3
95,AI_-sigma_0,1
96,AI_-sigma_0,3
97,AI_-sigma_0,3
98,AI_-sigma_0,1
99,AI_-sigma_0,2
100,AI_-sigma_0,2
101,AI_-sigma_0,2
102,AI_-sigma_0,0
103,AI_-sigma_0,2
104,AI_-sigma_0,3
105,AI_-sigma_0,3
106,AI_-sigma_0,1
107,AI_-sigma_0,1
108,AI_-sigma_0,2
109,AI_-sigma_0,0
110,AI_-sigma_0,3
111,AI_-sigma_0,1
112,AI_-sigma_0,3
113,AI_-sigma_0,2
114,AI_-sigma_0,3
115,AI_-sigma_0,2
116,AI_-sigma_0,2
117,AI_-sigma_0,0
118,AI_-sigma_0,3
119,AI_-sigma_0,1
120,AI_-sigma_0,1
121,AI_-sigma_0,2
122,AI_-sigma_0,1
123,AI_-sigma_0,2
124,AI_-sigma_0,0
125,AI_-sigma_0,1
126,AI_-sigma_0,0
127,AI_-sigma_0,2
128,AI_-sigma_0,2
129,AI_-sigma_0,0
130,AI_-sigma_0,0
131,AI_-sigma_0,2
132,AI_-sigma_0,1
133,AI_-sigma_0,1
134,AI_-sigma_0,0
135,AI_-sigma_0,3
136,AI_-sigma_0,1
137,AI_-sigma_0,2
138,AI_-sigma_0,3
139,AI_-sigma_0,2
140,AI_-sigma_0,1
141,AI_-sigma_0,1
142,AI_-sigma_0,3
143,AI_-sigma_0,2
144,AI_-sigma_0,2
145,AI_-sigma_0,1
146,AI_-sigma_0,2
147,AI_-sigma_0,2
148,AI_-sigma_0,3
