task,worker,label
1,AI_max_19,2
2,AI_max_19,3
3,AI_max_19,1
4,AI_max_19,1
5,AI_max_19,1
6,AI_max_19,3
7,AI_max_19,1
8,AI_max_19,2
9,AI_max_19,1
10,AI_max_19,1
11,AI_max_19,3
12,AI_max_19,2
13,AI_max_19,3
14,AI_max_19,1
15,AI_max_19,1
16,AI_max_19,2
17,AI_max_19,3
18,AI_max_19,1
19,AI_max_19,1
20,AI_max_19,2
21,AI_max_19,3
22,AI_max_19,1
23,AI_max_19,1
24,AI_max_19,2
25,AI_max_19,1
26,AI_max_19,1
27,AI_max_19,2
28,AI_max_19,3
29,AI_max_19,2
30,AI_max_19,1
31,AI_max_19,1
32,AI_max_19,3
33,AI_max_19,3
34,AI_max_19,1
35,AI_max_19,2
36,AI_max_19,1
37,AI_max_19,2
38,AI_max_19,1
39,AI_max_19,3
40,AI_max_19,1
41,AI_max_19,2
42,AI_max_19,1
43,AI_max_19,3
44,AI_max_19,1
45,AI_max_19,1
46,AI_max_19,2
47,AI_max_19,3
48,AI_max_19,1
49,AI_max_19,1
50,AI_max_19,1
51,AI_max_19,2
52,AI_max_19,3
53,AI_max_19,1
54,AI_max_19,3
55,AI_max_19,1
56,AI_max_19,2
57,AI_max_19,1
58,AI_max_19,2
59,AI_max_19,3
60,AI_max_19,1
61,AI_max_19,2
62,AI_max_19,1
63,AI_max_19,3
64,AI_max_19,1
65,AI_max_19,2
66,AI_max_19,1
67,AI_max_19,3
68,AI_max_19,1
69,AI_max_19,2
70,AI_max_19,1
71,AI_max_19,1
72,AI_max_19,3
73,AI_max_19,3
74,AI_max_19,1
75,AI_max_19,2
76,AI_max_19,1
77,AI_max_19,2
78,AI_max_19,3
79,AI_max_19,1
80,AI_max_19,1
81,AI_max_19,1
82,AI_max_19,3
83,AI_max_19,2
84,AI_max_19,1
85,AI_max_19,1
86,AI_max_19,3
87,AI_max_19,1
88,AI_max_19,2
89,AI_max_19,1
90,AI_max_19,2
91,AI_max_19,3
92,AI_max_19,1
93,AI_max_19,1
94,AI_max_19,3
95,AI_max_19,1
96,AI_max_19,2
97,AI_max_19,3
98,AI_max_19,1
99,AI_max_19,2
100,AI_max_19,1
101,AI_max_19,2
102,AI_max_19,3
103,AI_max_19,1
104,AI_max_19,1
105,AI_max_19,3
106,AI_max_19,1
107,AI_max_19,1
108,AI_max_19,2
109,AI_max_19,2
110,AI_max_19,1
111,AI_max_19,1
112,AI_max_19,3
113,AI_max_19,2
114,AI_max_19,3
115,AI_max_19,1
116,AI_max_19,1
117,AI_max_19,2
118,AI_max_19,3
119,AI_max_19,1
120,AI_max_19,1
121,AI_max_19,1
122,AI_max_19,1
123,AI_max_19,2
124,AI_max_19,3
125,AI_max_19,1
126,AI_max_19,3
127,AI_max_19,2
128,AI_max_19,1
129,AI_max_19,2
130,AI_max_19,3
131,AI_max_19,1
132,AI_max_19,1
133,AI_max_19,3
134,AI_max_19,1
135,AI_max_19,2
136,AI_max_19,1
137,AI_max_19,1
138,AI_max_19,3
139,AI_max_19,2
140,AI_max_19,1
141,AI_max_19,1
142,AI_max_19,3
143,AI_max_19,2
144,AI_max_19,1
145,AI_max_19,1
146,AI_max_19,1
147,AI_max_19,3
148,AI_max_19,2
149,AI_max_19,2
150,AI_max_19,3
151,AI_max_19,1
152,AI_max_19,1
153,AI_max_19,3
154,AI_max_19,2
155,AI_max_19,1
156,AI_max_19,1
157,AI_max_19,1
158,AI_max_19,3
159,AI_max_19,2
160,AI_max_19,1
161,AI_max_19,1
162,AI_max_19,1
163,AI_max_19,2
164,AI_max_19,3
165,AI_max_19,3
166,AI_max_19,1
167,AI_max_19,1
168,AI_max_19,2
169,AI_max_19,1
170,AI_max_19,3
171,AI_max_19,2
172,AI_max_19,1
173,AI_max_19,3
174,AI_max_19,1
175,AI_max_19,1
176,AI_max_19,2
177,AI_max_19,1
178,AI_max_19,3
179,AI_max_19,2
180,AI_max_19,1
181,AI_max_19,3
182,AI_max_19,1
183,AI_max_19,1
184,AI_max_19,2
185,AI_max_19,1
186,AI_max_19,3
187,AI_max_19,2
188,AI_max_19,1
189,AI_max_19,3
190,AI_max_19,1
191,AI_max_19,2
192,AI_max_19,1
193,AI_max_19,1
194,AI_max_19,2
195,AI_max_19,3
196,AI_max_19,1
197,AI_max_19,3
198,AI_max_19,1
199,AI_max_19,2
200,AI_max_19,1
201,AI_max_19,1
202,AI_max_19,3
203,AI_max_19,2
204,AI_max_19,1
205,AI_max_19,1
206,AI_max_19,1
207,AI_max_19,3
208,AI_max_19,2
209,AI_max_19,2
210,AI_max_19,1
211,AI_max_19,3
212,AI_max_19,1
213,AI_max_19,1
214,AI_max_19,1
215,AI_max_19,3
216,AI_max_19,2
217,AI_max_19,2
218,AI_max_19,3
219,AI_max_19,1
220,AI_max_19,1
221,AI_max_19,1
222,AI_max_19,1
223,AI_max_19,2
224,AI_max_19,3
225,AI_max_19,2
226,AI_max_19,1
227,AI_max_19,3
228,AI_max_19,1
229,AI_max_19,2
230,AI_max_19,1
231,AI_max_19,3
232,AI_max_19,1
233,AI_max_19,1
234,AI_max_19,2
235,AI_max_19,1
236,AI_max_19,3
237,AI_max_19,1
238,AI_max_19,3
239,AI_max_19,2
240,AI_max_19,1
241,AI_max_19,1
242,AI_max_19,3
243,AI_max_19,2
244,AI_max_19,1
245,AI_max_19,3
246,AI_max_19,2
247,AI_max_19,1
248,AI_max_19,1
249,AI_max_19,2
250,AI_max_19,1
251,AI_max_19,3
252,AI_max_19,1
253,AI_max_19,3
254,AI_max_19,1
255,AI_max_19,2
256,AI_max_19,1
257,AI_max_19,1
258,AI_max_19,1
259,AI_max_19,3
260,AI_max_19,2
261,AI_max_19,1
262,AI_max_19,3
263,AI_max_19,2
264,AI_max_19,1
265,AI_max_19,1
266,AI_max_19,3
267,AI_max_19,1
268,AI_max_19,2
269,AI_max_19,3
270,AI_max_19,1
271,AI_max_19,2
272,AI_max_19,1
273,AI_max_19,1
274,AI_max_19,3
275,AI_max_19,2
276,AI_max_19,1
277,AI_max_19,2
278,AI_max_19,1
279,AI_max_19,3
280,AI_max_19,1
281,AI_max_19,3
282,AI_max_19,2
283,AI_max_19,1
284,AI_max_19,1
285,AI_max_19,2
286,AI_max_19,1
287,AI_max_19,1
288,AI_max_19,3
289,AI_max_19,1
290,AI_max_19,1
291,AI_max_19,2
292,AI_max_19,3
293,AI_max_19,2
294,AI_max_19,1
295,AI_max_19,3
296,AI_max_19,1
297,AI_max_19,1
298,AI_max_19,1
299,AI_max_19,2
300,AI_max_19,3
301,AI_max_19,1
302,AI_max_19,2
303,AI_max_19,1
304,AI_max_19,3
305,AI_max_19,3
306,AI_max_19,2
307,AI_max_19,1
308,AI_max_19,1
309,AI_max_19,1
310,AI_max_19,2
311,AI_max_19,1
312,AI_max_19,3
313,AI_max_19,1
314,AI_max_19,1
315,AI_max_19,2
316,AI_max_19,3
317,AI_max_19,2
318,AI_max_19,1
319,AI_max_19,3
320,AI_max_19,1
321,AI_max_19,1
322,AI_max_19,3
323,AI_max_19,1
324,AI_max_19,2
325,AI_max_19,1
326,AI_max_19,1
327,AI_max_19,2
328,AI_max_19,3
329,AI_max_19,3
330,AI_max_19,1
331,AI_max_19,2
332,AI_max_19,1
333,AI_max_19,1
334,AI_max_19,1
335,AI_max_19,2
