task,worker,label
1,AI_mean_19,2
2,AI_mean_19,3
3,AI_mean_19,3
4,AI_mean_19,1
5,AI_mean_19,1
6,AI_mean_19,2
7,AI_mean_19,3
8,AI_mean_19,1
9,AI_mean_19,1
10,AI_mean_19,3
11,AI_mean_19,3
12,AI_mean_19,2
13,AI_mean_19,3
14,AI_mean_19,3
15,AI_mean_19,1
16,AI_mean_19,2
17,AI_mean_19,3
18,AI_mean_19,1
19,AI_mean_19,3
20,AI_mean_19,2
21,AI_mean_19,3
22,AI_mean_19,2
23,AI_mean_19,1
24,AI_mean_19,2
25,AI_mean_19,1
26,AI_mean_19,2
27,AI_mean_19,2
28,AI_mean_19,3
29,AI_mean_19,2
30,AI_mean_19,1
31,AI_mean_19,1
32,AI_mean_19,3
33,AI_mean_19,3
34,AI_mean_19,1
35,AI_mean_19,0
36,AI_mean_19,0
37,AI_mean_19,2
38,AI_mean_19,1
39,AI_mean_19,3
40,AI_mean_19,3
41,AI_mean_19,1
42,AI_mean_19,1
43,AI_mean_19,0
44,AI_mean_19,3
45,AI_mean_19,3
46,AI_mean_19,1
47,AI_mean_19,1
48,AI_mean_19,0
49,AI_mean_19,1
50,AI_mean_19,3
51,AI_mean_19,2
52,AI_mean_19,3
53,AI_mean_19,3
54,AI_mean_19,1
55,AI_mean_19,1
56,AI_mean_19,2
57,AI_mean_19,1
58,AI_mean_19,0
59,AI_mean_19,0
60,AI_mean_19,3
61,AI_mean_19,1
62,AI_mean_19,1
63,AI_mean_19,3
64,AI_mean_19,3
65,AI_mean_19,2
66,AI_mean_19,1
67,AI_mean_19,3
68,AI_mean_19,1
69,AI_mean_19,2
70,AI_mean_19,3
71,AI_mean_19,0
72,AI_mean_19,3
73,AI_mean_19,3
74,AI_mean_19,3
75,AI_mean_19,2
76,AI_mean_19,1
77,AI_mean_19,1
78,AI_mean_19,1
79,AI_mean_19,0
80,AI_mean_19,1
81,AI_mean_19,0
82,AI_mean_19,0
83,AI_mean_19,2
84,AI_mean_19,3
85,AI_mean_19,1
86,AI_mean_19,3
87,AI_mean_19,3
88,AI_mean_19,2
89,AI_mean_19,1
90,AI_mean_19,2
91,AI_mean_19,0
92,AI_mean_19,1
93,AI_mean_19,2
94,AI_mean_19,0
95,AI_mean_19,1
96,AI_mean_19,2
97,AI_mean_19,3
98,AI_mean_19,3
99,AI_mean_19,2
100,AI_mean_19,0
101,AI_mean_19,2
102,AI_mean_19,3
103,AI_mean_19,2
104,AI_mean_19,3
105,AI_mean_19,3
106,AI_mean_19,1
107,AI_mean_19,3
108,AI_mean_19,2
109,AI_mean_19,2
110,AI_mean_19,1
111,AI_mean_19,0
112,AI_mean_19,3
113,AI_mean_19,2
114,AI_mean_19,1
115,AI_mean_19,3
116,AI_mean_19,3
117,AI_mean_19,2
118,AI_mean_19,3
119,AI_mean_19,1
120,AI_mean_19,2
121,AI_mean_19,3
122,AI_mean_19,1
123,AI_mean_19,3
124,AI_mean_19,1
125,AI_mean_19,1
126,AI_mean_19,1
127,AI_mean_19,2
128,AI_mean_19,3
129,AI_mean_19,2
130,AI_mean_19,0
131,AI_mean_19,3
132,AI_mean_19,1
133,AI_mean_19,3
134,AI_mean_19,0
135,AI_mean_19,0
136,AI_mean_19,3
137,AI_mean_19,3
138,AI_mean_19,3
139,AI_mean_19,2
140,AI_mean_19,1
141,AI_mean_19,1
142,AI_mean_19,0
143,AI_mean_19,3
144,AI_mean_19,1
145,AI_mean_19,3
146,AI_mean_19,2
147,AI_mean_19,0
148,AI_mean_19,3
149,AI_mean_19,2
150,AI_mean_19,1
151,AI_mean_19,1
152,AI_mean_19,3
153,AI_mean_19,0
154,AI_mean_19,2
155,AI_mean_19,1
156,AI_mean_19,1
157,AI_mean_19,3
158,AI_mean_19,3
159,AI_mean_19,2
160,AI_mean_19,3
161,AI_mean_19,0
162,AI_mean_19,3
163,AI_mean_19,2
164,AI_mean_19,3
165,AI_mean_19,3
166,AI_mean_19,2
167,AI_mean_19,3
168,AI_mean_19,2
169,AI_mean_19,1
170,AI_mean_19,3
171,AI_mean_19,2
172,AI_mean_19,3
173,AI_mean_19,3
174,AI_mean_19,1
175,AI_mean_19,3
176,AI_mean_19,2
177,AI_mean_19,1
178,AI_mean_19,3
179,AI_mean_19,2
180,AI_mean_19,2
181,AI_mean_19,3
182,AI_mean_19,3
183,AI_mean_19,1
184,AI_mean_19,2
185,AI_mean_19,1
186,AI_mean_19,3
187,AI_mean_19,2
188,AI_mean_19,1
189,AI_mean_19,2
190,AI_mean_19,3
191,AI_mean_19,2
192,AI_mean_19,1
193,AI_mean_19,3
194,AI_mean_19,2
195,AI_mean_19,3
196,AI_mean_19,1
197,AI_mean_19,3
198,AI_mean_19,0
199,AI_mean_19,1
200,AI_mean_19,0
201,AI_mean_19,1
202,AI_mean_19,3
203,AI_mean_19,2
204,AI_mean_19,2
205,AI_mean_19,3
206,AI_mean_19,1
207,AI_mean_19,0
208,AI_mean_19,2
209,AI_mean_19,2
210,AI_mean_19,3
211,AI_mean_19,3
212,AI_mean_19,1
213,AI_mean_19,1
214,AI_mean_19,3
215,AI_mean_19,0
216,AI_mean_19,2
217,AI_mean_19,2
218,AI_mean_19,3
219,AI_mean_19,2
220,AI_mean_19,1
221,AI_mean_19,3
222,AI_mean_19,1
223,AI_mean_19,2
224,AI_mean_19,1
225,AI_mean_19,2
226,AI_mean_19,2
227,AI_mean_19,1
228,AI_mean_19,1
229,AI_mean_19,0
230,AI_mean_19,3
231,AI_mean_19,3
232,AI_mean_19,1
233,AI_mean_19,3
234,AI_mean_19,1
235,AI_mean_19,1
236,AI_mean_19,3
237,AI_mean_19,1
238,AI_mean_19,3
239,AI_mean_19,2
240,AI_mean_19,0
241,AI_mean_19,3
242,AI_mean_19,2
243,AI_mean_19,2
244,AI_mean_19,3
245,AI_mean_19,1
246,AI_mean_19,2
247,AI_mean_19,3
248,AI_mean_19,1
249,AI_mean_19,0
250,AI_mean_19,3
251,AI_mean_19,3
252,AI_mean_19,1
253,AI_mean_19,3
254,AI_mean_19,1
255,AI_mean_19,2
256,AI_mean_19,3
257,AI_mean_19,1
258,AI_mean_19,3
259,AI_mean_19,3
260,AI_mean_19,2
261,AI_mean_19,0
262,AI_mean_19,1
263,AI_mean_19,2
264,AI_mean_19,1
265,AI_mean_19,1
266,AI_mean_19,3
267,AI_mean_19,3
268,AI_mean_19,2
269,AI_mean_19,3
270,AI_mean_19,1
271,AI_mean_19,2
272,AI_mean_19,3
273,AI_mean_19,3
274,AI_mean_19,3
275,AI_mean_19,2
276,AI_mean_19,1
277,AI_mean_19,2
278,AI_mean_19,1
279,AI_mean_19,3
280,AI_mean_19,1
281,AI_mean_19,2
282,AI_mean_19,1
283,AI_mean_19,1
284,AI_mean_19,3
285,AI_mean_19,0
286,AI_mean_19,2
287,AI_mean_19,1
288,AI_mean_19,3
289,AI_mean_19,1
290,AI_mean_19,3
291,AI_mean_19,2
292,AI_mean_19,3
293,AI_mean_19,2
294,AI_mean_19,0
295,AI_mean_19,1
296,AI_mean_19,3
297,AI_mean_19,3
298,AI_mean_19,1
299,AI_mean_19,2
300,AI_mean_19,3
301,AI_mean_19,2
302,AI_mean_19,2
303,AI_mean_19,3
304,AI_mean_19,3
305,AI_mean_19,3
306,AI_mean_19,1
307,AI_mean_19,1
308,AI_mean_19,0
309,AI_mean_19,3
310,AI_mean_19,2
311,AI_mean_19,1
312,AI_mean_19,3
313,AI_mean_19,1
314,AI_mean_19,3
315,AI_mean_19,1
316,AI_mean_19,3
317,AI_mean_19,2
318,AI_mean_19,3
319,AI_mean_19,3
320,AI_mean_19,1
321,AI_mean_19,1
322,AI_mean_19,3
323,AI_mean_19,3
324,AI_mean_19,2
325,AI_mean_19,3
326,AI_mean_19,1
327,AI_mean_19,2
328,AI_mean_19,3
329,AI_mean_19,3
330,AI_mean_19,1
331,AI_mean_19,2
332,AI_mean_19,3
333,AI_mean_19,1
334,AI_mean_19,3
335,AI_mean_19,2
336,AI_mean_19,3
337,AI_mean_19,1
338,AI_mean_19,3
339,AI_mean_19,2
340,AI_mean_19,2
341,AI_mean_19,2
342,AI_mean_19,1
343,AI_mean_19,1
344,AI_mean_19,3
345,AI_mean_19,2
346,AI_mean_19,1
347,AI_mean_19,2
348,AI_mean_19,1
349,AI_mean_19,1
350,AI_mean_19,0
351,AI_mean_19,1
352,AI_mean_19,2
353,AI_mean_19,0
354,AI_mean_19,3
355,AI_mean_19,3
356,AI_mean_19,2
357,AI_mean_19,2
358,AI_mean_19,2
359,AI_mean_19,3
360,AI_mean_19,2
361,AI_mean_19,2
362,AI_mean_19,3
363,AI_mean_19,3
364,AI_mean_19,1
365,AI_mean_19,1
366,AI_mean_19,3
367,AI_mean_19,3
368,AI_mean_19,2
369,AI_mean_19,3
370,AI_mean_19,2
371,AI_mean_19,1
372,AI_mean_19,1
373,AI_mean_19,1
374,AI_mean_19,1
375,AI_mean_19,1
376,AI_mean_19,0
377,AI_mean_19,3
378,AI_mean_19,1
379,AI_mean_19,3
380,AI_mean_19,2
381,AI_mean_19,2
382,AI_mean_19,2
383,AI_mean_19,1
384,AI_mean_19,3
385,AI_mean_19,1
386,AI_mean_19,2
387,AI_mean_19,1
388,AI_mean_19,1
389,AI_mean_19,3
390,AI_mean_19,3
391,AI_mean_19,3
392,AI_mean_19,1
393,AI_mean_19,1
394,AI_mean_19,2
395,AI_mean_19,0
396,AI_mean_19,3
397,AI_mean_19,2
398,AI_mean_19,0
399,AI_mean_19,3
400,AI_mean_19,3
401,AI_mean_19,1
402,AI_mean_19,2
403,AI_mean_19,3
404,AI_mean_19,3
405,AI_mean_19,3
406,AI_mean_19,3
407,AI_mean_19,2
408,AI_mean_19,1
409,AI_mean_19,2
410,AI_mean_19,1
411,AI_mean_19,3
412,AI_mean_19,3
413,AI_mean_19,1
414,AI_mean_19,3
415,AI_mean_19,1
416,AI_mean_19,3
417,AI_mean_19,3
418,AI_mean_19,2
419,AI_mean_19,1
420,AI_mean_19,0
421,AI_mean_19,3
422,AI_mean_19,3
423,AI_mean_19,1
424,AI_mean_19,2
425,AI_mean_19,3
426,AI_mean_19,1
427,AI_mean_19,1
428,AI_mean_19,3
429,AI_mean_19,2
430,AI_mean_19,3
431,AI_mean_19,3
432,AI_mean_19,3
433,AI_mean_19,2
434,AI_mean_19,3
435,AI_mean_19,3
436,AI_mean_19,1
437,AI_mean_19,1
438,AI_mean_19,3
439,AI_mean_19,2
440,AI_mean_19,3
441,AI_mean_19,0
442,AI_mean_19,2
443,AI_mean_19,1
444,AI_mean_19,2
445,AI_mean_19,1
446,AI_mean_19,3
447,AI_mean_19,2
448,AI_mean_19,3
449,AI_mean_19,3
450,AI_mean_19,2
451,AI_mean_19,1
452,AI_mean_19,1
453,AI_mean_19,1
454,AI_mean_19,2
455,AI_mean_19,3
456,AI_mean_19,0
457,AI_mean_19,1
458,AI_mean_19,3
459,AI_mean_19,2
460,AI_mean_19,3
461,AI_mean_19,3
462,AI_mean_19,1
463,AI_mean_19,0
464,AI_mean_19,2
465,AI_mean_19,3
466,AI_mean_19,2
467,AI_mean_19,1
468,AI_mean_19,2
469,AI_mean_19,3
470,AI_mean_19,1
471,AI_mean_19,1
472,AI_mean_19,2
473,AI_mean_19,3
474,AI_mean_19,2
475,AI_mean_19,3
476,AI_mean_19,0
477,AI_mean_19,2
478,AI_mean_19,2
479,AI_mean_19,3
480,AI_mean_19,3
481,AI_mean_19,0
482,AI_mean_19,3
483,AI_mean_19,3
484,AI_mean_19,2
485,AI_mean_19,2
486,AI_mean_19,1
487,AI_mean_19,3
488,AI_mean_19,2
489,AI_mean_19,3
490,AI_mean_19,2
491,AI_mean_19,3
492,AI_mean_19,1
493,AI_mean_19,3
494,AI_mean_19,3
495,AI_mean_19,1
496,AI_mean_19,2
497,AI_mean_19,2
498,AI_mean_19,3
499,AI_mean_19,2
500,AI_mean_19,0
501,AI_mean_19,2
502,AI_mean_19,1
503,AI_mean_19,3
504,AI_mean_19,3
505,AI_mean_19,1
506,AI_mean_19,3
507,AI_mean_19,3
508,AI_mean_19,2
509,AI_mean_19,3
510,AI_mean_19,1
511,AI_mean_19,1
512,AI_mean_19,2
513,AI_mean_19,2
514,AI_mean_19,3
515,AI_mean_19,2
516,AI_mean_19,1
517,AI_mean_19,3
518,AI_mean_19,1
519,AI_mean_19,3
520,AI_mean_19,2
521,AI_mean_19,2
522,AI_mean_19,1
523,AI_mean_19,3
524,AI_mean_19,1
525,AI_mean_19,2
526,AI_mean_19,0
527,AI_mean_19,3
528,AI_mean_19,2
