task,worker,label
1,AI_+sigma_18,0
2,AI_+sigma_18,3
3,AI_+sigma_18,3
4,AI_+sigma_18,1
5,AI_+sigma_18,1
6,AI_+sigma_18,3
7,AI_+sigma_18,3
8,AI_+sigma_18,2
9,AI_+sigma_18,1
10,AI_+sigma_18,2
11,AI_+sigma_18,3
12,AI_+sigma_18,2
13,AI_+sigma_18,3
14,AI_+sigma_18,1
15,AI_+sigma_18,2
16,AI_+sigma_18,2
17,AI_+sigma_18,2
18,AI_+sigma_18,1
19,AI_+sigma_18,2
20,AI_+sigma_18,2
21,AI_+sigma_18,3
22,AI_+sigma_18,1
23,AI_+sigma_18,1
24,AI_+sigma_18,2
25,AI_+sigma_18,1
26,AI_+sigma_18,2
27,AI_+sigma_18,2
28,AI_+sigma_18,2
29,AI_+sigma_18,2
30,AI_+sigma_18,1
31,AI_+sigma_18,1
32,AI_+sigma_18,3
33,AI_+sigma_18,3
34,AI_+sigma_18,1
35,AI_+sigma_18,2
36,AI_+sigma_18,2
37,AI_+sigma_18,2
38,AI_+sigma_18,1
39,AI_+sigma_18,3
40,AI_+sigma_18,2
41,AI_+sigma_18,2
42,AI_+sigma_18,1
43,AI_+sigma_18,3
44,AI_+sigma_18,2
45,AI_+sigma_18,2
46,AI_+sigma_18,1
47,AI_+sigma_18,3
48,AI_+sigma_18,1
49,AI_+sigma_18,1
50,AI_+sigma_18,2
51,AI_+sigma_18,2
52,AI_+sigma_18,3
53,AI_+sigma_18,2
54,AI_+sigma_18,3
55,AI_+sigma_18,1
56,AI_+sigma_18,2
57,AI_+sigma_18,2
58,AI_+sigma_18,2
59,AI_+sigma_18,1
60,AI_+sigma_18,2
61,AI_+sigma_18,2
62,AI_+sigma_18,1
63,AI_+sigma_18,3
64,AI_+sigma_18,2
65,AI_+sigma_18,2
66,AI_+sigma_18,1
67,AI_+sigma_18,3
68,AI_+sigma_18,3
69,AI_+sigma_18,2
70,AI_+sigma_18,2
71,AI_+sigma_18,1
72,AI_+sigma_18,3
73,AI_+sigma_18,3
74,AI_+sigma_18,2
75,AI_+sigma_18,2
76,AI_+sigma_18,1
77,AI_+sigma_18,3
78,AI_+sigma_18,0
79,AI_+sigma_18,2
80,AI_+sigma_18,1
81,AI_+sigma_18,1
82,AI_+sigma_18,3
83,AI_+sigma_18,2
84,AI_+sigma_18,0
85,AI_+sigma_18,1
86,AI_+sigma_18,3
87,AI_+sigma_18,2
88,AI_+sigma_18,2
89,AI_+sigma_18,2
90,AI_+sigma_18,2
91,AI_+sigma_18,3
92,AI_+sigma_18,1
93,AI_+sigma_18,1
94,AI_+sigma_18,3
95,AI_+sigma_18,2
96,AI_+sigma_18,2
97,AI_+sigma_18,3
98,AI_+sigma_18,1
99,AI_+sigma_18,2
100,AI_+sigma_18,3
101,AI_+sigma_18,2
102,AI_+sigma_18,3
103,AI_+sigma_18,2
104,AI_+sigma_18,2
105,AI_+sigma_18,3
106,AI_+sigma_18,1
107,AI_+sigma_18,2
108,AI_+sigma_18,2
109,AI_+sigma_18,2
110,AI_+sigma_18,1
111,AI_+sigma_18,2
112,AI_+sigma_18,3
113,AI_+sigma_18,2
114,AI_+sigma_18,3
115,AI_+sigma_18,2
116,AI_+sigma_18,1
117,AI_+sigma_18,2
118,AI_+sigma_18,3
119,AI_+sigma_18,1
120,AI_+sigma_18,2
