task,worker,label
2-109,AI_-sigma_13,0
1-475,AI_-sigma_13,0
4-359,AI_-sigma_13,4
4-9,AI_-sigma_13,4
2-482,AI_-sigma_13,0
3-312,AI_-sigma_13,2
0-273,AI_-sigma_13,1
4-372,AI_-sigma_13,4
3-484,AI_-sigma_13,4
0-322,AI_-sigma_13,1
4-451,AI_-sigma_13,1
3-398,AI_-sigma_13,1
4-398,AI_-sigma_13,4
3-268,AI_-sigma_13,3
2-353,AI_-sigma_13,2
0-122,AI_-sigma_13,0
1-399,AI_-sigma_13,0
1-62,AI_-sigma_13,1
2-271,AI_-sigma_13,2
2-425,AI_-sigma_13,2
1-149,AI_-sigma_13,1
0-189,AI_-sigma_13,1
3-171,AI_-sigma_13,3
2-39,AI_-sigma_13,2
0-130,AI_-sigma_13,1
4-142,AI_-sigma_13,4
4-475,AI_-sigma_13,2
4-85,AI_-sigma_13,4
3-331,AI_-sigma_13,3
0-419,AI_-sigma_13,1
3-15,AI_-sigma_13,3
0-335,AI_-sigma_13,2
3-410,AI_-sigma_13,3
1-499,AI_-sigma_13,1
1-175,AI_-sigma_13,1
3-454,AI_-sigma_13,3
3-307,AI_-sigma_13,3
2-448,AI_-sigma_13,0
0-115,AI_-sigma_13,1
2-394,AI_-sigma_13,4
3-32,AI_-sigma_13,1
2-407,AI_-sigma_13,1
1-392,AI_-sigma_13,4
1-317,AI_-sigma_13,1
1-130,AI_-sigma_13,4
0-340,AI_-sigma_13,1
3-345,AI_-sigma_13,3
3-252,AI_-sigma_13,4
0-255,AI_-sigma_13,2
2-21,AI_-sigma_13,3
0-79,AI_-sigma_13,4
1-44,AI_-sigma_13,3
3-474,AI_-sigma_13,2
3-28,AI_-sigma_13,3
0-357,AI_-sigma_13,1
3-16,AI_-sigma_13,3
3-236,AI_-sigma_13,2
3-419,AI_-sigma_13,3
4-426,AI_-sigma_13,4
0-71,AI_-sigma_13,1
1-413,AI_-sigma_13,1
0-136,AI_-sigma_13,1
4-228,AI_-sigma_13,3
2-54,AI_-sigma_13,2
4-66,AI_-sigma_13,3
2-224,AI_-sigma_13,1
1-494,AI_-sigma_13,1
0-293,AI_-sigma_13,1
1-151,AI_-sigma_13,4
3-325,AI_-sigma_13,3
3-355,AI_-sigma_13,4
1-487,AI_-sigma_13,3
3-425,AI_-sigma_13,3
1-254,AI_-sigma_13,1
4-230,AI_-sigma_13,4
2-144,AI_-sigma_13,4
4-45,AI_-sigma_13,4
2-346,AI_-sigma_13,2
0-466,AI_-sigma_13,4
4-369,AI_-sigma_13,4
1-323,AI_-sigma_13,3
3-72,AI_-sigma_13,3
0-209,AI_-sigma_13,1
0-83,AI_-sigma_13,1
4-338,AI_-sigma_13,4
4-183,AI_-sigma_13,4
0-336,AI_-sigma_13,1
3-302,AI_-sigma_13,3
1-201,AI_-sigma_13,0
0-471,AI_-sigma_13,1
3-197,AI_-sigma_13,3
1-348,AI_-sigma_13,4
4-329,AI_-sigma_13,3
4-240,AI_-sigma_13,1
4-111,AI_-sigma_13,4
1-104,AI_-sigma_13,3
1-341,AI_-sigma_13,1
1-101,AI_-sigma_13,1
2-470,AI_-sigma_13,2
2-435,AI_-sigma_13,2
3-101,AI_-sigma_13,3
3-391,AI_-sigma_13,3
0-334,AI_-sigma_13,1
2-22,AI_-sigma_13,2
1-331,AI_-sigma_13,1
3-344,AI_-sigma_13,4
4-387,AI_-sigma_13,0
2-10,AI_-sigma_13,3
0-270,AI_-sigma_13,1
1-462,AI_-sigma_13,0
2-291,AI_-sigma_13,2
0-341,AI_-sigma_13,0
3-248,AI_-sigma_13,3
2-411,AI_-sigma_13,2
3-418,AI_-sigma_13,4
2-240,AI_-sigma_13,4
1-286,AI_-sigma_13,4
0-292,AI_-sigma_13,1
1-482,AI_-sigma_13,1
1-326,AI_-sigma_13,2
2-293,AI_-sigma_13,1
0-246,AI_-sigma_13,2
4-108,AI_-sigma_13,4
4-71,AI_-sigma_13,1
0-406,AI_-sigma_13,1
0-3,AI_-sigma_13,1
3-300,AI_-sigma_13,2
0-420,AI_-sigma_13,1
3-455,AI_-sigma_13,1
4-399,AI_-sigma_13,0
4-5,AI_-sigma_13,4
0-157,AI_-sigma_13,1
3-313,AI_-sigma_13,3
3-411,AI_-sigma_13,2
0-232,AI_-sigma_13,4
3-105,AI_-sigma_13,2
1-337,AI_-sigma_13,2
0-323,AI_-sigma_13,1
2-170,AI_-sigma_13,2
3-462,AI_-sigma_13,3
0-44,AI_-sigma_13,4
4-117,AI_-sigma_13,3
4-497,AI_-sigma_13,0
2-148,AI_-sigma_13,2
3-327,AI_-sigma_13,3
2-445,AI_-sigma_13,4
0-326,AI_-sigma_13,1
3-246,AI_-sigma_13,1
4-499,AI_-sigma_13,4
1-345,AI_-sigma_13,1
0-18,AI_-sigma_13,1
1-134,AI_-sigma_13,1
1-203,AI_-sigma_13,3
0-318,AI_-sigma_13,3
0-160,AI_-sigma_13,1
1-75,AI_-sigma_13,1
1-281,AI_-sigma_13,1
2-479,AI_-sigma_13,2
3-347,AI_-sigma_13,3
1-357,AI_-sigma_13,1
2-32,AI_-sigma_13,2
0-6,AI_-sigma_13,1
1-110,AI_-sigma_13,4
3-407,AI_-sigma_13,2
1-188,AI_-sigma_13,1
3-54,AI_-sigma_13,0
2-420,AI_-sigma_13,2
0-484,AI_-sigma_13,1
4-300,AI_-sigma_13,1
3-95,AI_-sigma_13,2
2-46,AI_-sigma_13,0
0-210,AI_-sigma_13,1
4-25,AI_-sigma_13,4
3-110,AI_-sigma_13,4
2-221,AI_-sigma_13,2
3-144,AI_-sigma_13,3
4-55,AI_-sigma_13,2
0-230,AI_-sigma_13,1
0-478,AI_-sigma_13,1
1-420,AI_-sigma_13,4
4-212,AI_-sigma_13,4
2-35,AI_-sigma_13,0
1-106,AI_-sigma_13,1
4-328,AI_-sigma_13,4
2-447,AI_-sigma_13,4
0-394,AI_-sigma_13,3
4-93,AI_-sigma_13,1
3-82,AI_-sigma_13,3
0-110,AI_-sigma_13,1
4-342,AI_-sigma_13,4
3-27,AI_-sigma_13,3
4-80,AI_-sigma_13,4
3-25,AI_-sigma_13,3
4-321,AI_-sigma_13,3
4-77,AI_-sigma_13,0
4-350,AI_-sigma_13,2
4-92,AI_-sigma_13,4
0-205,AI_-sigma_13,2
2-89,AI_-sigma_13,4
2-36,AI_-sigma_13,2
1-81,AI_-sigma_13,4
1-274,AI_-sigma_13,1
0-25,AI_-sigma_13,4
0-196,AI_-sigma_13,4
0-331,AI_-sigma_13,1
4-373,AI_-sigma_13,0
3-421,AI_-sigma_13,3
2-492,AI_-sigma_13,2
3-178,AI_-sigma_13,3
4-421,AI_-sigma_13,4
4-323,AI_-sigma_13,4
0-111,AI_-sigma_13,3
4-31,AI_-sigma_13,4
1-59,AI_-sigma_13,1
3-162,AI_-sigma_13,2
2-27,AI_-sigma_13,2
2-401,AI_-sigma_13,3
2-404,AI_-sigma_13,2
2-69,AI_-sigma_13,3
2-290,AI_-sigma_13,2
0-162,AI_-sigma_13,1
