task,worker,label
2-109,AI_mean_5,2
1-475,AI_mean_5,1
4-359,AI_mean_5,4
4-9,AI_mean_5,4
2-482,AI_mean_5,2
3-312,AI_mean_5,3
0-273,AI_mean_5,3
4-372,AI_mean_5,4
3-484,AI_mean_5,3
0-322,AI_mean_5,3
4-451,AI_mean_5,4
3-398,AI_mean_5,3
4-398,AI_mean_5,0
3-268,AI_mean_5,3
2-353,AI_mean_5,2
0-122,AI_mean_5,3
1-399,AI_mean_5,1
1-62,AI_mean_5,1
2-271,AI_mean_5,2
2-425,AI_mean_5,2
1-149,AI_mean_5,1
0-189,AI_mean_5,3
3-171,AI_mean_5,3
2-39,AI_mean_5,2
0-130,AI_mean_5,3
4-142,AI_mean_5,4
4-475,AI_mean_5,4
4-85,AI_mean_5,4
3-331,AI_mean_5,3
0-419,AI_mean_5,3
3-15,AI_mean_5,3
0-335,AI_mean_5,3
3-410,AI_mean_5,3
1-499,AI_mean_5,1
1-175,AI_mean_5,1
3-454,AI_mean_5,3
3-307,AI_mean_5,3
2-448,AI_mean_5,2
0-115,AI_mean_5,4
2-394,AI_mean_5,2
3-32,AI_mean_5,3
2-407,AI_mean_5,2
1-392,AI_mean_5,1
1-317,AI_mean_5,1
1-130,AI_mean_5,1
0-340,AI_mean_5,3
3-345,AI_mean_5,3
3-252,AI_mean_5,2
0-255,AI_mean_5,3
2-21,AI_mean_5,2
0-79,AI_mean_5,4
1-44,AI_mean_5,1
3-474,AI_mean_5,3
3-28,AI_mean_5,3
0-357,AI_mean_5,3
3-16,AI_mean_5,3
3-236,AI_mean_5,3
3-419,AI_mean_5,3
4-426,AI_mean_5,4
0-71,AI_mean_5,3
1-413,AI_mean_5,1
0-136,AI_mean_5,3
4-228,AI_mean_5,1
2-54,AI_mean_5,2
4-66,AI_mean_5,4
2-224,AI_mean_5,4
1-494,AI_mean_5,1
0-293,AI_mean_5,3
1-151,AI_mean_5,1
3-325,AI_mean_5,3
3-355,AI_mean_5,3
1-487,AI_mean_5,1
3-425,AI_mean_5,3
1-254,AI_mean_5,1
4-230,AI_mean_5,4
2-144,AI_mean_5,2
4-45,AI_mean_5,4
2-346,AI_mean_5,2
0-466,AI_mean_5,3
4-369,AI_mean_5,4
1-323,AI_mean_5,1
3-72,AI_mean_5,1
0-209,AI_mean_5,3
0-83,AI_mean_5,0
4-338,AI_mean_5,3
4-183,AI_mean_5,4
0-336,AI_mean_5,3
3-302,AI_mean_5,3
1-201,AI_mean_5,1
0-471,AI_mean_5,3
3-197,AI_mean_5,3
1-348,AI_mean_5,1
4-329,AI_mean_5,4
4-240,AI_mean_5,4
4-111,AI_mean_5,3
1-104,AI_mean_5,1
1-341,AI_mean_5,1
1-101,AI_mean_5,1
2-470,AI_mean_5,2
2-435,AI_mean_5,2
3-101,AI_mean_5,3
3-391,AI_mean_5,3
0-334,AI_mean_5,3
2-22,AI_mean_5,2
1-331,AI_mean_5,1
3-344,AI_mean_5,3
4-387,AI_mean_5,4
2-10,AI_mean_5,2
0-270,AI_mean_5,3
1-462,AI_mean_5,3
2-291,AI_mean_5,2
0-341,AI_mean_5,3
3-248,AI_mean_5,3
2-411,AI_mean_5,2
3-418,AI_mean_5,3
2-240,AI_mean_5,2
1-286,AI_mean_5,1
0-292,AI_mean_5,3
1-482,AI_mean_5,1
1-326,AI_mean_5,1
2-293,AI_mean_5,2
0-246,AI_mean_5,3
4-108,AI_mean_5,4
4-71,AI_mean_5,4
0-406,AI_mean_5,3
0-3,AI_mean_5,3
3-300,AI_mean_5,3
0-420,AI_mean_5,3
3-455,AI_mean_5,3
4-399,AI_mean_5,4
4-5,AI_mean_5,4
0-157,AI_mean_5,0
3-313,AI_mean_5,0
3-411,AI_mean_5,3
0-232,AI_mean_5,3
3-105,AI_mean_5,3
1-337,AI_mean_5,1
0-323,AI_mean_5,3
2-170,AI_mean_5,2
3-462,AI_mean_5,3
0-44,AI_mean_5,3
4-117,AI_mean_5,4
4-497,AI_mean_5,4
2-148,AI_mean_5,2
3-327,AI_mean_5,3
2-445,AI_mean_5,2
0-326,AI_mean_5,3
3-246,AI_mean_5,3
4-499,AI_mean_5,4
1-345,AI_mean_5,1
0-18,AI_mean_5,3
1-134,AI_mean_5,1
1-203,AI_mean_5,1
0-318,AI_mean_5,3
0-160,AI_mean_5,3
1-75,AI_mean_5,1
1-281,AI_mean_5,1
2-479,AI_mean_5,2
3-347,AI_mean_5,3
1-357,AI_mean_5,1
2-32,AI_mean_5,2
0-6,AI_mean_5,3
1-110,AI_mean_5,1
3-407,AI_mean_5,3
1-188,AI_mean_5,1
3-54,AI_mean_5,0
2-420,AI_mean_5,2
0-484,AI_mean_5,3
4-300,AI_mean_5,4
3-95,AI_mean_5,3
2-46,AI_mean_5,2
0-210,AI_mean_5,3
4-25,AI_mean_5,4
3-110,AI_mean_5,3
2-221,AI_mean_5,2
3-144,AI_mean_5,3
4-55,AI_mean_5,4
0-230,AI_mean_5,3
0-478,AI_mean_5,3
1-420,AI_mean_5,1
4-212,AI_mean_5,4
2-35,AI_mean_5,2
1-106,AI_mean_5,1
4-328,AI_mean_5,4
2-447,AI_mean_5,3
0-394,AI_mean_5,3
4-93,AI_mean_5,4
3-82,AI_mean_5,3
0-110,AI_mean_5,3
4-342,AI_mean_5,4
3-27,AI_mean_5,3
4-80,AI_mean_5,4
3-25,AI_mean_5,3
4-321,AI_mean_5,4
4-77,AI_mean_5,4
4-350,AI_mean_5,4
4-92,AI_mean_5,4
0-205,AI_mean_5,3
2-89,AI_mean_5,2
2-36,AI_mean_5,2
1-81,AI_mean_5,1
1-274,AI_mean_5,1
0-25,AI_mean_5,3
0-196,AI_mean_5,4
0-331,AI_mean_5,3
4-373,AI_mean_5,4
3-421,AI_mean_5,3
2-492,AI_mean_5,2
3-178,AI_mean_5,3
4-421,AI_mean_5,4
4-323,AI_mean_5,4
0-111,AI_mean_5,4
4-31,AI_mean_5,4
1-59,AI_mean_5,2
3-162,AI_mean_5,3
2-27,AI_mean_5,2
2-401,AI_mean_5,0
2-404,AI_mean_5,2
2-69,AI_mean_5,2
2-290,AI_mean_5,1
0-162,AI_mean_5,3
1-451,AI_mean_5,1
2-244,AI_mean_5,2
2-381,AI_mean_5,3
1-173,AI_mean_5,0
2-30,AI_mean_5,2
4-38,AI_mean_5,0
1-153,AI_mean_5,1
3-304,AI_mean_5,3
1-68,AI_mean_5,1
1-271,AI_mean_5,1
4-304,AI_mean_5,1
4-192,AI_mean_5,4
3-452,AI_mean_5,3
1-388,AI_mean_5,1
3-333,AI_mean_5,3
4-223,AI_mean_5,4
1-124,AI_mean_5,1
4-191,AI_mean_5,4
2-197,AI_mean_5,2
1-63,AI_mean_5,1
3-199,AI_mean_5,3
4-44,AI_mean_5,4
3-53,AI_mean_5,3
0-204,AI_mean_5,3
2-14,AI_mean_5,4
3-211,AI_mean_5,3
4-488,AI_mean_5,2
2-310,AI_mean_5,2
4-365,AI_mean_5,4
3-222,AI_mean_5,3
3-232,AI_mean_5,3
2-84,AI_mean_5,2
4-209,AI_mean_5,4
2-373,AI_mean_5,2
0-0,AI_mean_5,3
2-396,AI_mean_5,2
3-342,AI_mean_5,3
2-442,AI_mean_5,2
0-404,AI_mean_5,3
2-327,AI_mean_5,2
2-81,AI_mean_5,2
0-432,AI_mean_5,0
0-462,AI_mean_5,3
4-242,AI_mean_5,4
4-7,AI_mean_5,4
1-197,AI_mean_5,1
4-81,AI_mean_5,4
3-10,AI_mean_5,3
1-156,AI_mean_5,2
2-345,AI_mean_5,2
1-165,AI_mean_5,1
2-227,AI_mean_5,2
1-301,AI_mean_5,1
2-475,AI_mean_5,2
3-485,AI_mean_5,3
0-499,AI_mean_5,3
0-351,AI_mean_5,3
1-309,AI_mean_5,1
3-351,AI_mean_5,3
1-171,AI_mean_5,1
1-0,AI_mean_5,1
3-93,AI_mean_5,3
1-441,AI_mean_5,1
2-324,AI_mean_5,2
3-283,AI_mean_5,4
4-114,AI_mean_5,4
0-354,AI_mean_5,3
1-43,AI_mean_5,1
1-169,AI_mean_5,1
0-182,AI_mean_5,2
3-237,AI_mean_5,3
2-440,AI_mean_5,2
3-29,AI_mean_5,3
3-464,AI_mean_5,3
0-401,AI_mean_5,3
3-121,AI_mean_5,0
1-86,AI_mean_5,1
2-106,AI_mean_5,2
2-263,AI_mean_5,2
3-335,AI_mean_5,3
1-347,AI_mean_5,1
2-489,AI_mean_5,2
1-163,AI_mean_5,1
1-305,AI_mean_5,1
