task,gt
t27,2
t542,4
t544,2
t569,2
t225,2
t655,4
t827,2
t1040,2
t20,1
t699,2
t812,4
t681,2
t360,2
t328,0
t908,2
t732,4
t97,2
t860,2
t817,2
t821,4
t822,4
t43,2
t284,2
t381,0
t21,4
t541,4
t995,2
t380,3
t750,2
t180,4
t322,2
t98,4
t395,4
t100,2
t1039,0
t1042,2
t685,2
t62,4
t309,0
t640,2
t509,3
t425,2
t776,2
t238,2
t730,2
t419,1
t131,2
t579,2
t171,2
t524,2
t713,2
t696,2
t4,2
t584,2
t353,4
t890,2
t482,4
t248,4
t25,2
t494,2
t839,2
t969,2
t29,2
t806,4
t978,1
t119,4
t796,2
t606,0
t314,1
t782,2
t69,3
t199,2
t427,2
t173,2
t941,2
t489,2
t804,2
t183,3
t945,2
t107,4
t834,4
t891,2
t430,2
t835,2
t555,4
t181,2
t12,0
t999,2
t926,4
t281,4
t706,2
t986,3
t102,4
t918,2
t456,4
t886,4
t125,2
t370,2
t446,4
t86,2
t277,3
t481,4
t346,2
t58,2
t63,2
t120,3
t196,2
t892,3
t1049,4
t214,2
t400,3
t979,2
t319,2
t636,2
t669,2
t303,0
t582,2
t335,4
t985,4
t376,2
t808,2
t170,4
t649,2
t358,2
t870,4
t50,2
t989,2
t189,0
t526,2
t885,4
t625,4
t141,4
t156,2
t453,2
t318,0
t426,4
t563,2
t373,2
t72,2
t547,4
t740,2
t363,3
t694,2
t578,1
t710,2
t490,3
t26,4
t271,4
t884,2
t840,0
t82,1
t680,2
t213,0
t129,4
t905,2
t1037,2
t116,2
t755,0
t450,2
t486,1
t1010,4
t81,4
t288,2
t733,4
t305,2
t241,1
t460,3
t567,2
t819,2
t345,4
t136,2
t774,4
t803,2
t413,2
t953,4
t359,2
t371,2
t581,2
t261,3
t95,2
t1015,3
t784,4
t783,2
t650,1
t851,2
t263,4
t174,4
t11,2
t1016,2
t588,2
t546,4
t638,2
t525,2
t33,4
t246,4
t549,2
t139,4
t618,2
t463,2
t508,0
t338,1
t117,0
t386,2
t1036,2
t668,2
t976,3
t586,0
t423,4
t1031,4
t202,4
t220,2
t502,4
t222,2
t488,0
t250,4
t188,4
t545,4
t336,2
t422,2
t949,2
t639,0
t876,0
t369,2
t676,2
t660,2
t496,3
t148,2
t532,4
t591,4
t40,4
t824,4
t285,4
t103,4
t854,4
t865,2
t1029,4
t168,2
t60,4
t570,2
t448,2
t402,2
t704,4
t879,4
t777,4
t1000,2
t36,4
t159,2
t980,4
t480,0
t1,2
t374,2
t1028,1
t596,2
t789,2
t657,4
t194,2
t112,4
t344,4
t815,2
t693,4
t93,2
t747,4
t622,3
t503,2
t643,4
t595,4
t705,2
t479,4
t811,4
t630,2
t759,4
t421,4
t1001,2
t557,0
t239,2
t383,2
t842,0
t428,2
t548,2
t768,3
t943,0
t99,2
t414,2
t229,2
t293,4
t786,3
t744,4
t1012,2
t169,2
t351,4
t773,2
t431,2
t161,2
t718,2
t576,2
t23,2
t564,2
t994,0
t84,2
t5,4
t234,2
t192,4
t122,2
t432,2
t721,4
t262,0
t852,0
t714,2
t902,2
t523,2
t518,2
t617,4
t150,2
t24,4
t703,2
t522,2
t252,0
t118,2
t341,1
t646,2
t83,2
t571,2
t752,2
t167,2
t389,2
t392,4
t198,2
t172,4
t847,2
t208,4
t1018,4
t923,2
t594,2
t717,2
t723,2
t265,4
t583,4
t71,2
t513,3
t506,3
t772,3
t825,2
t1034,2
t235,2
t575,2
t429,2
t540,2
t372,2
t226,2
t616,2
t68,2
t614,2
t598,2
t888,2
t990,4
t79,2
t53,2
t928,2
t572,4
t802,4
t939,2
t275,2
t982,2
t154,4
t996,2
t280,2
t871,4
t925,0
t674,3
t697,2
t272,2
t753,4
t670,2
t1041,2
t552,4
t491,4
t568,1
t970,2
t963,4
t18,2
t1024,3
t767,2
t447,3
t736,3
t729,2
t813,2
t57,2
t962,2
t32,4
t130,4
t37,2
t833,2
t501,2
t96,2
t1033,2
t200,0
t393,4
t795,4
t849,4
t177,1
t80,0
t867,4
t682,4
t530,3
t279,4
t368,2
t137,2
t1023,4
t631,1
t145,1
t964,4
t924,2
t921,2
t872,2
t255,2
t295,2
t179,4
t748,4
t881,2
t903,3
t626,2
t231,2
t846,3
t329,2
t451,4
t661,2
t793,2
t997,4
t607,4
t2,2
t829,2
t146,2
t1046,2
t349,2
t642,3
t492,2
t1014,2
t858,2
t711,2
t1030,2
t560,1
t936,0
t283,3
t977,2
t276,2
t61,2
t469,4
t927,4
t950,2
t993,2
t228,2
t10,2
t128,2
t551,0
t270,2
t417,2
t799,2
t46,1
t907,2
t760,2
t716,2
t1038,2
t461,2
t403,2
t473,4
t300,2
t861,2
t597,2
t745,4
t648,1
t390,2
t975,2
t48,4
t621,4
t47,2
t665,4
t624,2
t602,4
t304,2
t310,0
t855,2
t735,2
t967,4
t656,4
t209,2
t589,1
t957,4
t45,4
t566,4
t203,2
t7,2
t500,2
t44,2
t75,2
t397,2
t85,0
t476,4
t909,4
t874,4
t605,4
t54,2
t253,2
t574,4
t221,2
t633,2
t877,2
t472,2
t313,4
t659,2
t323,4
t527,2
t754,4
t452,4
t388,2
t30,2
t366,2
t206,3
t415,2
t152,4
t495,2
t742,4
t832,2
t178,0
t306,4
t182,4
t864,4
