task,worker,label
t64,w670,4
t766,w124,4
t873,w603,2
t16,w106,2
t96,w95,2
t358,w187,2
t212,w225,2
t258,w95,4
t1019,w320,0
t409,w826,2
t947,w433,2
t818,w67,4
t267,w519,3
t603,w218,2
t163,w189,2
t286,w172,1
t624,w221,0
t661,w594,0
t230,w686,2
t216,w271,4
t115,w752,2
t919,w763,4
t884,w109,2
t917,w384,0
t278,w492,2
t364,w218,2
t679,w792,2
t608,w214,2
t558,w507,2
t965,w742,2
t729,w115,2
t467,w542,3
t406,w614,2
t561,w95,2
t778,w533,2
t179,w764,4
t592,w84,0
t901,w373,2
t567,w571,2
t130,w268,4
t249,w103,0
t374,w172,2
t669,w335,2
t883,w204,0
t805,w67,1
t787,w528,2
t387,w374,1
t745,w418,4
t330,w442,2
t1043,w154,1
t794,w580,4
t385,w604,4
t328,w427,0
t559,w410,2
t974,w221,2
t612,w335,4
t438,w213,2
t246,w481,4
t634,w399,2
t987,w833,2
t742,w495,4
t88,w95,2
t435,w664,2
t238,w622,2
t194,w236,2
t579,w672,2
t234,w394,4
t44,w275,2
t357,w221,3
t845,w595,0
t51,w73,4
t692,w614,2
t604,w470,3
t344,w494,4
t814,w273,4
t447,w477,3
t1006,w37,4
t172,w73,4
t714,w561,2
t665,w500,4
t319,w228,2
t380,w680,4
t737,w462,2
t140,w584,2
t422,w644,2
t1014,w427,2
t722,w833,2
t889,w693,3
t157,w563,4
t154,w48,4
t899,w175,4
t724,w325,4
t858,w103,2
t119,w791,4
t49,w154,2
t717,w522,2
t361,w427,2
t479,w256,4
t572,w275,4
t367,w467,2
t132,w286,2
t1038,w684,2
t806,w773,4
t607,w712,4
t773,w207,0
t504,w278,2
t838,w282,2
t137,w403,1
t247,w105,2
t95,w481,2
t92,w506,2
t932,w661,4
t849,w514,4
t314,w82,1
t94,w477,4
t186,w277,2
t934,w793,4
t1001,w678,2
t293,w437,4
t176,w442,4
t240,w82,2
t1007,w586,2
t536,w506,4
t393,w434,4
t42,w324,2
t109,w127,1
t526,w569,3
t57,w137,2
t694,w810,2
t106,w371,4
t599,w684,2
t862,w563,1
t705,w364,2
t368,w410,2
t26,w451,4
t801,w73,2
t857,w418,2
t356,w623,0
t918,w413,2
t492,w503,2
t244,w716,2
t62,w665,4
t243,w680,2
t258,w542,3
t797,w774,4
t414,w482,2
t343,w37,4
t957,w823,4
t823,w769,1
t999,w250,2
t476,w613,4
t165,w386,4
t512,w586,2
t139,w94,4
t279,w201,4
t906,w812,4
t982,w647,2
t488,w341,2
t491,w308,4
t5,w810,4
t1005,w816,4
t103,w351,4
t553,w299,3
t470,w414,2
t703,w412,2
t831,w762,2
t350,w204,2
t840,w18,0
t981,w556,2
t421,w482,4
t684,w650,0
t880,w575,4
t515,w391,1
t111,w622,2
t485,w307,2
t1044,w400,2
t254,w507,2
t769,w238,2
t135,w281,1
t231,w207,0
t532,w450,4
t994,w575,2
t804,w325,0
t466,w140,2
t10,w363,2
t219,w793,2
t11,w77,2
t574,w736,4
t191,w601,2
t370,w215,2
t619,w242,2
t751,w382,2
t670,w419,2
t693,w807,4
t929,w141,2
t718,w674,1
t22,w250,2
t613,w551,0
t1002,w613,2
t827,w623,0
t1024,w377,3
t644,w767,2
t89,w541,0
t494,w724,2
t1018,w27,4
t104,w30,2
t342,w37,1
t220,w814,2
t193,w642,4
t272,w574,2
t947,w750,2
t364,w206,4
t85,w336,0
t69,w284,1
t223,w396,4
t682,w500,0
t539,w788,2
t948,w377,4
t825,w386,2
t82,w575,2
t284,w256,2
t175,w279,4
t710,w496,2
t321,w518,2
t689,w632,1
t837,w201,2
t1030,w56,2
t406,w292,2
t971,w740,3
t379,w820,4
t169,w599,2
t963,w556,4
t595,w542,0
t881,w17,3
t654,w445,2
t953,w281,4
t352,w289,0
t237,w807,2
t153,w277,2
t550,w575,4
t704,w351,4
t629,w713,2
t555,w304,4
t123,w617,0
t289,w620,2
t842,w276,0
t108,w277,2
t618,w112,2
t486,w46,2
t624,w368,2
t46,w450,2
t711,w304,2
t315,w594,0
t50,w632,2
t867,w307,4
t625,w159,4
t973,w243,4
t253,w498,1
t965,w106,2
t385,w154,2
t1025,w688,2
t560,w770,1
t409,w700,0
t430,w176,1
t900,w125,1
t242,w819,4
t558,w86,1
t93,w528,2
t455,w391,2
t173,w787,2
t294,w497,2
t992,w17,4
t387,w604,2
t677,w34,0
t120,w593,4
t441,w307,2
t61,w760,2
t706,w336,2
t596,w275,2
t27,w661,2
t7,w471,2
t680,w34,2
t230,w489,2
t184,w338,4
t832,w284,2
