task,worker,label
344,A2H321P1NSEW35,0
344,A2V3P1XE33NYC3,0
344,A2UFD1I8ZO1V4G,0
345,AWRAXV1RIYR0M,0
345,AD317NO9623GZ,0
345,A2UFD1I8ZO1V4G,0
346,AWRAXV1RIYR0M,0
346,AD317NO9623GZ,0
346,A2UFD1I8ZO1V4G,3
347,AWRAXV1RIYR0M,0
347,AD317NO9623GZ,0
347,A2UFD1I8ZO1V4G,2
340,A1C0Z73809FFDZ,1
340,A2V3P1XE33NYC3,1
340,AKBP92VUQ7G3,1
341,A2H321P1NSEW35,0
341,A2V3P1XE33NYC3,0
341,A2UFD1I8ZO1V4G,1
342,A2H321P1NSEW35,1
342,A2V3P1XE33NYC3,1
342,A2UFD1I8ZO1V4G,1
343,A2H321P1NSEW35,3
343,A2V3P1XE33NYC3,3
343,A2UFD1I8ZO1V4G,1
348,AWRAXV1RIYR0M,1
348,AD317NO9623GZ,1
348,A2UFD1I8ZO1V4G,1
349,A3NU1SQPI1NXY4,1
349,A2V3P1XE33NYC3,1
349,ATQWZNGQCN1RA,1
298,A3NU1SQPI1NXY4,1
298,ATQWZNGQCN1RA,1
298,A2AM6H3R1LSM9S,1
299,A3NU1SQPI1NXY4,1
299,ATQWZNGQCN1RA,2
299,A2AM6H3R1LSM9S,2
296,A1BHMDRWW9ZYSO,0
296,A2V3P1XE33NYC3,0
296,A3E157ZN8XPUKJ,0
297,A3NU1SQPI1NXY4,1
297,ATQWZNGQCN1RA,0
297,A2AM6H3R1LSM9S,0
294,A1BHMDRWW9ZYSO,1
294,A2V3P1XE33NYC3,1
294,A3E157ZN8XPUKJ,1
295,A1BHMDRWW9ZYSO,0
295,A2V3P1XE33NYC3,1
295,A3E157ZN8XPUKJ,1
292,ATQWZNGQCN1RA,1
292,AD317NO9623GZ,1
292,AKBP92VUQ7G3,1
293,A1BHMDRWW9ZYSO,0
293,A2V3P1XE33NYC3,3
293,A3E157ZN8XPUKJ,0
290,ATQWZNGQCN1RA,0
290,AD317NO9623GZ,0
290,AKBP92VUQ7G3,0
291,ATQWZNGQCN1RA,2
291,AD317NO9623GZ,2
291,AKBP92VUQ7G3,2
199,ATQWZNGQCN1RA,2
199,A1PAR1TMKFPKQE,2
199,AD317NO9623GZ,2
198,ATQWZNGQCN1RA,0
198,A1PAR1TMKFPKQE,0
198,AD317NO9623GZ,0
195,A2UFD1I8ZO1V4G,1
195,A3NU1SQPI1NXY4,1
195,AKBP92VUQ7G3,3
194,A2UFD1I8ZO1V4G,1
194,A3NU1SQPI1NXY4,1
194,AKBP92VUQ7G3,0
197,ATQWZNGQCN1RA,3
197,A1PAR1TMKFPKQE,3
197,AD317NO9623GZ,3
196,A2UFD1I8ZO1V4G,1
196,A3NU1SQPI1NXY4,1
196,AKBP92VUQ7G3,1
191,A2UFD1I8ZO1V4G,2
191,AM2W23THD4CI7,0
191,AD317NO9623GZ,0
190,A2UFD1I8ZO1V4G,0
190,AM2W23THD4CI7,1
190,AD317NO9623GZ,1
193,A2UFD1I8ZO1V4G,0
193,A3NU1SQPI1NXY4,1
193,AKBP92VUQ7G3,0
192,A2UFD1I8ZO1V4G,1
192,AM2W23THD4CI7,1
192,AD317NO9623GZ,1
270,A2V3P1XE33NYC3,0
270,AD317NO9623GZ,1
270,AKBP92VUQ7G3,1
271,A2V3P1XE33NYC3,3
271,AD317NO9623GZ,0
271,AKBP92VUQ7G3,0
272,A2V3P1XE33NYC3,2
272,AD317NO9623GZ,0
272,AKBP92VUQ7G3,0
273,AKBP92VUQ7G3,0
273,AM2W23THD4CI7,0
