dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,recall,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pih_4,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3,uc_pia_4
adult,hybrid,EMDS,-sigma,5,8,0,-1,0.8990918264379415,0.3442622950819672,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,GLAD,-sigma,5,8,0,-1,0.9303733602421796,0.4426229508196721,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,OneCoinDS,-sigma,5,8,0,-1,0.9283551967709385,0.36065573770491804,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,HSDS_EM,-sigma,5,8,0,-1,0.863773965691221,0.7540983606557377,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,BDS(iter_sampling=1000),-sigma,5,8,0,1,0.9667003027245207,0.9016393442622951,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,BDS(iter_sampling=2000),-sigma,5,8,0,1,0.9667003027245207,0.9016393442622951,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,BDS(iter_sampling=3000),-sigma,5,8,0,1,0.9667003027245207,0.9016393442622951,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,HSDS_MCMC(iter_sampling=1000),-sigma,5,8,0,1,0.9667003027245207,0.9016393442622951,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,HSDS_MCMC(iter_sampling=2000),-sigma,5,8,0,1,0.9667003027245207,0.9016393442622951,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,HSDS_MCMC(iter_sampling=3000),-sigma,5,8,0,1,0.9667003027245207,0.9016393442622951,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,EMDS,-sigma,5,8,1,-1,0.8990918264379415,0.3442622950819672,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,GLAD,-sigma,5,8,1,-1,0.9303733602421796,0.4426229508196721,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,OneCoinDS,-sigma,5,8,1,-1,0.9283551967709385,0.36065573770491804,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,HSDS_EM,-sigma,5,8,1,-1,0.863773965691221,0.7540983606557377,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,BDS(iter_sampling=1000),-sigma,5,8,1,1,0.9667003027245207,0.9016393442622951,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,BDS(iter_sampling=2000),-sigma,5,8,1,1,0.9677093844601413,0.9016393442622951,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,BDS(iter_sampling=3000),-sigma,5,8,1,1,0.9667003027245207,0.9016393442622951,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,HSDS_MCMC(iter_sampling=1000),-sigma,5,8,1,1,0.9656912209889001,0.9016393442622951,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,HSDS_MCMC(iter_sampling=2000),-sigma,5,8,1,1,0.9667003027245207,0.9016393442622951,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,HSDS_MCMC(iter_sampling=3000),-sigma,5,8,1,1,0.9667003027245207,0.9016393442622951,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,EMDS,-sigma,5,8,2,-1,0.8990918264379415,0.3442622950819672,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,GLAD,-sigma,5,8,2,-1,0.9303733602421796,0.4426229508196721,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,OneCoinDS,-sigma,5,8,2,-1,0.9283551967709385,0.36065573770491804,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,HSDS_EM,-sigma,5,8,2,-1,0.863773965691221,0.7540983606557377,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,BDS(iter_sampling=1000),-sigma,5,8,2,1,0.9667003027245207,0.9016393442622951,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,BDS(iter_sampling=2000),-sigma,5,8,2,1,0.9667003027245207,0.9016393442622951,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,BDS(iter_sampling=3000),-sigma,5,8,2,1,0.9667003027245207,0.9016393442622951,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,HSDS_MCMC(iter_sampling=1000),-sigma,5,8,2,1,0.9677093844601413,0.9180327868852459,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,HSDS_MCMC(iter_sampling=2000),-sigma,5,8,2,1,0.9677093844601413,0.9016393442622951,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,HSDS_MCMC(iter_sampling=3000),-sigma,5,8,2,1,0.9667003027245207,0.9016393442622951,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,EMDS,-sigma,5,8,3,-1,0.8990918264379415,0.3442622950819672,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,GLAD,-sigma,5,8,3,-1,0.9303733602421796,0.4426229508196721,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,OneCoinDS,-sigma,5,8,3,-1,0.9283551967709385,0.36065573770491804,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,HSDS_EM,-sigma,5,8,3,-1,0.863773965691221,0.7540983606557377,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,BDS(iter_sampling=1000),-sigma,5,8,3,1,0.9667003027245207,0.9016393442622951,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,BDS(iter_sampling=2000),-sigma,5,8,3,1,0.9667003027245207,0.9016393442622951,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,BDS(iter_sampling=3000),-sigma,5,8,3,1,0.9667003027245207,0.9016393442622951,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,HSDS_MCMC(iter_sampling=1000),-sigma,5,8,3,1,0.9667003027245207,0.9016393442622951,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,HSDS_MCMC(iter_sampling=2000),-sigma,5,8,3,1,0.9667003027245207,0.9016393442622951,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,HSDS_MCMC(iter_sampling=3000),-sigma,5,8,3,1,0.9667003027245207,0.9016393442622951,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,EMDS,-sigma,5,8,4,-1,0.8990918264379415,0.3442622950819672,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,GLAD,-sigma,5,8,4,-1,0.9303733602421796,0.4426229508196721,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,OneCoinDS,-sigma,5,8,4,-1,0.9283551967709385,0.36065573770491804,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,HSDS_EM,-sigma,5,8,4,-1,0.863773965691221,0.7540983606557377,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,BDS(iter_sampling=1000),-sigma,5,8,4,1,0.9677093844601413,0.9016393442622951,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,BDS(iter_sampling=2000),-sigma,5,8,4,1,0.9667003027245207,0.9016393442622951,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,BDS(iter_sampling=3000),-sigma,5,8,4,1,0.9656912209889001,0.9016393442622951,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,HSDS_MCMC(iter_sampling=1000),-sigma,5,8,4,1,0.9677093844601413,0.9016393442622951,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,HSDS_MCMC(iter_sampling=2000),-sigma,5,8,4,1,0.9667003027245207,0.9016393442622951,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,HSDS_MCMC(iter_sampling=3000),-sigma,5,8,4,1,0.9667003027245207,0.9016393442622951,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,EMDS,-sigma,5,16,0,-1,0.9132189707366297,0.03278688524590164,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,GLAD,-sigma,5,16,0,-1,0.9424823410696267,0.13114754098360656,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,OneCoinDS,-sigma,5,16,0,-1,0.9394550958627649,0.04918032786885246,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,HSDS_EM,-sigma,5,16,0,-1,0.9011099899091827,0.7377049180327869,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,BDS(iter_sampling=1000),-sigma,5,16,0,0,0.9949545913218971,0.9836065573770492,2,0,0,881,0,1199,0,0,55,0,53
adult,hybrid,BDS(iter_sampling=2000),-sigma,5,16,0,1,0.9959636730575177,0.9836065573770492,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,BDS(iter_sampling=3000),-sigma,5,16,0,1,0.9959636730575177,0.9836065573770492,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,HSDS_MCMC(iter_sampling=1000),-sigma,5,16,0,1,0.9959636730575177,0.9836065573770492,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,HSDS_MCMC(iter_sampling=2000),-sigma,5,16,0,1,0.9959636730575177,0.9836065573770492,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,HSDS_MCMC(iter_sampling=3000),-sigma,5,16,0,1,0.9959636730575177,0.9836065573770492,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,EMDS,-sigma,5,16,1,-1,0.9132189707366297,0.03278688524590164,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,GLAD,-sigma,5,16,1,-1,0.9424823410696267,0.13114754098360656,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,OneCoinDS,-sigma,5,16,1,-1,0.9394550958627649,0.04918032786885246,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,HSDS_EM,-sigma,5,16,1,-1,0.9011099899091827,0.7377049180327869,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,BDS(iter_sampling=1000),-sigma,5,16,1,1,0.9959636730575177,0.9836065573770492,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,BDS(iter_sampling=2000),-sigma,5,16,1,1,0.9959636730575177,0.9836065573770492,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,BDS(iter_sampling=3000),-sigma,5,16,1,1,0.9959636730575177,0.9836065573770492,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,HSDS_MCMC(iter_sampling=1000),-sigma,5,16,1,1,0.9959636730575177,0.9836065573770492,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,HSDS_MCMC(iter_sampling=2000),-sigma,5,16,1,1,0.9959636730575177,0.9836065573770492,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,HSDS_MCMC(iter_sampling=3000),-sigma,5,16,1,1,0.9959636730575177,0.9836065573770492,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,EMDS,-sigma,5,16,2,-1,0.9132189707366297,0.03278688524590164,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,GLAD,-sigma,5,16,2,-1,0.9424823410696267,0.13114754098360656,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,OneCoinDS,-sigma,5,16,2,-1,0.9394550958627649,0.04918032786885246,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,HSDS_EM,-sigma,5,16,2,-1,0.9011099899091827,0.7377049180327869,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,BDS(iter_sampling=1000),-sigma,5,16,2,0,0.9959636730575177,0.9836065573770492,2,0,0,888,0,1194,0,0,55,0,54
adult,hybrid,BDS(iter_sampling=2000),-sigma,5,16,2,1,0.9959636730575177,0.9836065573770492,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,BDS(iter_sampling=3000),-sigma,5,16,2,0,0.9959636730575177,0.9836065573770492,2,0,0,887,0,1201,0,0,54,0,53
adult,hybrid,HSDS_MCMC(iter_sampling=1000),-sigma,5,16,2,1,0.9959636730575177,0.9836065573770492,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,HSDS_MCMC(iter_sampling=2000),-sigma,5,16,2,1,0.9959636730575177,0.9836065573770492,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,HSDS_MCMC(iter_sampling=3000),-sigma,5,16,2,1,0.9959636730575177,0.9836065573770492,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,EMDS,-sigma,5,16,3,-1,0.9132189707366297,0.03278688524590164,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,GLAD,-sigma,5,16,3,-1,0.9424823410696267,0.13114754098360656,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,OneCoinDS,-sigma,5,16,3,-1,0.9394550958627649,0.04918032786885246,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,HSDS_EM,-sigma,5,16,3,-1,0.9011099899091827,0.7377049180327869,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,BDS(iter_sampling=1000),-sigma,5,16,3,1,0.9959636730575177,0.9836065573770492,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,BDS(iter_sampling=2000),-sigma,5,16,3,1,0.9959636730575177,0.9836065573770492,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,BDS(iter_sampling=3000),-sigma,5,16,3,1,0.9959636730575177,0.9836065573770492,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,HSDS_MCMC(iter_sampling=1000),-sigma,5,16,3,1,0.9959636730575177,0.9836065573770492,0,0,0,0,0,0,0,0,0,0,0
