dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,recall,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3
dog,homo,EMDS,max,10,3,0,-1,0.9144981412639405,0.8837209302325582,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,GLAD,max,10,3,0,-1,0.8636926889714994,0.7034883720930233,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,OneCoinDS,max,10,3,0,-1,0.8661710037174721,0.7093023255813954,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,HSDS_EM,max,10,3,0,-1,0.8686493184634448,0.877906976744186,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,BDS(iter_sampling=1000),max,10,3,0,0,0.6517967781908303,0.09883720930232558,4,362,327,362,325,12,9,11,10
dog,homo,BDS(iter_sampling=2000),max,10,3,0,0,0.6530359355638166,0.8546511627906976,4,308,291,38,298,6,6,0,9
dog,homo,BDS(iter_sampling=3000),max,10,3,0,0,0.8996282527881041,0.8895348837209303,4,8,279,37,257,0,6,0,9
dog,homo,HSDS_MCMC(iter_sampling=1000),max,10,3,0,0,0.8996282527881041,0.877906976744186,2,0,0,16,0,0,0,0,6
dog,homo,HSDS_MCMC(iter_sampling=2000),max,10,3,0,1,0.8996282527881041,0.877906976744186,0,0,0,0,0,0,0,0,0
dog,homo,HSDS_MCMC(iter_sampling=3000),max,10,3,0,1,0.8996282527881041,0.877906976744186,0,0,0,0,0,0,0,0,0
dog,homo,EMDS,max,10,3,1,-1,0.9144981412639405,0.8837209302325582,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,GLAD,max,10,3,1,-1,0.8636926889714994,0.7034883720930233,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,OneCoinDS,max,10,3,1,-1,0.8661710037174721,0.7093023255813954,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,HSDS_EM,max,10,3,1,-1,0.8686493184634448,0.877906976744186,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,BDS(iter_sampling=1000),max,10,3,1,0,0.8996282527881041,0.877906976744186,2,0,0,16,0,0,0,0,6
dog,homo,BDS(iter_sampling=2000),max,10,3,1,0,0.8897149938042132,0.8895348837209303,4,14,299,263,303,0,6,9,9
dog,homo,BDS(iter_sampling=3000),max,10,3,1,0,0.8884758364312267,0.877906976744186,4,263,260,299,3,9,9,9,6
dog,homo,HSDS_MCMC(iter_sampling=1000),max,10,3,1,1,0.8996282527881041,0.877906976744186,0,0,0,0,0,0,0,0,0
dog,homo,HSDS_MCMC(iter_sampling=2000),max,10,3,1,1,0.8996282527881041,0.877906976744186,0,0,0,0,0,0,0,0,0
dog,homo,HSDS_MCMC(iter_sampling=3000),max,10,3,1,1,0.8996282527881041,0.877906976744186,0,0,0,0,0,0,0,0,0
dog,homo,EMDS,max,10,3,2,-1,0.9144981412639405,0.8837209302325582,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,GLAD,max,10,3,2,-1,0.8636926889714994,0.7034883720930233,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,OneCoinDS,max,10,3,2,-1,0.8661710037174721,0.7093023255813954,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,HSDS_EM,max,10,3,2,-1,0.8686493184634448,0.877906976744186,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,BDS(iter_sampling=1000),max,10,3,2,0,0.8909541511771994,0.8895348837209303,4,13,319,259,262,0,9,9,9
dog,homo,BDS(iter_sampling=2000),max,10,3,2,0,0.8996282527881041,0.877906976744186,3,257,6,266,0,9,0,9,6
