dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,recall,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3
dog,hybrid,EMDS,mean,3,6,0,-1,0.9516728624535316,0.7790697674418605,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,GLAD,mean,3,6,0,-1,0.7930607187112764,0.029069767441860465,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,OneCoinDS,mean,3,6,0,-1,0.7868649318463445,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,HSDS_EM,mean,3,6,0,-1,0.9789343246592317,0.9302325581395349,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,BDS(iter_sampling=1000),mean,3,6,0,0,0.7868649318463445,0.0,4,163,100,179,98,24,8,17,15
dog,hybrid,BDS(iter_sampling=2000),mean,3,6,0,0,0.7868649318463445,0.0,4,169,221,199,218,24,19,22,22
dog,hybrid,BDS(iter_sampling=3000),mean,3,6,0,0,0.7868649318463445,0.0,3,136,87,176,0,21,8,17,0
dog,hybrid,HSDS_MCMC(iter_sampling=1000),mean,3,6,0,1,0.9838909541511772,0.9302325581395349,0,0,0,0,0,0,0,0,0
dog,hybrid,HSDS_MCMC(iter_sampling=2000),mean,3,6,0,1,0.9838909541511772,0.9302325581395349,0,0,0,0,0,0,0,0,0
dog,hybrid,HSDS_MCMC(iter_sampling=3000),mean,3,6,0,1,0.9838909541511772,0.9302325581395349,0,0,0,0,0,0,0,0,0
dog,hybrid,EMDS,mean,3,6,1,-1,0.9516728624535316,0.7790697674418605,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,GLAD,mean,3,6,1,-1,0.7930607187112764,0.029069767441860465,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,OneCoinDS,mean,3,6,1,-1,0.7868649318463445,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,HSDS_EM,mean,3,6,1,-1,0.9789343246592317,0.9302325581395349,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,BDS(iter_sampling=1000),mean,3,6,1,0,0.7955390334572491,0.040697674418604654,2,41,99,0,0,24,8,0,0
dog,hybrid,BDS(iter_sampling=2000),mean,3,6,1,0,0.9838909541511772,0.9302325581395349,2,0,0,95,99,0,0,15,15
dog,hybrid,BDS(iter_sampling=3000),mean,3,6,1,0,0.7868649318463445,0.0,3,132,85,0,165,20,8,0,20
dog,hybrid,HSDS_MCMC(iter_sampling=1000),mean,3,6,1,1,0.9838909541511772,0.9302325581395349,0,0,0,0,0,0,0,0,0
dog,hybrid,HSDS_MCMC(iter_sampling=2000),mean,3,6,1,1,0.9838909541511772,0.9302325581395349,0,0,0,0,0,0,0,0,0
dog,hybrid,HSDS_MCMC(iter_sampling=3000),mean,3,6,1,1,0.9838909541511772,0.9302325581395349,0,0,0,0,0,0,0,0,0
dog,hybrid,EMDS,mean,3,6,2,-1,0.9516728624535316,0.7790697674418605,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,GLAD,mean,3,6,2,-1,0.7930607187112764,0.029069767441860465,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,OneCoinDS,mean,3,6,2,-1,0.7868649318463445,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,HSDS_EM,mean,3,6,2,-1,0.9789343246592317,0.9302325581395349,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,BDS(iter_sampling=1000),mean,3,6,2,0,0.5625774473358116,0.040697674418604654,4,42,229,235,217,24,22,17,22
dog,hybrid,BDS(iter_sampling=2000),mean,3,6,2,0,0.9826517967781908,0.9244186046511628,2,28,85,0,0,24,7,0,0
dog,hybrid,BDS(iter_sampling=3000),mean,3,6,2,0,0.9838909541511772,0.9302325581395349,4,28,189,96,245,24,18,15,21
dog,hybrid,HSDS_MCMC(iter_sampling=1000),mean,3,6,2,1,0.9838909541511772,0.9302325581395349,0,0,0,0,0,0,0,0,0
