dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,recall,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3
face,hetero,EMDS,+sigma,3,3,0,-1,0.9195205479452054,0.9657534246575342,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,GLAD,+sigma,3,3,0,-1,0.7893835616438356,0.6438356164383562,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,OneCoinDS,+sigma,3,3,0,-1,0.6455479452054794,0.9452054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,HSDS_EM,+sigma,3,3,0,-1,0.7568493150684932,0.958904109589041,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,BDS(iter_sampling=1000),+sigma,3,3,0,1,0.8424657534246576,0.9863013698630136,0,0,0,0,0,0,0,0,0
face,hetero,BDS(iter_sampling=2000),+sigma,3,3,0,0,0.833904109589041,0.9931506849315068,3,4,46,59,5,5,10,11,0
face,hetero,BDS(iter_sampling=3000),+sigma,3,3,0,0,0.8767123287671232,0.9794520547945206,4,57,55,12,2,9,5,0,0
face,hetero,HSDS_MCMC(iter_sampling=1000),+sigma,3,3,0,1,0.8458904109589042,0.9931506849315068,0,0,0,0,0,0,0,0,0
face,hetero,HSDS_MCMC(iter_sampling=2000),+sigma,3,3,0,1,0.8424657534246576,0.9863013698630136,0,0,0,0,0,0,0,0,0
face,hetero,HSDS_MCMC(iter_sampling=3000),+sigma,3,3,0,1,0.8458904109589042,0.9931506849315068,0,0,0,0,0,0,0,0,0
face,hetero,EMDS,+sigma,3,3,1,-1,0.9195205479452054,0.9657534246575342,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,GLAD,+sigma,3,3,1,-1,0.7893835616438356,0.6438356164383562,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,OneCoinDS,+sigma,3,3,1,-1,0.6455479452054794,0.9452054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,HSDS_EM,+sigma,3,3,1,-1,0.7568493150684932,0.958904109589041,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,BDS(iter_sampling=1000),+sigma,3,3,1,0,0.8065068493150684,0.9931506849315068,4,5,38,35,66,7,7,8,12
face,hetero,BDS(iter_sampling=2000),+sigma,3,3,1,0,0.875,0.9794520547945206,4,56,53,14,2,9,5,0,0
face,hetero,BDS(iter_sampling=3000),+sigma,3,3,1,1,0.8441780821917808,0.9863013698630136,0,0,0,0,0,0,0,0,0
face,hetero,HSDS_MCMC(iter_sampling=1000),+sigma,3,3,1,1,0.8441780821917808,0.9863013698630136,0,0,0,0,0,0,0,0,0
face,hetero,HSDS_MCMC(iter_sampling=2000),+sigma,3,3,1,1,0.8441780821917808,0.9931506849315068,0,0,0,0,0,0,0,0,0
face,hetero,HSDS_MCMC(iter_sampling=3000),+sigma,3,3,1,1,0.8458904109589042,0.9931506849315068,0,0,0,0,0,0,0,0,0
face,hetero,EMDS,+sigma,3,3,2,-1,0.9195205479452054,0.9657534246575342,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,GLAD,+sigma,3,3,2,-1,0.7893835616438356,0.6438356164383562,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,OneCoinDS,+sigma,3,3,2,-1,0.6455479452054794,0.9452054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,HSDS_EM,+sigma,3,3,2,-1,0.7568493150684932,0.958904109589041,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,BDS(iter_sampling=1000),+sigma,3,3,2,0,0.7688356164383562,0.9931506849315068,4,45,41,46,59,11,10,9,10
face,hetero,BDS(iter_sampling=2000),+sigma,3,3,2,0,0.8321917808219178,0.9931506849315068,3,5,37,0,50,5,7,0,10
face,hetero,BDS(iter_sampling=3000),+sigma,3,3,2,0,0.8767123287671232,0.9794520547945206,4,56,53,13,2,9,6,0,0
face,hetero,HSDS_MCMC(iter_sampling=1000),+sigma,3,3,2,1,0.8424657534246576,0.9863013698630136,0,0,0,0,0,0,0,0,0
face,hetero,HSDS_MCMC(iter_sampling=2000),+sigma,3,3,2,1,0.8441780821917808,0.9863013698630136,0,0,0,0,0,0,0,0,0
face,hetero,HSDS_MCMC(iter_sampling=3000),+sigma,3,3,2,1,0.8441780821917808,0.9863013698630136,0,0,0,0,0,0,0,0,0
face,hetero,EMDS,+sigma,3,3,3,-1,0.9195205479452054,0.9657534246575342,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,GLAD,+sigma,3,3,3,-1,0.7893835616438356,0.6438356164383562,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,OneCoinDS,+sigma,3,3,3,-1,0.6455479452054794,0.9452054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,HSDS_EM,+sigma,3,3,3,-1,0.7568493150684932,0.958904109589041,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,BDS(iter_sampling=1000),+sigma,3,3,3,1,0.8441780821917808,0.9863013698630136,0,0,0,0,0,0,0,0,0
face,hetero,BDS(iter_sampling=2000),+sigma,3,3,3,0,0.8047945205479452,0.9931506849315068,4,7,37,34,64,7,7,8,12
face,hetero,BDS(iter_sampling=3000),+sigma,3,3,3,0,0.8595890410958904,0.9794520547945206,4,58,63,12,55,9,9,0,10
face,hetero,HSDS_MCMC(iter_sampling=1000),+sigma,3,3,3,1,0.8441780821917808,0.9931506849315068,0,0,0,0,0,0,0,0,0
face,hetero,HSDS_MCMC(iter_sampling=2000),+sigma,3,3,3,1,0.8441780821917808,0.9863013698630136,0,0,0,0,0,0,0,0,0
face,hetero,HSDS_MCMC(iter_sampling=3000),+sigma,3,3,3,1,0.8441780821917808,0.9863013698630136,0,0,0,0,0,0,0,0,0
face,hetero,EMDS,+sigma,3,3,4,-1,0.9195205479452054,0.9657534246575342,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,GLAD,+sigma,3,3,4,-1,0.7893835616438356,0.6438356164383562,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,OneCoinDS,+sigma,3,3,4,-1,0.6455479452054794,0.9452054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,HSDS_EM,+sigma,3,3,4,-1,0.7568493150684932,0.958904109589041,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,BDS(iter_sampling=1000),+sigma,3,3,4,1,0.8424657534246576,0.9863013698630136,0,0,0,0,0,0,0,0,0
face,hetero,BDS(iter_sampling=2000),+sigma,3,3,4,0,0.8613013698630136,0.9794520547945206,4,56,52,42,38,9,5,8,9
face,hetero,BDS(iter_sampling=3000),+sigma,3,3,4,1,0.8441780821917808,0.9863013698630136,0,0,0,0,0,0,0,0,0
face,hetero,HSDS_MCMC(iter_sampling=1000),+sigma,3,3,4,1,0.8458904109589042,0.9931506849315068,0,0,0,0,0,0,0,0,0
face,hetero,HSDS_MCMC(iter_sampling=2000),+sigma,3,3,4,1,0.8441780821917808,0.9863013698630136,0,0,0,0,0,0,0,0,0
face,hetero,HSDS_MCMC(iter_sampling=3000),+sigma,3,3,4,1,0.8458904109589042,0.9931506849315068,0,0,0,0,0,0,0,0,0
face,hetero,EMDS,+sigma,3,6,0,-1,0.9914383561643836,0.9931506849315068,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,GLAD,+sigma,3,6,0,-1,0.8287671232876712,0.3287671232876712,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,OneCoinDS,+sigma,3,6,0,-1,0.7482876712328768,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,HSDS_EM,+sigma,3,6,0,-1,0.9845890410958904,0.9931506849315068,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,BDS(iter_sampling=1000),+sigma,3,6,0,0,0.6181506849315068,0.02054794520547945,4,75,82,83,62,21,24,24,18
face,hetero,BDS(iter_sampling=2000),+sigma,3,6,0,0,0.875,0.8287671232876712,2,42,63,52,63,24,17,17,17
face,hetero,BDS(iter_sampling=3000),+sigma,3,6,0,0,0.988013698630137,1.0,2,17,75,62,56,24,23,18,15
face,hetero,HSDS_MCMC(iter_sampling=1000),+sigma,3,6,0,1,0.988013698630137,1.0,0,0,0,0,0,0,0,0,0
face,hetero,HSDS_MCMC(iter_sampling=2000),+sigma,3,6,0,1,0.988013698630137,1.0,0,0,0,0,0,0,0,0,0
face,hetero,HSDS_MCMC(iter_sampling=3000),+sigma,3,6,0,1,0.988013698630137,1.0,0,0,0,0,0,0,0,0,0
face,hetero,EMDS,+sigma,3,6,1,-1,0.9914383561643836,0.9931506849315068,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,GLAD,+sigma,3,6,1,-1,0.8287671232876712,0.3287671232876712,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,OneCoinDS,+sigma,3,6,1,-1,0.7482876712328768,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,HSDS_EM,+sigma,3,6,1,-1,0.9845890410958904,0.9931506849315068,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,BDS(iter_sampling=1000),+sigma,3,6,1,0,0.7448630136986302,0.0,2,39,0,44,38,24,0,14,13
face,hetero,BDS(iter_sampling=2000),+sigma,3,6,1,0,0.5017123287671232,0.0,2,52,68,37,63,24,22,18,17
face,hetero,BDS(iter_sampling=3000),+sigma,3,6,1,0,0.9777397260273972,0.952054794520548,2,43,0,66,43,24,0,22,18
face,hetero,HSDS_MCMC(iter_sampling=1000),+sigma,3,6,1,1,0.988013698630137,1.0,0,0,0,0,0,0,0,0,0
face,hetero,HSDS_MCMC(iter_sampling=2000),+sigma,3,6,1,1,0.988013698630137,1.0,0,0,0,0,0,0,0,0,0
face,hetero,HSDS_MCMC(iter_sampling=3000),+sigma,3,6,1,1,0.988013698630137,1.0,0,0,0,0,0,0,0,0,0
face,hetero,EMDS,+sigma,3,6,2,-1,0.9914383561643836,0.9931506849315068,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,GLAD,+sigma,3,6,2,-1,0.8287671232876712,0.3287671232876712,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,OneCoinDS,+sigma,3,6,2,-1,0.7482876712328768,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,HSDS_EM,+sigma,3,6,2,-1,0.9845890410958904,0.9931506849315068,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,BDS(iter_sampling=1000),+sigma,3,6,2,0,0.8202054794520548,0.7876712328767124,2,43,51,73,66,24,17,23,23
face,hetero,BDS(iter_sampling=2000),+sigma,3,6,2,0,0.9006849315068494,1.0,2,55,54,48,64,24,14,18,22
face,hetero,BDS(iter_sampling=3000),+sigma,3,6,2,0,0.9914383561643836,0.9931506849315068,3,25,0,61,67,24,0,21,21
face,hetero,HSDS_MCMC(iter_sampling=1000),+sigma,3,6,2,1,0.988013698630137,1.0,0,0,0,0,0,0,0,0,0
face,hetero,HSDS_MCMC(iter_sampling=2000),+sigma,3,6,2,1,0.988013698630137,1.0,0,0,0,0,0,0,0,0,0
face,hetero,HSDS_MCMC(iter_sampling=3000),+sigma,3,6,2,1,0.988013698630137,1.0,0,0,0,0,0,0,0,0,0
face,hetero,EMDS,+sigma,3,6,3,-1,0.9914383561643836,0.9931506849315068,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,GLAD,+sigma,3,6,3,-1,0.8287671232876712,0.3287671232876712,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,OneCoinDS,+sigma,3,6,3,-1,0.7482876712328768,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,HSDS_EM,+sigma,3,6,3,-1,0.9845890410958904,0.9931506849315068,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,BDS(iter_sampling=1000),+sigma,3,6,3,0,0.0017123287671232876,0.0,2,36,62,68,60,24,18,20,19
face,hetero,BDS(iter_sampling=2000),+sigma,3,6,3,0,0.7482876712328768,0.0,3,51,69,0,66,24,19,0,18
face,hetero,BDS(iter_sampling=3000),+sigma,3,6,3,0,0.9606164383561644,0.8972602739726028,2,43,0,38,57,24,0,18,21
face,hetero,HSDS_MCMC(iter_sampling=1000),+sigma,3,6,3,1,0.988013698630137,1.0,0,0,0,0,0,0,0,0,0
face,hetero,HSDS_MCMC(iter_sampling=2000),+sigma,3,6,3,1,0.988013698630137,1.0,0,0,0,0,0,0,0,0,0
face,hetero,HSDS_MCMC(iter_sampling=3000),+sigma,3,6,3,1,0.988013698630137,1.0,0,0,0,0,0,0,0,0,0
face,hetero,EMDS,+sigma,3,6,4,-1,0.9914383561643836,0.9931506849315068,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,GLAD,+sigma,3,6,4,-1,0.8287671232876712,0.3287671232876712,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,OneCoinDS,+sigma,3,6,4,-1,0.7482876712328768,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,HSDS_EM,+sigma,3,6,4,-1,0.9845890410958904,0.9931506849315068,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,BDS(iter_sampling=1000),+sigma,3,6,4,0,0.7465753424657534,0.0410958904109589,3,57,69,53,63,24,18,22,16
face,hetero,BDS(iter_sampling=2000),+sigma,3,6,4,0,0.7482876712328768,0.0,2,50,52,43,0,24,14,14,0
face,hetero,BDS(iter_sampling=3000),+sigma,3,6,4,0,0.9914383561643836,0.9931506849315068,2,42,52,69,0,24,14,19,0
face,hetero,HSDS_MCMC(iter_sampling=1000),+sigma,3,6,4,1,0.988013698630137,1.0,0,0,0,0,0,0,0,0,0
face,hetero,HSDS_MCMC(iter_sampling=2000),+sigma,3,6,4,1,0.988013698630137,1.0,0,0,0,0,0,0,0,0,0
face,hetero,HSDS_MCMC(iter_sampling=3000),+sigma,3,6,4,1,0.988013698630137,1.0,0,0,0,0,0,0,0,0,0
face,hetero,EMDS,+sigma,3,9,0,-1,0.9982876712328768,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,GLAD,+sigma,3,9,0,-1,0.7756849315068494,0.10273972602739725,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,OneCoinDS,+sigma,3,9,0,-1,0.75,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,HSDS_EM,+sigma,3,9,0,-1,0.9914383561643836,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,BDS(iter_sampling=1000),+sigma,3,9,0,0,0.75,0.0,3,52,70,70,0,36,28,29,0
face,hetero,BDS(iter_sampling=2000),+sigma,3,9,0,0,0.9452054794520548,0.8835616438356164,2,55,61,47,53,36,22,29,29
face,hetero,BDS(iter_sampling=3000),+sigma,3,9,0,0,0.75,0.0,3,11,52,40,64,35,22,22,28
face,hetero,HSDS_MCMC(iter_sampling=1000),+sigma,3,9,0,1,0.9982876712328768,1.0,0,0,0,0,0,0,0,0,0
face,hetero,HSDS_MCMC(iter_sampling=2000),+sigma,3,9,0,1,0.9982876712328768,1.0,0,0,0,0,0,0,0,0,0
face,hetero,HSDS_MCMC(iter_sampling=3000),+sigma,3,9,0,1,0.9982876712328768,1.0,0,0,0,0,0,0,0,0,0
face,hetero,EMDS,+sigma,3,9,1,-1,0.9982876712328768,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,GLAD,+sigma,3,9,1,-1,0.7756849315068494,0.10273972602739725,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,OneCoinDS,+sigma,3,9,1,-1,0.75,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,HSDS_EM,+sigma,3,9,1,-1,0.9914383561643836,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,BDS(iter_sampling=1000),+sigma,3,9,1,0,0.726027397260274,0.0,3,11,71,78,58,34,35,31,33
face,hetero,BDS(iter_sampling=2000),+sigma,3,9,1,0,0.9914383561643836,1.0,2,17,74,37,63,36,34,30,25
face,hetero,BDS(iter_sampling=3000),+sigma,3,9,1,0,0.75,0.0,3,53,68,38,74,36,30,29,35
face,hetero,HSDS_MCMC(iter_sampling=1000),+sigma,3,9,1,1,0.9982876712328768,1.0,0,0,0,0,0,0,0,0,0
face,hetero,HSDS_MCMC(iter_sampling=2000),+sigma,3,9,1,1,0.9982876712328768,1.0,0,0,0,0,0,0,0,0,0
face,hetero,HSDS_MCMC(iter_sampling=3000),+sigma,3,9,1,1,0.9982876712328768,1.0,0,0,0,0,0,0,0,0,0
face,hetero,EMDS,+sigma,3,9,2,-1,0.9982876712328768,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,GLAD,+sigma,3,9,2,-1,0.7756849315068494,0.10273972602739725,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,OneCoinDS,+sigma,3,9,2,-1,0.75,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,HSDS_EM,+sigma,3,9,2,-1,0.9914383561643836,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,BDS(iter_sampling=1000),+sigma,3,9,2,0,0.4965753424657534,0.0,3,52,67,63,71,36,30,33,33
face,hetero,BDS(iter_sampling=2000),+sigma,3,9,2,0,0.4486301369863014,0.0,0,40,64,62,58,23,24,25,36
face,hetero,BDS(iter_sampling=3000),+sigma,3,9,2,0,0.398972602739726,0.0,0,66,61,74,58,28,24,33,34
face,hetero,HSDS_MCMC(iter_sampling=1000),+sigma,3,9,2,1,0.9982876712328768,1.0,0,0,0,0,0,0,0,0,0
face,hetero,HSDS_MCMC(iter_sampling=2000),+sigma,3,9,2,1,0.9982876712328768,1.0,0,0,0,0,0,0,0,0,0
face,hetero,HSDS_MCMC(iter_sampling=3000),+sigma,3,9,2,1,0.9982876712328768,1.0,0,0,0,0,0,0,0,0,0
face,hetero,EMDS,+sigma,3,9,3,-1,0.9982876712328768,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,GLAD,+sigma,3,9,3,-1,0.7756849315068494,0.10273972602739725,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,OneCoinDS,+sigma,3,9,3,-1,0.75,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,HSDS_EM,+sigma,3,9,3,-1,0.9914383561643836,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,BDS(iter_sampling=1000),+sigma,3,9,3,0,0.5,0.0,2,57,74,32,56,36,35,25,23
face,hetero,BDS(iter_sampling=2000),+sigma,3,9,3,0,0.5017123287671232,1.0,0,59,73,70,60,31,31,31,22
face,hetero,BDS(iter_sampling=3000),+sigma,3,9,3,0,0.75,1.0,0,69,65,72,52,29,31,36,29
face,hetero,HSDS_MCMC(iter_sampling=1000),+sigma,3,9,3,1,0.9982876712328768,1.0,0,0,0,0,0,0,0,0,0
face,hetero,HSDS_MCMC(iter_sampling=2000),+sigma,3,9,3,1,0.9982876712328768,1.0,0,0,0,0,0,0,0,0,0
face,hetero,HSDS_MCMC(iter_sampling=3000),+sigma,3,9,3,1,0.9982876712328768,1.0,0,0,0,0,0,0,0,0,0
face,hetero,EMDS,+sigma,3,9,4,-1,0.9982876712328768,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,GLAD,+sigma,3,9,4,-1,0.7756849315068494,0.10273972602739725,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,OneCoinDS,+sigma,3,9,4,-1,0.75,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,HSDS_EM,+sigma,3,9,4,-1,0.9914383561643836,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,BDS(iter_sampling=1000),+sigma,3,9,4,0,0.75,0.0,3,58,60,60,73,36,24,33,35
face,hetero,BDS(iter_sampling=2000),+sigma,3,9,4,0,0.9263698630136986,0.7123287671232876,2,41,54,75,43,36,22,31,29
face,hetero,BDS(iter_sampling=3000),+sigma,3,9,4,0,0.75,0.0,3,0,44,42,36,0,14,22,16
