dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,recall,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3
face,homo,EMDS,-sigma,5,3,0,-1,0.684931506849315,0.9315068493150684,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,GLAD,-sigma,5,3,0,-1,0.6506849315068494,0.8767123287671232,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,OneCoinDS,-sigma,5,3,0,-1,0.6078767123287672,0.958904109589041,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,HSDS_EM,-sigma,5,3,0,-1,0.6506849315068494,0.9315068493150684,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,BDS(iter_sampling=1000),-sigma,5,3,0,1,0.6506849315068494,0.952054794520548,0,0,0,0,0,0,0,0,0
face,homo,BDS(iter_sampling=2000),-sigma,5,3,0,1,0.648972602739726,0.952054794520548,0,0,0,0,0,0,0,0,0
face,homo,BDS(iter_sampling=3000),-sigma,5,3,0,1,0.6506849315068494,0.952054794520548,0,0,0,0,0,0,0,0,0
face,homo,HSDS_MCMC(iter_sampling=1000),-sigma,5,3,0,1,0.6506849315068494,0.952054794520548,0,0,0,0,0,0,0,0,0
face,homo,HSDS_MCMC(iter_sampling=2000),-sigma,5,3,0,1,0.648972602739726,0.952054794520548,0,0,0,0,0,0,0,0,0
face,homo,HSDS_MCMC(iter_sampling=3000),-sigma,5,3,0,1,0.6523972602739726,0.952054794520548,0,0,0,0,0,0,0,0,0
face,homo,EMDS,-sigma,5,3,1,-1,0.684931506849315,0.9315068493150684,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,GLAD,-sigma,5,3,1,-1,0.6506849315068494,0.8767123287671232,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,OneCoinDS,-sigma,5,3,1,-1,0.6078767123287672,0.958904109589041,-1,-1,-1,-1,-1,-1,-1,-1,-1
