dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,recall,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pih_4,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3,uc_pia_4
tiny,hetero,EMDS,-sigma,2,4,0,-1,0.9112,0.972,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,GLAD,-sigma,2,4,0,-1,0.8396,0.972,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,OneCoinDS,-sigma,2,4,0,-1,0.838,0.844,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,HSDS_EM,-sigma,2,4,0,-1,0.8868,0.986,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,BDS(iter_sampling=1000),-sigma,2,4,0,1,0.8252,0.992,0,0,0,0,0,0,0,0,0,0,0
tiny,hetero,BDS(iter_sampling=2000),-sigma,2,4,0,1,0.826,0.992,0,0,0,0,0,0,0,0,0,0,0
tiny,hetero,BDS(iter_sampling=3000),-sigma,2,4,0,1,0.8256,0.992,0,0,0,0,0,0,0,0,0,0,0
tiny,hetero,HSDS_MCMC(iter_sampling=1000),-sigma,2,4,0,1,0.8256,0.992,0,0,0,0,0,0,0,0,0,0,0
tiny,hetero,HSDS_MCMC(iter_sampling=2000),-sigma,2,4,0,1,0.8256,0.992,0,0,0,0,0,0,0,0,0,0,0
tiny,hetero,HSDS_MCMC(iter_sampling=3000),-sigma,2,4,0,1,0.8252,0.992,0,0,0,0,0,0,0,0,0,0,0
tiny,hetero,EMDS,-sigma,2,4,1,-1,0.9112,0.972,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,GLAD,-sigma,2,4,1,-1,0.8396,0.972,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,OneCoinDS,-sigma,2,4,1,-1,0.838,0.844,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,HSDS_EM,-sigma,2,4,1,-1,0.8868,0.986,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,BDS(iter_sampling=1000),-sigma,2,4,1,1,0.826,0.992,0,0,0,0,0,0,0,0,0,0,0
tiny,hetero,BDS(iter_sampling=2000),-sigma,2,4,1,1,0.8252,0.992,0,0,0,0,0,0,0,0,0,0,0
tiny,hetero,BDS(iter_sampling=3000),-sigma,2,4,1,1,0.8256,0.992,0,0,0,0,0,0,0,0,0,0,0
tiny,hetero,HSDS_MCMC(iter_sampling=1000),-sigma,2,4,1,1,0.8252,0.992,0,0,0,0,0,0,0,0,0,0,0
tiny,hetero,HSDS_MCMC(iter_sampling=2000),-sigma,2,4,1,1,0.8252,0.992,0,0,0,0,0,0,0,0,0,0,0
tiny,hetero,HSDS_MCMC(iter_sampling=3000),-sigma,2,4,1,1,0.826,0.992,0,0,0,0,0,0,0,0,0,0,0
tiny,hetero,EMDS,-sigma,2,4,2,-1,0.9112,0.972,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,GLAD,-sigma,2,4,2,-1,0.8396,0.972,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,OneCoinDS,-sigma,2,4,2,-1,0.838,0.844,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,HSDS_EM,-sigma,2,4,2,-1,0.8868,0.986,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,BDS(iter_sampling=1000),-sigma,2,4,2,1,0.8264,0.992,0,0,0,0,0,0,0,0,0,0,0
tiny,hetero,BDS(iter_sampling=2000),-sigma,2,4,2,1,0.826,0.992,0,0,0,0,0,0,0,0,0,0,0
tiny,hetero,BDS(iter_sampling=3000),-sigma,2,4,2,1,0.8268,0.992,0,0,0,0,0,0,0,0,0,0,0
tiny,hetero,HSDS_MCMC(iter_sampling=1000),-sigma,2,4,2,1,0.8256,0.992,0,0,0,0,0,0,0,0,0,0,0
tiny,hetero,HSDS_MCMC(iter_sampling=2000),-sigma,2,4,2,1,0.826,0.992,0,0,0,0,0,0,0,0,0,0,0
tiny,hetero,HSDS_MCMC(iter_sampling=3000),-sigma,2,4,2,1,0.8252,0.992,0,0,0,0,0,0,0,0,0,0,0
tiny,hetero,EMDS,-sigma,2,4,3,-1,0.9112,0.972,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,GLAD,-sigma,2,4,3,-1,0.8396,0.972,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,OneCoinDS,-sigma,2,4,3,-1,0.838,0.844,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,HSDS_EM,-sigma,2,4,3,-1,0.8868,0.986,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,BDS(iter_sampling=1000),-sigma,2,4,3,1,0.8256,0.992,0,0,0,0,0,0,0,0,0,0,0
tiny,hetero,BDS(iter_sampling=2000),-sigma,2,4,3,1,0.8256,0.992,0,0,0,0,0,0,0,0,0,0,0
tiny,hetero,BDS(iter_sampling=3000),-sigma,2,4,3,1,0.826,0.992,0,0,0,0,0,0,0,0,0,0,0
tiny,hetero,HSDS_MCMC(iter_sampling=1000),-sigma,2,4,3,1,0.8252,0.992,0,0,0,0,0,0,0,0,0,0,0
tiny,hetero,HSDS_MCMC(iter_sampling=2000),-sigma,2,4,3,1,0.8252,0.992,0,0,0,0,0,0,0,0,0,0,0
tiny,hetero,HSDS_MCMC(iter_sampling=3000),-sigma,2,4,3,1,0.8252,0.992,0,0,0,0,0,0,0,0,0,0,0
tiny,hetero,EMDS,-sigma,2,4,4,-1,0.9112,0.972,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,GLAD,-sigma,2,4,4,-1,0.8396,0.972,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,OneCoinDS,-sigma,2,4,4,-1,0.838,0.844,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,HSDS_EM,-sigma,2,4,4,-1,0.8868,0.986,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
