dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,recall,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pih_4,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3,uc_pia_4
tiny,hetero,EMDS,max,2,4,0,-1,0.9992,0.996,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,GLAD,max,2,4,0,-1,0.9856,0.928,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,OneCoinDS,max,2,4,0,-1,0.8,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,HSDS_EM,max,2,4,0,-1,0.9896,0.996,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,BDS(iter_sampling=1000),max,2,4,0,0,0.9984,1.0,4,332,0,197,394,226,20,0,8,20,7
tiny,hetero,BDS(iter_sampling=2000),max,2,4,0,0,0.2,0.0,3,276,460,0,611,566,20,12,0,13,10
tiny,hetero,BDS(iter_sampling=3000),max,2,4,0,0,0.8,0.0,2,502,309,408,406,226,20,8,10,6,7
tiny,hetero,HSDS_MCMC(iter_sampling=1000),max,2,4,0,0,1.0,1.0,0,0,0,153,145,0,0,0,8,8,0
tiny,hetero,HSDS_MCMC(iter_sampling=2000),max,2,4,0,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
tiny,hetero,HSDS_MCMC(iter_sampling=3000),max,2,4,0,0,1.0,1.0,0,0,0,156,148,0,0,0,8,8,0
tiny,hetero,EMDS,max,2,4,1,-1,0.9992,0.996,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,GLAD,max,2,4,1,-1,0.9856,0.928,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,OneCoinDS,max,2,4,1,-1,0.8,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,HSDS_EM,max,2,4,1,-1,0.9896,0.996,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,BDS(iter_sampling=1000),max,2,4,1,0,0.8,0.0,2,464,361,314,559,448,20,6,8,13,12
tiny,hetero,BDS(iter_sampling=2000),max,2,4,1,0,0.8,0.0,0,594,312,380,326,490,13,8,6,8,10
tiny,hetero,BDS(iter_sampling=3000),max,2,4,1,0,1.0,1.0,3,51,310,355,488,0,20,8,10,10,0
tiny,hetero,HSDS_MCMC(iter_sampling=1000),max,2,4,1,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
tiny,hetero,HSDS_MCMC(iter_sampling=2000),max,2,4,1,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
tiny,hetero,HSDS_MCMC(iter_sampling=3000),max,2,4,1,0,1.0,1.0,0,0,0,156,148,0,0,0,8,8,0
tiny,hetero,EMDS,max,2,4,2,-1,0.9992,0.996,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,GLAD,max,2,4,2,-1,0.9856,0.928,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,OneCoinDS,max,2,4,2,-1,0.8,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,HSDS_EM,max,2,4,2,-1,0.9896,0.996,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,BDS(iter_sampling=1000),max,2,4,2,0,1.0,1.0,2,35,310,458,333,450,20,8,10,8,12
tiny,hetero,BDS(iter_sampling=2000),max,2,4,2,0,0.9996,1.0,2,33,363,369,368,502,20,8,8,8,10
tiny,hetero,BDS(iter_sampling=3000),max,2,4,2,0,0.992,0.96,0,427,312,500,531,319,10,8,10,10,6
tiny,hetero,HSDS_MCMC(iter_sampling=1000),max,2,4,2,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
tiny,hetero,HSDS_MCMC(iter_sampling=2000),max,2,4,2,0,1.0,1.0,0,0,0,151,145,0,0,0,8,8,0
tiny,hetero,HSDS_MCMC(iter_sampling=3000),max,2,4,2,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
tiny,hetero,EMDS,max,2,4,3,-1,0.9992,0.996,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hetero,GLAD,max,2,4,3,-1,0.9856,0.928,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
