dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,recall,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pih_4,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3,uc_pia_4
tiny,homo,EMDS,-sigma,2,4,0,-1,0.8704,0.818,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,GLAD,-sigma,2,4,0,-1,0.7916,0.53,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,OneCoinDS,-sigma,2,4,0,-1,0.7224,0.166,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,HSDS_EM,-sigma,2,4,0,-1,0.9068,0.98,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,BDS(iter_sampling=1000),-sigma,2,4,0,1,0.8308,0.994,0,0,0,0,0,0,0,0,0,0,0
tiny,homo,BDS(iter_sampling=2000),-sigma,2,4,0,1,0.8304,0.994,0,0,0,0,0,0,0,0,0,0,0
tiny,homo,BDS(iter_sampling=3000),-sigma,2,4,0,1,0.8308,0.994,0,0,0,0,0,0,0,0,0,0,0
tiny,homo,HSDS_MCMC(iter_sampling=1000),-sigma,2,4,0,1,0.8304,0.994,0,0,0,0,0,0,0,0,0,0,0
tiny,homo,HSDS_MCMC(iter_sampling=2000),-sigma,2,4,0,1,0.8304,0.994,0,0,0,0,0,0,0,0,0,0,0
tiny,homo,HSDS_MCMC(iter_sampling=3000),-sigma,2,4,0,1,0.8308,0.994,0,0,0,0,0,0,0,0,0,0,0
tiny,homo,EMDS,-sigma,2,4,1,-1,0.8704,0.818,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,GLAD,-sigma,2,4,1,-1,0.7916,0.53,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,OneCoinDS,-sigma,2,4,1,-1,0.7224,0.166,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,HSDS_EM,-sigma,2,4,1,-1,0.9068,0.98,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,BDS(iter_sampling=1000),-sigma,2,4,1,1,0.8308,0.994,0,0,0,0,0,0,0,0,0,0,0
