dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,recall,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pih_4,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3,uc_pia_4
tiny,homo,EMDS,max,2,4,0,-1,0.974,0.87,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,GLAD,max,2,4,0,-1,0.8,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,OneCoinDS,max,2,4,0,-1,0.8,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,HSDS_EM,max,2,4,0,-1,0.9868,0.994,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,BDS(iter_sampling=1000),max,2,4,0,0,0.9956,0.98,2,312,304,471,0,423,20,8,12,0,8
tiny,homo,BDS(iter_sampling=2000),max,2,4,0,0,0.996,0.98,2,315,226,0,326,0,20,4,0,8,0
tiny,homo,BDS(iter_sampling=3000),max,2,4,0,0,0.8,0.0,5,418,479,362,155,422,20,8,12,20,8
tiny,homo,HSDS_MCMC(iter_sampling=1000),max,2,4,0,1,0.9976,0.996,0,0,0,0,0,0,0,0,0,0,0
tiny,homo,HSDS_MCMC(iter_sampling=2000),max,2,4,0,1,0.9972,0.996,0,0,0,0,0,0,0,0,0,0,0
tiny,homo,HSDS_MCMC(iter_sampling=3000),max,2,4,0,0,0.9976,0.996,0,0,0,204,215,0,0,0,8,8,0
tiny,homo,EMDS,max,2,4,1,-1,0.974,0.87,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,GLAD,max,2,4,1,-1,0.8,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,OneCoinDS,max,2,4,1,-1,0.8,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,HSDS_EM,max,2,4,1,-1,0.9868,0.994,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,BDS(iter_sampling=1000),max,2,4,1,0,0.6308,0.996,3,460,350,516,415,0,20,8,12,20,0
tiny,homo,BDS(iter_sampling=2000),max,2,4,1,0,0.8,0.0,2,293,251,311,329,325,20,4,8,8,8
tiny,homo,BDS(iter_sampling=3000),max,2,4,1,0,0.8,0.0,4,24,564,593,0,576,20,12,12,0,12
tiny,homo,HSDS_MCMC(iter_sampling=1000),max,2,4,1,0,0.9976,0.996,0,0,0,155,149,0,0,0,8,8,0
tiny,homo,HSDS_MCMC(iter_sampling=2000),max,2,4,1,1,0.9972,0.996,0,0,0,0,0,0,0,0,0,0,0
tiny,homo,HSDS_MCMC(iter_sampling=3000),max,2,4,1,0,0.9976,0.996,0,0,0,155,149,0,0,0,8,8,0
tiny,homo,EMDS,max,2,4,2,-1,0.974,0.87,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,GLAD,max,2,4,2,-1,0.8,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,OneCoinDS,max,2,4,2,-1,0.8,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,HSDS_EM,max,2,4,2,-1,0.9868,0.994,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,BDS(iter_sampling=1000),max,2,4,2,0,0.5952,0.0,3,22,480,515,0,0,20,8,8,0,0
tiny,homo,BDS(iter_sampling=2000),max,2,4,2,0,0.7928,0.0,5,416,412,481,268,594,20,8,16,20,12
tiny,homo,BDS(iter_sampling=3000),max,2,4,2,0,0.794,0.0,4,270,450,499,399,0,20,8,8,12,0
tiny,homo,HSDS_MCMC(iter_sampling=1000),max,2,4,2,0,0.9976,0.996,0,0,0,156,147,0,0,0,8,8,0
tiny,homo,HSDS_MCMC(iter_sampling=2000),max,2,4,2,0,0.9972,0.996,0,0,0,154,148,0,0,0,8,8,0
tiny,homo,HSDS_MCMC(iter_sampling=3000),max,2,4,2,1,0.9972,0.996,0,0,0,0,0,0,0,0,0,0,0
tiny,homo,EMDS,max,2,4,3,-1,0.974,0.87,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,GLAD,max,2,4,3,-1,0.8,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,OneCoinDS,max,2,4,3,-1,0.8,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,HSDS_EM,max,2,4,3,-1,0.9868,0.994,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,homo,BDS(iter_sampling=1000),max,2,4,3,0,0.79,0.0,2,506,303,312,513,462,20,8,8,12,8
tiny,homo,BDS(iter_sampling=2000),max,2,4,3,0,0.796,0.98,3,43,412,367,149,628,20,8,8,8,16
