dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,recall,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3
dog,*,EMDS,*,10,0,0,-1,0.8426270136307311,0.8837209302325582,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,*,GLAD,*,10,0,0,-1,0.8339529120198265,0.8604651162790697,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,*,OneCoinDS,*,10,0,0,-1,0.8302354399008675,0.8604651162790697,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,*,BDS(iter_sampling=1000),*,10,0,0,-1,0.8364312267657993,0.877906976744186,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,*,BDS(iter_sampling=2000),*,10,0,0,-1,0.838909541511772,0.8895348837209303,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,*,BDS(iter_sampling=3000),*,10,0,0,-1,0.838909541511772,0.877906976744186,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,*,EMDS,*,10,0,1,-1,0.8426270136307311,0.8837209302325582,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,*,GLAD,*,10,0,1,-1,0.8339529120198265,0.8604651162790697,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,*,OneCoinDS,*,10,0,1,-1,0.8302354399008675,0.8604651162790697,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,*,BDS(iter_sampling=1000),*,10,0,1,-1,0.838909541511772,0.877906976744186,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,*,BDS(iter_sampling=2000),*,10,0,1,-1,0.8364312267657993,0.877906976744186,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,*,BDS(iter_sampling=3000),*,10,0,1,-1,0.8364312267657993,0.877906976744186,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,*,EMDS,*,10,0,2,-1,0.8426270136307311,0.8837209302325582,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,*,GLAD,*,10,0,2,-1,0.8339529120198265,0.8604651162790697,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,*,OneCoinDS,*,10,0,2,-1,0.8302354399008675,0.8604651162790697,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,*,BDS(iter_sampling=1000),*,10,0,2,-1,0.8364312267657993,0.877906976744186,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,*,BDS(iter_sampling=2000),*,10,0,2,-1,0.8314745972738538,0.8895348837209303,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,*,BDS(iter_sampling=3000),*,10,0,2,-1,0.8339529120198265,0.877906976744186,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,*,EMDS,*,10,0,3,-1,0.8426270136307311,0.8837209302325582,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,*,GLAD,*,10,0,3,-1,0.8339529120198265,0.8604651162790697,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,*,OneCoinDS,*,10,0,3,-1,0.8302354399008675,0.8604651162790697,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,*,BDS(iter_sampling=1000),*,10,0,3,-1,0.838909541511772,0.8895348837209303,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,*,BDS(iter_sampling=2000),*,10,0,3,-1,0.8364312267657993,0.877906976744186,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,*,BDS(iter_sampling=3000),*,10,0,3,-1,0.8364312267657993,0.877906976744186,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,*,EMDS,*,10,0,4,-1,0.8426270136307311,0.8837209302325582,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,*,GLAD,*,10,0,4,-1,0.8339529120198265,0.8604651162790697,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,*,OneCoinDS,*,10,0,4,-1,0.8302354399008675,0.8604651162790697,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,*,BDS(iter_sampling=1000),*,10,0,4,-1,0.8364312267657993,0.877906976744186,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,*,BDS(iter_sampling=2000),*,10,0,4,-1,0.4634448574969021,0.8953488372093024,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,*,BDS(iter_sampling=3000),*,10,0,4,-1,0.8327137546468402,0.8895348837209303,-1,-1,-1,-1,-1,-1,-1,-1,-1
