ai_name,method,Accuracy_0,Recall_0,Accuracy_3,Recall_3,Accuracy_6,Recall_6,Accuracy_9,Recall_9
f100,BDS(iter_sampling=3000),.87,.60,.82,.37,.82,.37,.82,.37
f100,CATD,.83,.39,.82,.37,.82,.37,.82,.37
f100,CBCC_M=2,.86,.87,.82,.37,.82,.37,.82,.37
f100,CBCC_M=4,.86,.87,.82,.37,.82,.37,.82,.37
f100,CBCC_M=8,.86,.87,.82,.37,.82,.37,.82,.37
f100,EMDS,.83,.48,.82,.35,.82,.37,.82,.37
f100,GLAD,.85,.46,.82,.37,.82,.37,.82,.37
f100,LA1,.82,.39,.82,.37,.82,.37,.82,.37
f100,LA2,.82,.38,.82,.37,.82,.37,.82,.37
f100,LFC,.82,.44,.82,.33,.82,.33,.82,.33
f100,MACE-EM,.84,.52,.82,.37,.82,.37,.82,.37
f100,MMSR,.85,.44,.82,.37,.82,.37,.82,.37
f100,OneCoin,.85,.42,.82,.37,.82,.37,.82,.37
f100,PM-CRH,.82,.60,.82,.37,.82,.37,.82,.37
f100,ZC,.84,.42,.82,.37,.82,.37,.82,.37
f100,minmax,.73,.00,.82,.37,.82,.37,.82,.37
f100,HSDS_EM,,,.82,.33,.82,.33,.82,.35
f100,HSDS_MCMC(iter_sampling=3000),,,.82,.37,.82,.37,.82,.37
g100,BDS(iter_sampling=3000),.87,.60,.75,.00,.75,.00,.75,.00
g100,CATD,.83,.42,.75,.00,.75,.00,.75,.00
g100,CBCC_M=2,.86,.87,.75,.00,.75,.00,.75,.00
g100,CBCC_M=4,.86,.87,.75,.00,.75,.00,.75,.00
g100,CBCC_M=8,.86,.87,.75,.00,.75,.00,.75,.00
g100,EMDS,.83,.48,.78,.17,.75,.00,.75,.00
g100,GLAD,.85,.46,.75,.00,.75,.00,.75,.00
g100,LA1,.82,.39,.75,.00,.75,.00,.75,.00
g100,LA2,.82,.38,.75,.00,.75,.00,.75,.00
g100,LFC,.82,.44,.81,.37,.80,.31,.80,.31
g100,MACE-EM,.84,.52,.75,.00,.75,.00,.75,.00
g100,MMSR,.85,.44,.75,.00,.75,.00,.75,.00
g100,OneCoin,.85,.42,.75,.00,.75,.00,.75,.00
g100,PM-CRH,.83,.62,.75,.00,.75,.00,.75,.00
g100,ZC,.84,.42,.75,.00,.75,.00,.75,.00
g100,minmax,.73,.00,.75,.00,.75,.00,.75,.00
g100,HSDS_EM,,,.81,.25,.80,.27,.77,.12
g100,HSDS_MCMC(iter_sampling=3000),,,.75,.00,.75,.00,.75,.00
l250,BDS(iter_sampling=3000),.87,.60,.78,.37,.78,.37,.78,.37
l250,CATD,.82,.41,.78,.37,.78,.37,.78,.37
l250,CBCC_M=2,.86,.87,.79,.40,.78,.37,.78,.37
l250,CBCC_M=4,.86,.87,.79,.40,.78,.37,.78,.37
l250,CBCC_M=8,.86,.87,.79,.40,.78,.37,.78,.37
l250,EMDS,.83,.48,.78,.37,.78,.37,.78,.37
l250,GLAD,.85,.46,.78,.37,.78,.37,.78,.37
l250,LA1,.82,.39,.78,.37,.78,.37,.78,.37
l250,LA2,.82,.38,.78,.37,.78,.37,.78,.37
l250,LFC,.82,.44,.78,.37,.78,.37,.78,.37
l250,MACE-EM,.84,.52,.78,.37,.78,.37,.78,.37
l250,MMSR,.85,.44,.78,.37,.78,.37,.78,.37
l250,OneCoin,.85,.42,.78,.37,.78,.37,.78,.37
l250,PM-CRH,.82,.60,.78,.37,.78,.37,.78,.37
l250,ZC,.84,.42,.78,.37,.78,.37,.78,.37
l250,minmax,.73,.00,.78,.37,.78,.37,.78,.37
l250,HSDS_EM,,,.86,.52,.79,.42,.78,.35
l250,HSDS_MCMC(iter_sampling=3000),,,.78,.37,.78,.37,.78,.37
mix,BDS(iter_sampling=3000),.87,.60,.91,.81,.90,.73,.88,.57
mix,CATD,.82,.42,.83,.37,.83,.37,.83,.37
mix,CBCC_M=2,.86,.87,.91,.92,.83,.44,.83,.46
mix,CBCC_M=4,.86,.87,.91,.92,.83,.44,.83,.46
mix,CBCC_M=8,.86,.87,.91,.92,.83,.42,.83,.46
mix,EMDS,.83,.48,.84,.33,.84,.37,.84,.37
mix,GLAD,.85,.46,.84,.38,.85,.38,.86,.44
mix,LA1,.82,.39,.85,.40,.85,.39,.85,.40
mix,LA2,.82,.38,.85,.40,.85,.39,.85,.41
mix,LFC,.82,.44,.84,.33,.84,.37,.83,.37
mix,MACE-EM,.84,.52,.83,.40,.80,.23,.83,.31
mix,MMSR,.85,.44,.86,.46,.85,.40,.85,.38
mix,OneCoin,.85,.42,.85,.42,.84,.37,.84,.37
mix,PM-CRH,.82,.59,.84,.62,.86,.60,.83,.38
mix,ZC,.84,.42,.85,.40,.86,.42,.84,.37
mix,minmax,.73,.00,.90,.73,.91,.77,.87,.54
mix,HSDS_EM,,,.85,.40,.83,.37,.84,.35
mix,HSDS_MCMC(iter_sampling=3000),,,.91,.81,.90,.73,.89,.65
