ai_name,num_ai,method,iter,accuracy,recall_section_230,recall_trump_ban,recall_twitter_support,recall_platform_polices,recall_complaint,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pih_4,uc_pih_5,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3,uc_pia_4,uc_pia_5
l250,0,EMDS,0,0.8273615635179153,0.9863945578231292,0.8625,0.6666666666666666,0.52,0.4807692307692308,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
l250,0,GLAD,0,0.8501628664495114,0.9931972789115646,0.9375,0.6666666666666666,0.56,0.46153846153846156,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
l250,0,OneCoin,0,0.8501628664495114,1.0,0.9625,0.3333333333333333,0.56,0.4230769230769231,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
l250,0,MACE-EM,0,0.8403908794788274,0.9863945578231292,0.9125,0.3333333333333333,0.48,0.5192307692307693,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
l250,0,MMSR,0,0.8436482084690554,0.9931972789115646,0.95,0.6666666666666666,0.6,0.38461538461538464,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
l250,0,BDS(iter_sampling=3000),0,0.8664495114006515,1.0,0.9625,0.3333333333333333,0.4,0.5961538461538461,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
l250,0,EMDS,1,0.8273615635179153,0.9863945578231292,0.8625,0.6666666666666666,0.52,0.4807692307692308,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
l250,0,GLAD,1,0.8501628664495114,0.9931972789115646,0.9375,0.6666666666666666,0.56,0.46153846153846156,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
l250,0,OneCoin,1,0.8501628664495114,1.0,0.9625,0.3333333333333333,0.56,0.4230769230769231,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
l250,0,MACE-EM,1,0.8403908794788274,0.9863945578231292,0.9125,0.3333333333333333,0.48,0.5192307692307693,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
l250,0,MMSR,1,0.8534201954397395,1.0,0.95,0.6666666666666666,0.56,0.4423076923076923,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
l250,0,BDS(iter_sampling=3000),1,0.8664495114006515,1.0,0.9625,0.3333333333333333,0.4,0.5961538461538461,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
l250,0,EMDS,2,0.8273615635179153,0.9863945578231292,0.8625,0.6666666666666666,0.52,0.4807692307692308,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
