ai_name,num_ai,method,iter,accuracy,recall_section_230,recall_trump_ban,recall_twitter_support,recall_platform_polices,recall_complaint,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pih_4,uc_pih_5,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3,uc_pia_4,uc_pia_5
g100,0,CATD,0,0.8175895765472313,0.9591836734693877,0.9,0.6666666666666666,0.52,0.4423076923076923,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
g100,0,LFC,0,0.8241042345276873,0.9931972789115646,0.8625,0.6666666666666666,0.52,0.4423076923076923,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
g100,0,ZC,0,0.8403908794788274,0.9931972789115646,0.925,0.6666666666666666,0.56,0.4230769230769231,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
g100,0,PM-CRH,0,0.8436482084690554,0.9659863945578231,0.9125,0.6666666666666666,0.36,0.6346153846153846,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
g100,0,LA1,0,0.8110749185667753,0.9591836734693877,0.9,0.3333333333333333,0.4,0.4807692307692308,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
g100,0,LA2,0,0.8208469055374593,0.9591836734693877,0.8875,0.6666666666666666,0.48,0.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
g100,0,CATD,1,0.8273615635179153,0.9795918367346939,0.925,0.6666666666666666,0.56,0.38461538461538464,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
g100,0,LFC,1,0.8241042345276873,0.9931972789115646,0.8625,0.6666666666666666,0.52,0.4423076923076923,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
g100,0,ZC,1,0.8403908794788274,0.9931972789115646,0.925,0.6666666666666666,0.56,0.4230769230769231,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
g100,0,PM-CRH,1,0.8208469055374593,0.9591836734693877,0.9,0.3333333333333333,0.24,0.6153846153846154,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
g100,0,LA1,1,0.8013029315960912,0.9727891156462585,0.8625,0.6666666666666666,0.6,0.3269230769230769,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
g100,0,LA2,1,0.7980456026058632,0.9795918367346939,0.85,0.6666666666666666,0.6,0.3076923076923077,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
g100,0,CATD,2,0.8273615635179153,0.9795918367346939,0.9125,0.6666666666666666,0.56,0.40384615384615385,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
g100,0,LFC,2,0.8241042345276873,0.9931972789115646,0.8625,0.6666666666666666,0.52,0.4423076923076923,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
