task,worker,label,gt
1293654797967454208,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,0,0
1235667474995179520,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,0,3
1347762078828916736,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,0,0
1325004430362734592,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,0,0
1338130919081844736,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,0,0
1334059325711650816,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,0,0
1347951118198984704,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,0,0
1347002574940086272,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,1,1
1267619918666543104,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,0,4
1330297775670632448,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,0,0
1218819838262435840,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,2,2
1347551897981513728,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,0,4
1348028563904028672,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,1,1
1318802844871499776,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,3,3
1379964080983785472,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,1,1
1321475594773688320,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,0,0
1314260507424165888,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,0,0
1317081250860044288,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,1,4
1268804904790958080,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,0,0
1266129310030589952,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,1,0
1289720600806612992,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,3,4
1334096660973150208,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,0,0
1343894844515774464,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,1,0
1277512823292256256,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,1,3
1232255650811564032,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,4,3
1347219684039553024,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,1,1
1341884480831762432,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,0,0
1321558523025772544,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,0,0
1247208416486895616,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,4,3
1324817523271892992,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,0,0
1334150085001744384,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,0,0
1282935445098311680,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,1,3
1335384673934057472,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,0,0
1302429093586112512,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,1,1
1331522308184436736,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,1,1
1346926632272060416,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,1,1
1347764241747611648,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,1,1
1266204662383796224,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,0,0
1273285691850416128,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,0,0
1348156851825897472,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,1,1
1336461166403596288,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,0,0
1309257049696600064,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,0,0
1348340615772319744,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,0,0
1343548180441542656,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,0,0
1344284812589334528,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,0,0
1354124828895186944,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,1,3
1348978333690654720,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,1,1
1346978777566310400,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,1,1
1347921296575836160,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,0,0
1348061459637538816,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,0,0
1343109041191587840,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,0,0
1316834067338326016,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,0,0
1347245019892232192,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,1,1
1348935920939118592,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,1,1
1323813973913817088,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,0,0
1347936194856771584,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,0,0
1339652660274876416,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,0,0
1313714838640746496,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,0,0
1348230556689920000,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,1,1
1265769092515942400,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,4,3
1317530828033896448,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,1,3
1348326738325983232,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,1,1
1378542970115387392,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,4,3
1334731007044554752,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,0,0
1348521174758608896,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,1,1
1313869099051614208,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,0,0
1334571501761294336,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,0,0
1348445830227890176,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,1,1
1348734507768295424,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,1,1
1344188060666355712,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,0,0
1321440848979046400,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,0,0
1280928661038870528,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,4,3
1317823169726697472,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,1,0
1321721022559772672,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,0,0
1343996335922401280,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,1,0
1291839839889915904,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,0,0
1327217160930922496,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,3,3
1331277829233893376,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,4,4
1321239661394550784,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,0,0
1367621265620676608,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,1,1
1369108893280788480,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,4,4
1235681277396660224,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,1,1
1347877022287208448,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,1,1
1266351347177336832,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,1,1
1303113292475371520,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,1,3
1349687440567640064,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,0,0
1334207727384616960,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,0,0
1233217766204809216,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,1,4
1266888196853395456,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,1,1
1348290040112312320,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,1,1
1347456183762898944,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,1,1
1346223051852181504,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,0,0
1338538839711895552,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,1,1
1344275756705320960,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,0,0
1329217826809409536,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,1,1
1350554074886889472,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,1,4
1336319521615802368,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,0,0
1325642165922406400,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,0,0
1344064320678739968,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,0,0
1348494733207859200,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,5,3
1341910592488046592,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,0,0
1344178595963564032,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,0,0
1266026522370027520,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,0,0
1353439553751814144,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,0,0
1316761579082350592,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,0,0
1266406360486301696,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,0,0
1313651264702443520,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,1,3
1342283819664039936,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,0,0
1330268463764529152,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,1,1
1349549214305554432,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,1,1
1273542151893405696,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,0,0
1326626763825246208,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,0,0
1348016627887992832,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,0,0
1348686110399066112,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,1,1
1216995115664904192,Llama-2-70b-chat-hf___ds_1_task_5_sample_250_epochs_3_prompt_max_len_4096_batch_size_4_grad_acc_2_temp_0_05,1,4
