task,worker,label,gt
1293654797967454208,gpt3.5_samples_100,0,0
1235667474995179520,gpt3.5_samples_100,3,3
1347762078828916736,gpt3.5_samples_100,0,0
1325004430362734592,gpt3.5_samples_100,0,0
1338130919081844736,gpt3.5_samples_100,0,0
1334059325711650816,gpt3.5_samples_100,0,0
1347951118198984704,gpt3.5_samples_100,0,0
1347002574940086272,gpt3.5_samples_100,1,1
1267619918666543104,gpt3.5_samples_100,,4
1330297775670632448,gpt3.5_samples_100,0,0
1218819838262435840,gpt3.5_samples_100,,2
1347551897981513728,gpt3.5_samples_100,0,4
1348028563904028672,gpt3.5_samples_100,,1
1318802844871499776,gpt3.5_samples_100,3,3
1379964080983785472,gpt3.5_samples_100,1,1
1321475594773688320,gpt3.5_samples_100,0,0
1314260507424165888,gpt3.5_samples_100,0,0
1317081250860044288,gpt3.5_samples_100,,4
1268804904790958080,gpt3.5_samples_100,0,0
1266129310030589952,gpt3.5_samples_100,0,0
1289720600806612992,gpt3.5_samples_100,,4
1334096660973150208,gpt3.5_samples_100,0,0
1343894844515774464,gpt3.5_samples_100,0,0
1277512823292256256,gpt3.5_samples_100,3,3
1232255650811564032,gpt3.5_samples_100,,3
1347219684039553024,gpt3.5_samples_100,1,1
1341884480831762432,gpt3.5_samples_100,0,0
1321558523025772544,gpt3.5_samples_100,0,0
1247208416486895616,gpt3.5_samples_100,,3
1324817523271892992,gpt3.5_samples_100,0,0
1334150085001744384,gpt3.5_samples_100,0,0
1282935445098311680,gpt3.5_samples_100,3,3
1335384673934057472,gpt3.5_samples_100,0,0
1302429093586112512,gpt3.5_samples_100,1,1
1331522308184436736,gpt3.5_samples_100,1,1
1346926632272060416,gpt3.5_samples_100,1,1
1347764241747611648,gpt3.5_samples_100,1,1
1266204662383796224,gpt3.5_samples_100,0,0
1273285691850416128,gpt3.5_samples_100,0,0
1348156851825897472,gpt3.5_samples_100,1,1
1336461166403596288,gpt3.5_samples_100,0,0
1309257049696600064,gpt3.5_samples_100,0,0
1348340615772319744,gpt3.5_samples_100,0,0
1343548180441542656,gpt3.5_samples_100,0,0
1344284812589334528,gpt3.5_samples_100,0,0
1354124828895186944,gpt3.5_samples_100,3,3
1348978333690654720,gpt3.5_samples_100,1,1
1346978777566310400,gpt3.5_samples_100,1,1
1347921296575836160,gpt3.5_samples_100,0,0
1348061459637538816,gpt3.5_samples_100,0,0
1343109041191587840,gpt3.5_samples_100,0,0
1316834067338326016,gpt3.5_samples_100,0,0
1347245019892232192,gpt3.5_samples_100,1,1
1348935920939118592,gpt3.5_samples_100,1,1
1323813973913817088,gpt3.5_samples_100,0,0
1347936194856771584,gpt3.5_samples_100,0,0
1339652660274876416,gpt3.5_samples_100,0,0
1313714838640746496,gpt3.5_samples_100,0,0
1348230556689920000,gpt3.5_samples_100,1,1
1265769092515942400,gpt3.5_samples_100,,3
1317530828033896448,gpt3.5_samples_100,0,3
1348326738325983232,gpt3.5_samples_100,1,1
1378542970115387392,gpt3.5_samples_100,3,3
1334731007044554752,gpt3.5_samples_100,0,0
1348521174758608896,gpt3.5_samples_100,,1
1313869099051614208,gpt3.5_samples_100,0,0
1334571501761294336,gpt3.5_samples_100,0,0
1348445830227890176,gpt3.5_samples_100,3,1
1348734507768295424,gpt3.5_samples_100,1,1
1344188060666355712,gpt3.5_samples_100,0,0
1321440848979046400,gpt3.5_samples_100,0,0
1280928661038870528,gpt3.5_samples_100,,3
1317823169726697472,gpt3.5_samples_100,0,0
1321721022559772672,gpt3.5_samples_100,0,0
1343996335922401280,gpt3.5_samples_100,0,0
1291839839889915904,gpt3.5_samples_100,0,0
1327217160930922496,gpt3.5_samples_100,3,3
1331277829233893376,gpt3.5_samples_100,,4
1321239661394550784,gpt3.5_samples_100,0,0
1367621265620676608,gpt3.5_samples_100,1,1
1369108893280788480,gpt3.5_samples_100,,4
1235681277396660224,gpt3.5_samples_100,1,1
1347877022287208448,gpt3.5_samples_100,1,1
1266351347177336832,gpt3.5_samples_100,1,1
1303113292475371520,gpt3.5_samples_100,,3
1349687440567640064,gpt3.5_samples_100,0,0
1334207727384616960,gpt3.5_samples_100,0,0
1233217766204809216,gpt3.5_samples_100,,4
1266888196853395456,gpt3.5_samples_100,1,1
1348290040112312320,gpt3.5_samples_100,1,1
1347456183762898944,gpt3.5_samples_100,1,1
1346223051852181504,gpt3.5_samples_100,0,0
1338538839711895552,gpt3.5_samples_100,1,1
1344275756705320960,gpt3.5_samples_100,0,0
1329217826809409536,gpt3.5_samples_100,1,1
1350554074886889472,gpt3.5_samples_100,,4
1336319521615802368,gpt3.5_samples_100,0,0
1325642165922406400,gpt3.5_samples_100,0,0
1344064320678739968,gpt3.5_samples_100,0,0
1348494733207859200,gpt3.5_samples_100,,3
1341910592488046592,gpt3.5_samples_100,0,0
1344178595963564032,gpt3.5_samples_100,0,0
1266026522370027520,gpt3.5_samples_100,0,0
1353439553751814144,gpt3.5_samples_100,0,0
1316761579082350592,gpt3.5_samples_100,0,0
1266406360486301696,gpt3.5_samples_100,0,0
1313651264702443520,gpt3.5_samples_100,3,3
1342283819664039936,gpt3.5_samples_100,0,0
1330268463764529152,gpt3.5_samples_100,1,1
1349549214305554432,gpt3.5_samples_100,1,1
1273542151893405696,gpt3.5_samples_100,0,0
1326626763825246208,gpt3.5_samples_100,0,0
1348016627887992832,gpt3.5_samples_100,0,0
1348686110399066112,gpt3.5_samples_100,1,1
1216995115664904192,gpt3.5_samples_100,,4
1317120467010899968,gpt3.5_samples_100,0,0
1313689641233518592,gpt3.5_samples_100,3,3
1328766894191505408,gpt3.5_samples_100,,4
1288590298109505536,gpt3.5_samples_100,3,1
1334865057323376640,gpt3.5_samples_100,0,0
1347826846906384384,gpt3.5_samples_100,,1
1348003789446397952,gpt3.5_samples_100,1,1
1347779251416678400,gpt3.5_samples_100,3,3
1317107763814699008,gpt3.5_samples_100,0,0
1263510346758791168,gpt3.5_samples_100,1,1
1251376725306589184,gpt3.5_samples_100,,4
1343707824648548352,gpt3.5_samples_100,0,0
1344127902049214464,gpt3.5_samples_100,0,0
1333967670937436160,gpt3.5_samples_100,0,0
1321430891332276224,gpt3.5_samples_100,0,0
1303640325781704704,gpt3.5_samples_100,0,0
1317177077460848640,gpt3.5_samples_100,0,0
1285291434711670784,gpt3.5_samples_100,,4
1354366001408831488,gpt3.5_samples_100,1,1
1327022789363056640,gpt3.5_samples_100,1,1
1354806860344254464,gpt3.5_samples_100,3,3
1319630701587779584,gpt3.5_samples_100,0,0
1316816481942814720,gpt3.5_samples_100,0,0
1267114893997735936,gpt3.5_samples_100,,4
1317127308600315904,gpt3.5_samples_100,0,0
1332177205862883328,gpt3.5_samples_100,1,0
1351176776123297792,gpt3.5_samples_100,,1
1347172094338064384,gpt3.5_samples_100,0,0
1342588940419657728,gpt3.5_samples_100,0,0
1347614441165099008,gpt3.5_samples_100,3,1
1317255610858024960,gpt3.5_samples_100,0,0
1349817858163957760,gpt3.5_samples_100,1,1
1359602690985136128,gpt3.5_samples_100,1,1
1316685871920353280,gpt3.5_samples_100,0,0
1321249887770521600,gpt3.5_samples_100,,4
1214720126085414912,gpt3.5_samples_100,1,1
1334766962807775232,gpt3.5_samples_100,0,0
1355619168406499328,gpt3.5_samples_100,1,1
1349804904760582144,gpt3.5_samples_100,1,1
1264217946441703424,gpt3.5_samples_100,,3
1363337753975545856,gpt3.5_samples_100,1,1
1321491880882982912,gpt3.5_samples_100,0,0
1317566997375352832,gpt3.5_samples_100,,0
1348995734704705536,gpt3.5_samples_100,3,1
1349709960180097024,gpt3.5_samples_100,0,0
1347958919159816192,gpt3.5_samples_100,1,1
1261260707250790400,gpt3.5_samples_100,,4
1345889396038524928,gpt3.5_samples_100,0,0
1342881000238370816,gpt3.5_samples_100,0,0
1316765569341894656,gpt3.5_samples_100,0,0
1348852117738549248,gpt3.5_samples_100,0,0
1266380698870591488,gpt3.5_samples_100,1,1
1334527288017350656,gpt3.5_samples_100,0,0
1346934361103376384,gpt3.5_samples_100,1,1
1344066329356070912,gpt3.5_samples_100,0,0
1348053910347526144,gpt3.5_samples_100,1,1
1348064683350253568,gpt3.5_samples_100,1,1
1347450879528595456,gpt3.5_samples_100,0,0
1347341671638343680,gpt3.5_samples_100,0,0
1351361660339040256,gpt3.5_samples_100,,0
1214013637733470208,gpt3.5_samples_100,,4
1348143808303702016,gpt3.5_samples_100,3,3
1316725390547791872,gpt3.5_samples_100,0,0
1316620623238459392,gpt3.5_samples_100,0,0
1268834466413199360,gpt3.5_samples_100,,4
1349528650530643968,gpt3.5_samples_100,1,1
1302498320364064768,gpt3.5_samples_100,,4
1343407673304354816,gpt3.5_samples_100,0,0
