task,worker,label
344,AI_mean_20,2
345,AI_mean_20,1
346,AI_mean_20,2
347,AI_mean_20,1
340,AI_mean_20,1
341,AI_mean_20,3
342,AI_mean_20,3
343,AI_mean_20,1
348,AI_mean_20,2
349,AI_mean_20,1
595,AI_mean_20,3
719,AI_mean_20,3
718,AI_mean_20,2
717,AI_mean_20,3
716,AI_mean_20,1
715,AI_mean_20,3
714,AI_mean_20,1
713,AI_mean_20,3
712,AI_mean_20,3
711,AI_mean_20,1
710,AI_mean_20,3
606,AI_mean_20,1
594,AI_mean_20,3
736,AI_mean_20,2
619,AI_mean_20,3
298,AI_mean_20,3
299,AI_mean_20,3
296,AI_mean_20,2
297,AI_mean_20,1
294,AI_mean_20,2
295,AI_mean_20,3
292,AI_mean_20,2
293,AI_mean_20,3
290,AI_mean_20,1
291,AI_mean_20,3
591,AI_mean_20,1
590,AI_mean_20,1
593,AI_mean_20,1
592,AI_mean_20,2
199,AI_mean_20,3
198,AI_mean_20,2
597,AI_mean_20,2
596,AI_mean_20,1
195,AI_mean_20,3
194,AI_mean_20,3
197,AI_mean_20,3
196,AI_mean_20,3
191,AI_mean_20,1
190,AI_mean_20,0
193,AI_mean_20,3
192,AI_mean_20,3
270,AI_mean_20,3
271,AI_mean_20,1
272,AI_mean_20,3
273,AI_mean_20,3
274,AI_mean_20,2
275,AI_mean_20,1
276,AI_mean_20,2
277,AI_mean_20,2
278,AI_mean_20,2
279,AI_mean_20,1
738,AI_mean_20,3
524,AI_mean_20,3
525,AI_mean_20,1
526,AI_mean_20,3
527,AI_mean_20,3
520,AI_mean_20,3
521,AI_mean_20,3
522,AI_mean_20,2
523,AI_mean_20,3
599,AI_mean_20,3
528,AI_mean_20,3
529,AI_mean_20,2
449,AI_mean_20,2
448,AI_mean_20,2
443,AI_mean_20,3
442,AI_mean_20,3
441,AI_mean_20,3
440,AI_mean_20,3
447,AI_mean_20,3
446,AI_mean_20,3
445,AI_mean_20,3
444,AI_mean_20,1
108,AI_mean_20,3
109,AI_mean_20,1
102,AI_mean_20,1
103,AI_mean_20,0
100,AI_mean_20,3
101,AI_mean_20,2
106,AI_mean_20,3
107,AI_mean_20,3
104,AI_mean_20,2
105,AI_mean_20,1
39,AI_mean_20,3
38,AI_mean_20,2
33,AI_mean_20,3
32,AI_mean_20,1
31,AI_mean_20,2
30,AI_mean_20,1
37,AI_mean_20,3
36,AI_mean_20,3
35,AI_mean_20,3
34,AI_mean_20,1
641,AI_mean_20,2
640,AI_mean_20,3
643,AI_mean_20,1
642,AI_mean_20,3
645,AI_mean_20,2
644,AI_mean_20,1
438,AI_mean_20,3
439,AI_mean_20,1
436,AI_mean_20,3
437,AI_mean_20,3
434,AI_mean_20,1
435,AI_mean_20,3
432,AI_mean_20,2
433,AI_mean_20,3
430,AI_mean_20,2
431,AI_mean_20,0
339,AI_mean_20,3
338,AI_mean_20,3
335,AI_mean_20,3
334,AI_mean_20,3
337,AI_mean_20,3
336,AI_mean_20,2
331,AI_mean_20,3
330,AI_mean_20,3
333,AI_mean_20,3
332,AI_mean_20,2
744,AI_mean_20,2
745,AI_mean_20,3
748,AI_mean_20,3
6,AI_mean_20,2
99,AI_mean_20,3
98,AI_mean_20,2
91,AI_mean_20,1
90,AI_mean_20,1
93,AI_mean_20,2
92,AI_mean_20,3
95,AI_mean_20,1
94,AI_mean_20,3
97,AI_mean_20,1
96,AI_mean_20,2
740,AI_mean_20,1
741,AI_mean_20,3
742,AI_mean_20,1
743,AI_mean_20,3
559,AI_mean_20,1
558,AI_mean_20,3
746,AI_mean_20,3
747,AI_mean_20,1
555,AI_mean_20,2
554,AI_mean_20,2
557,AI_mean_20,3
556,AI_mean_20,2
551,AI_mean_20,3
550,AI_mean_20,2
553,AI_mean_20,2
552,AI_mean_20,3
238,AI_mean_20,2
239,AI_mean_20,1
234,AI_mean_20,1
235,AI_mean_20,2
236,AI_mean_20,3
237,AI_mean_20,1
230,AI_mean_20,1
231,AI_mean_20,1
232,AI_mean_20,0
233,AI_mean_20,1
1,AI_mean_20,3
614,AI_mean_20,2
146,AI_mean_20,1
147,AI_mean_20,3
144,AI_mean_20,1
145,AI_mean_20,3
142,AI_mean_20,2
143,AI_mean_20,3
140,AI_mean_20,3
141,AI_mean_20,3
612,AI_mean_20,3
613,AI_mean_20,3
610,AI_mean_20,1
611,AI_mean_20,3
616,AI_mean_20,3
617,AI_mean_20,2
148,AI_mean_20,2
149,AI_mean_20,3
768,AI_mean_20,2
689,AI_mean_20,3
688,AI_mean_20,3
685,AI_mean_20,1
684,AI_mean_20,3
687,AI_mean_20,3
686,AI_mean_20,3
681,AI_mean_20,3
680,AI_mean_20,3
683,AI_mean_20,2
682,AI_mean_20,1
623,AI_mean_20,3
622,AI_mean_20,2
133,AI_mean_20,1
132,AI_mean_20,0
131,AI_mean_20,3
130,AI_mean_20,1
137,AI_mean_20,3
136,AI_mean_20,1
135,AI_mean_20,2
134,AI_mean_20,3
494,AI_mean_20,3
495,AI_mean_20,3
139,AI_mean_20,3
138,AI_mean_20,2
490,AI_mean_20,2
491,AI_mean_20,3
492,AI_mean_20,2
493,AI_mean_20,3
24,AI_mean_20,1
25,AI_mean_20,2
26,AI_mean_20,3
27,AI_mean_20,3
20,AI_mean_20,1
21,AI_mean_20,0
22,AI_mean_20,3
23,AI_mean_20,3
28,AI_mean_20,2
29,AI_mean_20,3
407,AI_mean_20,1
406,AI_mean_20,1
405,AI_mean_20,2
404,AI_mean_20,3
403,AI_mean_20,2
402,AI_mean_20,1
401,AI_mean_20,3
400,AI_mean_20,2
629,AI_mean_20,2
409,AI_mean_20,1
408,AI_mean_20,1
628,AI_mean_20,3
758,AI_mean_20,3
379,AI_mean_20,2
378,AI_mean_20,2
371,AI_mean_20,0
370,AI_mean_20,3
373,AI_mean_20,1
372,AI_mean_20,3
375,AI_mean_20,2
374,AI_mean_20,0
377,AI_mean_20,2
376,AI_mean_20,1
708,AI_mean_20,3
709,AI_mean_20,1
704,AI_mean_20,3
705,AI_mean_20,2
706,AI_mean_20,3
707,AI_mean_20,2
700,AI_mean_20,2
618,AI_mean_20,1
702,AI_mean_20,3
703,AI_mean_20,3
393,AI_mean_20,3
392,AI_mean_20,1
88,AI_mean_20,2
89,AI_mean_20,3
397,AI_mean_20,2
396,AI_mean_20,3
395,AI_mean_20,1
394,AI_mean_20,3
82,AI_mean_20,2
83,AI_mean_20,3
80,AI_mean_20,1
81,AI_mean_20,1
86,AI_mean_20,3
87,AI_mean_20,1
84,AI_mean_20,3
85,AI_mean_20,1
797,AI_mean_20,3
796,AI_mean_20,3
795,AI_mean_20,3
794,AI_mean_20,3
793,AI_mean_20,2
792,AI_mean_20,3
791,AI_mean_20,3
790,AI_mean_20,3
799,AI_mean_20,2
798,AI_mean_20,3
7,AI_mean_20,3
