task,worker,label
344,AI_-sigma_23,2
345,AI_-sigma_23,1
346,AI_-sigma_23,2
347,AI_-sigma_23,1
340,AI_-sigma_23,1
341,AI_-sigma_23,1
342,AI_-sigma_23,3
343,AI_-sigma_23,1
348,AI_-sigma_23,2
349,AI_-sigma_23,1
595,AI_-sigma_23,0
719,AI_-sigma_23,1
718,AI_-sigma_23,2
717,AI_-sigma_23,3
716,AI_-sigma_23,1
715,AI_-sigma_23,3
714,AI_-sigma_23,1
713,AI_-sigma_23,0
712,AI_-sigma_23,3
711,AI_-sigma_23,2
710,AI_-sigma_23,3
606,AI_-sigma_23,1
594,AI_-sigma_23,3
736,AI_-sigma_23,3
619,AI_-sigma_23,1
298,AI_-sigma_23,2
299,AI_-sigma_23,0
296,AI_-sigma_23,1
297,AI_-sigma_23,2
294,AI_-sigma_23,1
295,AI_-sigma_23,1
292,AI_-sigma_23,2
293,AI_-sigma_23,3
290,AI_-sigma_23,2
291,AI_-sigma_23,3
591,AI_-sigma_23,0
590,AI_-sigma_23,2
593,AI_-sigma_23,1
592,AI_-sigma_23,2
199,AI_-sigma_23,2
198,AI_-sigma_23,2
597,AI_-sigma_23,0
596,AI_-sigma_23,2
195,AI_-sigma_23,1
194,AI_-sigma_23,2
197,AI_-sigma_23,3
196,AI_-sigma_23,3
191,AI_-sigma_23,1
190,AI_-sigma_23,3
193,AI_-sigma_23,1
192,AI_-sigma_23,3
270,AI_-sigma_23,3
271,AI_-sigma_23,3
272,AI_-sigma_23,1
273,AI_-sigma_23,1
274,AI_-sigma_23,3
275,AI_-sigma_23,3
276,AI_-sigma_23,2
277,AI_-sigma_23,2
278,AI_-sigma_23,2
279,AI_-sigma_23,1
738,AI_-sigma_23,3
524,AI_-sigma_23,3
525,AI_-sigma_23,1
526,AI_-sigma_23,1
527,AI_-sigma_23,0
520,AI_-sigma_23,1
521,AI_-sigma_23,1
522,AI_-sigma_23,0
523,AI_-sigma_23,0
599,AI_-sigma_23,1
528,AI_-sigma_23,2
529,AI_-sigma_23,2
449,AI_-sigma_23,3
448,AI_-sigma_23,2
443,AI_-sigma_23,2
442,AI_-sigma_23,3
441,AI_-sigma_23,0
440,AI_-sigma_23,2
447,AI_-sigma_23,1
446,AI_-sigma_23,0
445,AI_-sigma_23,1
444,AI_-sigma_23,1
108,AI_-sigma_23,1
109,AI_-sigma_23,1
102,AI_-sigma_23,0
103,AI_-sigma_23,1
100,AI_-sigma_23,1
101,AI_-sigma_23,2
106,AI_-sigma_23,3
107,AI_-sigma_23,3
104,AI_-sigma_23,1
105,AI_-sigma_23,0
39,AI_-sigma_23,3
38,AI_-sigma_23,2
33,AI_-sigma_23,1
32,AI_-sigma_23,1
31,AI_-sigma_23,2
30,AI_-sigma_23,2
37,AI_-sigma_23,2
36,AI_-sigma_23,1
35,AI_-sigma_23,3
34,AI_-sigma_23,1
641,AI_-sigma_23,0
640,AI_-sigma_23,3
643,AI_-sigma_23,0
642,AI_-sigma_23,0
645,AI_-sigma_23,2
644,AI_-sigma_23,1
438,AI_-sigma_23,3
439,AI_-sigma_23,2
436,AI_-sigma_23,3
437,AI_-sigma_23,1
434,AI_-sigma_23,2
435,AI_-sigma_23,2
432,AI_-sigma_23,2
433,AI_-sigma_23,1
430,AI_-sigma_23,2
431,AI_-sigma_23,3
339,AI_-sigma_23,2
338,AI_-sigma_23,1
335,AI_-sigma_23,1
334,AI_-sigma_23,3
337,AI_-sigma_23,2
336,AI_-sigma_23,1
331,AI_-sigma_23,3
330,AI_-sigma_23,1
333,AI_-sigma_23,1
332,AI_-sigma_23,1
744,AI_-sigma_23,2
745,AI_-sigma_23,2
748,AI_-sigma_23,1
6,AI_-sigma_23,2
99,AI_-sigma_23,1
98,AI_-sigma_23,2
91,AI_-sigma_23,2
90,AI_-sigma_23,3
93,AI_-sigma_23,0
92,AI_-sigma_23,3
95,AI_-sigma_23,1
94,AI_-sigma_23,1
97,AI_-sigma_23,1
96,AI_-sigma_23,0
740,AI_-sigma_23,1
741,AI_-sigma_23,1
742,AI_-sigma_23,2
743,AI_-sigma_23,3
559,AI_-sigma_23,2
558,AI_-sigma_23,3
746,AI_-sigma_23,0
747,AI_-sigma_23,0
555,AI_-sigma_23,2
554,AI_-sigma_23,2
557,AI_-sigma_23,3
556,AI_-sigma_23,2
551,AI_-sigma_23,1
550,AI_-sigma_23,3
553,AI_-sigma_23,1
552,AI_-sigma_23,1
238,AI_-sigma_23,2
239,AI_-sigma_23,1
234,AI_-sigma_23,3
235,AI_-sigma_23,2
236,AI_-sigma_23,1
237,AI_-sigma_23,1
230,AI_-sigma_23,1
231,AI_-sigma_23,1
232,AI_-sigma_23,2
233,AI_-sigma_23,0
1,AI_-sigma_23,3
614,AI_-sigma_23,2
146,AI_-sigma_23,2
147,AI_-sigma_23,3
144,AI_-sigma_23,2
145,AI_-sigma_23,1
142,AI_-sigma_23,0
143,AI_-sigma_23,1
140,AI_-sigma_23,1
141,AI_-sigma_23,0
612,AI_-sigma_23,1
613,AI_-sigma_23,2
610,AI_-sigma_23,1
611,AI_-sigma_23,0
