task,worker,label
1,AI_mean_14,3
2,AI_mean_14,3
3,AI_mean_14,3
4,AI_mean_14,3
5,AI_mean_14,1
6,AI_mean_14,2
7,AI_mean_14,1
8,AI_mean_14,2
9,AI_mean_14,1
10,AI_mean_14,3
11,AI_mean_14,3
12,AI_mean_14,2
13,AI_mean_14,3
14,AI_mean_14,1
15,AI_mean_14,3
16,AI_mean_14,2
17,AI_mean_14,1
18,AI_mean_14,1
19,AI_mean_14,2
20,AI_mean_14,1
21,AI_mean_14,3
22,AI_mean_14,2
23,AI_mean_14,2
24,AI_mean_14,2
25,AI_mean_14,1
26,AI_mean_14,3
27,AI_mean_14,2
28,AI_mean_14,0
29,AI_mean_14,2
30,AI_mean_14,1
31,AI_mean_14,2
32,AI_mean_14,3
33,AI_mean_14,0
34,AI_mean_14,1
35,AI_mean_14,2
36,AI_mean_14,3
37,AI_mean_14,3
38,AI_mean_14,1
39,AI_mean_14,3
40,AI_mean_14,3
41,AI_mean_14,1
42,AI_mean_14,2
43,AI_mean_14,2
44,AI_mean_14,3
45,AI_mean_14,3
46,AI_mean_14,2
47,AI_mean_14,1
48,AI_mean_14,1
49,AI_mean_14,0
50,AI_mean_14,3
51,AI_mean_14,2
52,AI_mean_14,3
53,AI_mean_14,0
54,AI_mean_14,3
55,AI_mean_14,1
56,AI_mean_14,2
57,AI_mean_14,1
58,AI_mean_14,2
59,AI_mean_14,3
60,AI_mean_14,3
61,AI_mean_14,2
62,AI_mean_14,1
63,AI_mean_14,3
64,AI_mean_14,3
65,AI_mean_14,2
66,AI_mean_14,1
67,AI_mean_14,3
68,AI_mean_14,1
69,AI_mean_14,3
70,AI_mean_14,0
71,AI_mean_14,0
72,AI_mean_14,0
73,AI_mean_14,3
74,AI_mean_14,3
75,AI_mean_14,2
76,AI_mean_14,1
77,AI_mean_14,2
78,AI_mean_14,3
79,AI_mean_14,1
80,AI_mean_14,1
81,AI_mean_14,3
82,AI_mean_14,3
83,AI_mean_14,2
84,AI_mean_14,1
85,AI_mean_14,3
86,AI_mean_14,3
87,AI_mean_14,2
88,AI_mean_14,2
89,AI_mean_14,3
90,AI_mean_14,2
91,AI_mean_14,3
92,AI_mean_14,1
93,AI_mean_14,1
94,AI_mean_14,0
95,AI_mean_14,3
96,AI_mean_14,3
97,AI_mean_14,3
98,AI_mean_14,1
99,AI_mean_14,2
100,AI_mean_14,3
101,AI_mean_14,2
102,AI_mean_14,3
103,AI_mean_14,2
104,AI_mean_14,2
105,AI_mean_14,1
106,AI_mean_14,2
107,AI_mean_14,3
108,AI_mean_14,1
109,AI_mean_14,3
110,AI_mean_14,2
111,AI_mean_14,0
112,AI_mean_14,1
113,AI_mean_14,2
114,AI_mean_14,3
115,AI_mean_14,3
116,AI_mean_14,3
117,AI_mean_14,0
118,AI_mean_14,3
119,AI_mean_14,1
120,AI_mean_14,1
121,AI_mean_14,3
122,AI_mean_14,1
123,AI_mean_14,2
124,AI_mean_14,3
125,AI_mean_14,1
126,AI_mean_14,3
127,AI_mean_14,2
128,AI_mean_14,3
129,AI_mean_14,1
130,AI_mean_14,3
131,AI_mean_14,2
132,AI_mean_14,0
133,AI_mean_14,3
134,AI_mean_14,3
135,AI_mean_14,2
136,AI_mean_14,3
137,AI_mean_14,3
138,AI_mean_14,1
139,AI_mean_14,2
140,AI_mean_14,1
141,AI_mean_14,1
142,AI_mean_14,1
143,AI_mean_14,3
144,AI_mean_14,3
145,AI_mean_14,3
146,AI_mean_14,1
147,AI_mean_14,3
148,AI_mean_14,2
149,AI_mean_14,2
150,AI_mean_14,3
151,AI_mean_14,1
152,AI_mean_14,3
153,AI_mean_14,3
154,AI_mean_14,1
155,AI_mean_14,3
156,AI_mean_14,1
