task,worker,label
1,AI_-sigma_4,2
2,AI_-sigma_4,3
3,AI_-sigma_4,1
4,AI_-sigma_4,1
5,AI_-sigma_4,3
6,AI_-sigma_4,3
7,AI_-sigma_4,3
8,AI_-sigma_4,3
9,AI_-sigma_4,0
10,AI_-sigma_4,1
11,AI_-sigma_4,3
12,AI_-sigma_4,2
13,AI_-sigma_4,3
14,AI_-sigma_4,1
15,AI_-sigma_4,1
16,AI_-sigma_4,2
17,AI_-sigma_4,3
18,AI_-sigma_4,1
19,AI_-sigma_4,1
20,AI_-sigma_4,2
21,AI_-sigma_4,3
22,AI_-sigma_4,1
23,AI_-sigma_4,1
24,AI_-sigma_4,2
25,AI_-sigma_4,2
26,AI_-sigma_4,1
27,AI_-sigma_4,2
28,AI_-sigma_4,0
29,AI_-sigma_4,0
30,AI_-sigma_4,0
31,AI_-sigma_4,1
32,AI_-sigma_4,1
33,AI_-sigma_4,3
34,AI_-sigma_4,1
35,AI_-sigma_4,2
36,AI_-sigma_4,1
37,AI_-sigma_4,2
38,AI_-sigma_4,2
39,AI_-sigma_4,0
40,AI_-sigma_4,1
41,AI_-sigma_4,0
42,AI_-sigma_4,0
43,AI_-sigma_4,3
44,AI_-sigma_4,3
45,AI_-sigma_4,1
46,AI_-sigma_4,1
47,AI_-sigma_4,0
48,AI_-sigma_4,1
49,AI_-sigma_4,0
50,AI_-sigma_4,1
51,AI_-sigma_4,2
52,AI_-sigma_4,3
53,AI_-sigma_4,3
54,AI_-sigma_4,3
55,AI_-sigma_4,2
56,AI_-sigma_4,2
57,AI_-sigma_4,1
58,AI_-sigma_4,2
59,AI_-sigma_4,3
60,AI_-sigma_4,1
61,AI_-sigma_4,2
62,AI_-sigma_4,0
63,AI_-sigma_4,3
64,AI_-sigma_4,1
65,AI_-sigma_4,2
66,AI_-sigma_4,2
67,AI_-sigma_4,1
68,AI_-sigma_4,1
69,AI_-sigma_4,2
70,AI_-sigma_4,2
71,AI_-sigma_4,3
72,AI_-sigma_4,3
73,AI_-sigma_4,3
74,AI_-sigma_4,1
75,AI_-sigma_4,2
76,AI_-sigma_4,0
77,AI_-sigma_4,0
78,AI_-sigma_4,3
79,AI_-sigma_4,1
80,AI_-sigma_4,1
81,AI_-sigma_4,1
82,AI_-sigma_4,3
83,AI_-sigma_4,2
84,AI_-sigma_4,1
85,AI_-sigma_4,1
86,AI_-sigma_4,0
87,AI_-sigma_4,2
88,AI_-sigma_4,3
89,AI_-sigma_4,1
90,AI_-sigma_4,1
91,AI_-sigma_4,0
92,AI_-sigma_4,2
93,AI_-sigma_4,1
94,AI_-sigma_4,0
95,AI_-sigma_4,1
96,AI_-sigma_4,2
97,AI_-sigma_4,1
98,AI_-sigma_4,1
99,AI_-sigma_4,0
100,AI_-sigma_4,1
101,AI_-sigma_4,2
102,AI_-sigma_4,3
103,AI_-sigma_4,3
104,AI_-sigma_4,1
105,AI_-sigma_4,3
106,AI_-sigma_4,1
107,AI_-sigma_4,0
108,AI_-sigma_4,2
109,AI_-sigma_4,3
110,AI_-sigma_4,1
111,AI_-sigma_4,1
112,AI_-sigma_4,3
113,AI_-sigma_4,3
114,AI_-sigma_4,3
115,AI_-sigma_4,1
116,AI_-sigma_4,1
117,AI_-sigma_4,2
118,AI_-sigma_4,3
119,AI_-sigma_4,1
120,AI_-sigma_4,0
121,AI_-sigma_4,1
122,AI_-sigma_4,1
123,AI_-sigma_4,3
124,AI_-sigma_4,0
125,AI_-sigma_4,1
126,AI_-sigma_4,1
127,AI_-sigma_4,0
128,AI_-sigma_4,1
129,AI_-sigma_4,3
130,AI_-sigma_4,0
131,AI_-sigma_4,0
132,AI_-sigma_4,1
133,AI_-sigma_4,0
134,AI_-sigma_4,1
135,AI_-sigma_4,2
136,AI_-sigma_4,1
137,AI_-sigma_4,0
138,AI_-sigma_4,3
139,AI_-sigma_4,2
140,AI_-sigma_4,3
141,AI_-sigma_4,1
142,AI_-sigma_4,3
143,AI_-sigma_4,0
144,AI_-sigma_4,0
145,AI_-sigma_4,0
146,AI_-sigma_4,2
147,AI_-sigma_4,3
148,AI_-sigma_4,2
149,AI_-sigma_4,1
150,AI_-sigma_4,2
151,AI_-sigma_4,1
152,AI_-sigma_4,0
153,AI_-sigma_4,3
154,AI_-sigma_4,2
155,AI_-sigma_4,2
156,AI_-sigma_4,3
157,AI_-sigma_4,1
158,AI_-sigma_4,2
159,AI_-sigma_4,3
160,AI_-sigma_4,1
161,AI_-sigma_4,0
162,AI_-sigma_4,1
163,AI_-sigma_4,2
164,AI_-sigma_4,3
165,AI_-sigma_4,1
166,AI_-sigma_4,1
167,AI_-sigma_4,1
168,AI_-sigma_4,2
