task,worker,label
2-109,AI_-sigma_17,2
1-475,AI_-sigma_17,2
4-359,AI_-sigma_17,0
4-9,AI_-sigma_17,4
2-482,AI_-sigma_17,3
3-312,AI_-sigma_17,4
0-273,AI_-sigma_17,1
4-372,AI_-sigma_17,4
3-484,AI_-sigma_17,0
0-322,AI_-sigma_17,1
4-451,AI_-sigma_17,0
3-398,AI_-sigma_17,4
4-398,AI_-sigma_17,4
3-268,AI_-sigma_17,4
2-353,AI_-sigma_17,2
0-122,AI_-sigma_17,4
1-399,AI_-sigma_17,2
1-62,AI_-sigma_17,1
2-271,AI_-sigma_17,2
2-425,AI_-sigma_17,2
1-149,AI_-sigma_17,1
0-189,AI_-sigma_17,4
3-171,AI_-sigma_17,3
2-39,AI_-sigma_17,2
0-130,AI_-sigma_17,4
4-142,AI_-sigma_17,4
4-475,AI_-sigma_17,4
4-85,AI_-sigma_17,4
3-331,AI_-sigma_17,3
0-419,AI_-sigma_17,1
3-15,AI_-sigma_17,2
0-335,AI_-sigma_17,2
3-410,AI_-sigma_17,3
1-499,AI_-sigma_17,1
1-175,AI_-sigma_17,1
3-454,AI_-sigma_17,4
3-307,AI_-sigma_17,3
2-448,AI_-sigma_17,2
0-115,AI_-sigma_17,4
2-394,AI_-sigma_17,3
3-32,AI_-sigma_17,3
2-407,AI_-sigma_17,2
1-392,AI_-sigma_17,1
1-317,AI_-sigma_17,1
1-130,AI_-sigma_17,1
0-340,AI_-sigma_17,1
3-345,AI_-sigma_17,1
3-252,AI_-sigma_17,3
0-255,AI_-sigma_17,3
2-21,AI_-sigma_17,3
0-79,AI_-sigma_17,1
1-44,AI_-sigma_17,1
3-474,AI_-sigma_17,3
3-28,AI_-sigma_17,1
0-357,AI_-sigma_17,1
3-16,AI_-sigma_17,0
3-236,AI_-sigma_17,3
3-419,AI_-sigma_17,1
4-426,AI_-sigma_17,4
0-71,AI_-sigma_17,3
1-413,AI_-sigma_17,1
0-136,AI_-sigma_17,4
4-228,AI_-sigma_17,2
2-54,AI_-sigma_17,2
4-66,AI_-sigma_17,4
2-224,AI_-sigma_17,2
1-494,AI_-sigma_17,3
0-293,AI_-sigma_17,1
1-151,AI_-sigma_17,4
3-325,AI_-sigma_17,3
3-355,AI_-sigma_17,4
1-487,AI_-sigma_17,1
3-425,AI_-sigma_17,3
1-254,AI_-sigma_17,1
4-230,AI_-sigma_17,0
2-144,AI_-sigma_17,2
4-45,AI_-sigma_17,3
2-346,AI_-sigma_17,2
0-466,AI_-sigma_17,1
4-369,AI_-sigma_17,4
1-323,AI_-sigma_17,2
3-72,AI_-sigma_17,3
0-209,AI_-sigma_17,1
0-83,AI_-sigma_17,1
4-338,AI_-sigma_17,0
4-183,AI_-sigma_17,4
0-336,AI_-sigma_17,2
3-302,AI_-sigma_17,3
1-201,AI_-sigma_17,1
0-471,AI_-sigma_17,1
3-197,AI_-sigma_17,3
1-348,AI_-sigma_17,2
4-329,AI_-sigma_17,4
4-240,AI_-sigma_17,4
4-111,AI_-sigma_17,4
1-104,AI_-sigma_17,1
1-341,AI_-sigma_17,0
1-101,AI_-sigma_17,0
2-470,AI_-sigma_17,1
2-435,AI_-sigma_17,2
3-101,AI_-sigma_17,1
3-391,AI_-sigma_17,3
0-334,AI_-sigma_17,0
2-22,AI_-sigma_17,2
1-331,AI_-sigma_17,1
3-344,AI_-sigma_17,3
4-387,AI_-sigma_17,4
2-10,AI_-sigma_17,2
0-270,AI_-sigma_17,4
1-462,AI_-sigma_17,1
2-291,AI_-sigma_17,0
0-341,AI_-sigma_17,1
3-248,AI_-sigma_17,3
2-411,AI_-sigma_17,2
3-418,AI_-sigma_17,1
2-240,AI_-sigma_17,3
1-286,AI_-sigma_17,1
0-292,AI_-sigma_17,1
1-482,AI_-sigma_17,0
1-326,AI_-sigma_17,3
2-293,AI_-sigma_17,2
0-246,AI_-sigma_17,4
4-108,AI_-sigma_17,4
4-71,AI_-sigma_17,4
0-406,AI_-sigma_17,2
0-3,AI_-sigma_17,4
3-300,AI_-sigma_17,1
0-420,AI_-sigma_17,1
3-455,AI_-sigma_17,3
4-399,AI_-sigma_17,0
4-5,AI_-sigma_17,3
0-157,AI_-sigma_17,1
3-313,AI_-sigma_17,3
3-411,AI_-sigma_17,0
0-232,AI_-sigma_17,2
3-105,AI_-sigma_17,2
1-337,AI_-sigma_17,2
0-323,AI_-sigma_17,1
2-170,AI_-sigma_17,2
3-462,AI_-sigma_17,1
0-44,AI_-sigma_17,1
4-117,AI_-sigma_17,4
4-497,AI_-sigma_17,3
2-148,AI_-sigma_17,2
3-327,AI_-sigma_17,3
2-445,AI_-sigma_17,1
0-326,AI_-sigma_17,1
3-246,AI_-sigma_17,3
4-499,AI_-sigma_17,4
1-345,AI_-sigma_17,4
0-18,AI_-sigma_17,1
1-134,AI_-sigma_17,1
1-203,AI_-sigma_17,2
0-318,AI_-sigma_17,3
0-160,AI_-sigma_17,3
1-75,AI_-sigma_17,1
1-281,AI_-sigma_17,0
2-479,AI_-sigma_17,4
3-347,AI_-sigma_17,2
1-357,AI_-sigma_17,1
2-32,AI_-sigma_17,2
0-6,AI_-sigma_17,0
1-110,AI_-sigma_17,1
3-407,AI_-sigma_17,3
1-188,AI_-sigma_17,0
3-54,AI_-sigma_17,3
2-420,AI_-sigma_17,2
0-484,AI_-sigma_17,1
4-300,AI_-sigma_17,4
3-95,AI_-sigma_17,3
2-46,AI_-sigma_17,0
0-210,AI_-sigma_17,0
4-25,AI_-sigma_17,4
3-110,AI_-sigma_17,3
2-221,AI_-sigma_17,1
3-144,AI_-sigma_17,0
4-55,AI_-sigma_17,4
0-230,AI_-sigma_17,1
0-478,AI_-sigma_17,3
1-420,AI_-sigma_17,1
4-212,AI_-sigma_17,4
2-35,AI_-sigma_17,2
1-106,AI_-sigma_17,0
4-328,AI_-sigma_17,4
2-447,AI_-sigma_17,2
0-394,AI_-sigma_17,1
4-93,AI_-sigma_17,4
3-82,AI_-sigma_17,3
0-110,AI_-sigma_17,4
4-342,AI_-sigma_17,0
3-27,AI_-sigma_17,1
4-80,AI_-sigma_17,4
3-25,AI_-sigma_17,3
4-321,AI_-sigma_17,4
4-77,AI_-sigma_17,0
4-350,AI_-sigma_17,4
4-92,AI_-sigma_17,4
0-205,AI_-sigma_17,2
2-89,AI_-sigma_17,2
2-36,AI_-sigma_17,2
1-81,AI_-sigma_17,0
1-274,AI_-sigma_17,1
0-25,AI_-sigma_17,1
0-196,AI_-sigma_17,1
0-331,AI_-sigma_17,1
4-373,AI_-sigma_17,0
3-421,AI_-sigma_17,0
2-492,AI_-sigma_17,2
3-178,AI_-sigma_17,3
4-421,AI_-sigma_17,1
4-323,AI_-sigma_17,4
0-111,AI_-sigma_17,1
4-31,AI_-sigma_17,0
1-59,AI_-sigma_17,1
3-162,AI_-sigma_17,3
2-27,AI_-sigma_17,3
2-401,AI_-sigma_17,3
2-404,AI_-sigma_17,0
2-69,AI_-sigma_17,3
2-290,AI_-sigma_17,2
0-162,AI_-sigma_17,1
1-451,AI_-sigma_17,4
2-244,AI_-sigma_17,2
2-381,AI_-sigma_17,1
1-173,AI_-sigma_17,1
2-30,AI_-sigma_17,2
4-38,AI_-sigma_17,4
1-153,AI_-sigma_17,2
3-304,AI_-sigma_17,3
1-68,AI_-sigma_17,3
1-271,AI_-sigma_17,1
4-304,AI_-sigma_17,4
4-192,AI_-sigma_17,1
3-452,AI_-sigma_17,1
1-388,AI_-sigma_17,1
3-333,AI_-sigma_17,3
4-223,AI_-sigma_17,0
1-124,AI_-sigma_17,1
4-191,AI_-sigma_17,1
2-197,AI_-sigma_17,4
1-63,AI_-sigma_17,1
3-199,AI_-sigma_17,3
4-44,AI_-sigma_17,0
3-53,AI_-sigma_17,3
0-204,AI_-sigma_17,3
2-14,AI_-sigma_17,0
3-211,AI_-sigma_17,4
4-488,AI_-sigma_17,3
2-310,AI_-sigma_17,2
4-365,AI_-sigma_17,1
3-222,AI_-sigma_17,2
3-232,AI_-sigma_17,3
2-84,AI_-sigma_17,2
4-209,AI_-sigma_17,1
2-373,AI_-sigma_17,2
0-0,AI_-sigma_17,1
2-396,AI_-sigma_17,2
3-342,AI_-sigma_17,0
2-442,AI_-sigma_17,2
0-404,AI_-sigma_17,3
2-327,AI_-sigma_17,3
2-81,AI_-sigma_17,2
0-432,AI_-sigma_17,0
0-462,AI_-sigma_17,1
4-242,AI_-sigma_17,4
4-7,AI_-sigma_17,4
1-197,AI_-sigma_17,2
4-81,AI_-sigma_17,4
3-10,AI_-sigma_17,3
1-156,AI_-sigma_17,1
2-345,AI_-sigma_17,2
1-165,AI_-sigma_17,1
2-227,AI_-sigma_17,1
1-301,AI_-sigma_17,1
2-475,AI_-sigma_17,3
3-485,AI_-sigma_17,3
0-499,AI_-sigma_17,1
0-351,AI_-sigma_17,1
1-309,AI_-sigma_17,1
3-351,AI_-sigma_17,3
1-171,AI_-sigma_17,1
1-0,AI_-sigma_17,1
3-93,AI_-sigma_17,4
1-441,AI_-sigma_17,3
2-324,AI_-sigma_17,2
3-283,AI_-sigma_17,4
4-114,AI_-sigma_17,4
0-354,AI_-sigma_17,1
1-43,AI_-sigma_17,4
1-169,AI_-sigma_17,0
0-182,AI_-sigma_17,1
3-237,AI_-sigma_17,3
2-440,AI_-sigma_17,0
3-29,AI_-sigma_17,2
3-464,AI_-sigma_17,4
0-401,AI_-sigma_17,1
3-121,AI_-sigma_17,3
1-86,AI_-sigma_17,4
2-106,AI_-sigma_17,2
2-263,AI_-sigma_17,2
3-335,AI_-sigma_17,3
1-347,AI_-sigma_17,1
2-489,AI_-sigma_17,2
1-163,AI_-sigma_17,0
1-305,AI_-sigma_17,4
4-127,AI_-sigma_17,2
2-252,AI_-sigma_17,2
3-329,AI_-sigma_17,3
2-230,AI_-sigma_17,4
3-125,AI_-sigma_17,3
0-300,AI_-sigma_17,0
2-375,AI_-sigma_17,2
0-338,AI_-sigma_17,1
0-474,AI_-sigma_17,1
3-4,AI_-sigma_17,3
3-8,AI_-sigma_17,3
0-227,AI_-sigma_17,1
4-211,AI_-sigma_17,2
2-452,AI_-sigma_17,2
0-121,AI_-sigma_17,1
1-20,AI_-sigma_17,1
4-88,AI_-sigma_17,2
2-498,AI_-sigma_17,2
0-416,AI_-sigma_17,1
4-76,AI_-sigma_17,4
2-16,AI_-sigma_17,4
4-314,AI_-sigma_17,3
2-395,AI_-sigma_17,3
3-34,AI_-sigma_17,3
3-371,AI_-sigma_17,4
0-72,AI_-sigma_17,1
0-51,AI_-sigma_17,1
0-76,AI_-sigma_17,1
1-107,AI_-sigma_17,0
2-218,AI_-sigma_17,2
1-179,AI_-sigma_17,0
2-231,AI_-sigma_17,1
2-405,AI_-sigma_17,4
0-359,AI_-sigma_17,1
4-296,AI_-sigma_17,3
1-131,AI_-sigma_17,1
4-274,AI_-sigma_17,1
3-387,AI_-sigma_17,4
1-273,AI_-sigma_17,0
2-254,AI_-sigma_17,3
3-449,AI_-sigma_17,3
0-231,AI_-sigma_17,3
2-374,AI_-sigma_17,2
1-138,AI_-sigma_17,0
0-163,AI_-sigma_17,1
0-260,AI_-sigma_17,4
3-205,AI_-sigma_17,3
3-213,AI_-sigma_17,3
1-302,AI_-sigma_17,1
3-182,AI_-sigma_17,3
2-64,AI_-sigma_17,1
1-490,AI_-sigma_17,3
2-438,AI_-sigma_17,1
3-19,AI_-sigma_17,3
1-80,AI_-sigma_17,3
0-106,AI_-sigma_17,0
4-441,AI_-sigma_17,4
2-359,AI_-sigma_17,2
4-340,AI_-sigma_17,4
4-380,AI_-sigma_17,1
1-194,AI_-sigma_17,1
1-228,AI_-sigma_17,3
1-297,AI_-sigma_17,1
2-97,AI_-sigma_17,2
1-258,AI_-sigma_17,1
4-428,AI_-sigma_17,4
3-422,AI_-sigma_17,3
4-57,AI_-sigma_17,3
3-376,AI_-sigma_17,3
0-303,AI_-sigma_17,4
2-149,AI_-sigma_17,2
