dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,biased_accuracy,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pih_4,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3,uc_pia_4
adult,hetero,EMDS,-sigma,3,4,0,-1,0.8123107971745711,0.4098360655737705,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,GLAD,-sigma,3,4,0,-1,0.893037336024218,0.47540983606557374,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,OneCoinDS,-sigma,3,4,0,-1,0.8990918264379415,0.3442622950819672,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,TwoStep-EM,-sigma,3,4,0,-1,0.8617558022199798,0.5901639344262295,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,BDS(iter_sampling=1000),-sigma,3,4,0,1,0.9101917255297679,0.5737704918032787,0,0,0,0,0,0,0,0,0,0,0
adult,hetero,BDS(iter_sampling=2000),-sigma,3,4,0,1,0.9101917255297679,0.5737704918032787,0,0,0,0,0,0,0,0,0,0,0
adult,hetero,BDS(iter_sampling=3000),-sigma,3,4,0,1,0.9101917255297679,0.5737704918032787,0,0,0,0,0,0,0,0,0,0,0
adult,hetero,Two-Step-MCMC(iter_sampling=1000),-sigma,3,4,0,1,0.9101917255297679,0.5737704918032787,0,0,0,0,0,0,0,0,0,0,0
adult,hetero,Two-Step-MCMC(iter_sampling=2000),-sigma,3,4,0,1,0.9112008072653885,0.5737704918032787,0,0,0,0,0,0,0,0,0,0,0
adult,hetero,Two-Step-MCMC(iter_sampling=3000),-sigma,3,4,0,1,0.9101917255297679,0.5737704918032787,0,0,0,0,0,0,0,0,0,0,0
adult,hetero,EMDS,-sigma,3,4,1,-1,0.8123107971745711,0.4098360655737705,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,GLAD,-sigma,3,4,1,-1,0.893037336024218,0.47540983606557374,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,OneCoinDS,-sigma,3,4,1,-1,0.8990918264379415,0.3442622950819672,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,TwoStep-EM,-sigma,3,4,1,-1,0.8617558022199798,0.5901639344262295,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,BDS(iter_sampling=1000),-sigma,3,4,1,1,0.9101917255297679,0.5737704918032787,0,0,0,0,0,0,0,0,0,0,0
adult,hetero,BDS(iter_sampling=2000),-sigma,3,4,1,1,0.9101917255297679,0.5737704918032787,0,0,0,0,0,0,0,0,0,0,0
adult,hetero,BDS(iter_sampling=3000),-sigma,3,4,1,1,0.9101917255297679,0.5737704918032787,0,0,0,0,0,0,0,0,0,0,0
adult,hetero,Two-Step-MCMC(iter_sampling=1000),-sigma,3,4,1,1,0.9101917255297679,0.5737704918032787,0,0,0,0,0,0,0,0,0,0,0
adult,hetero,Two-Step-MCMC(iter_sampling=2000),-sigma,3,4,1,1,0.9101917255297679,0.5737704918032787,0,0,0,0,0,0,0,0,0,0,0
adult,hetero,Two-Step-MCMC(iter_sampling=3000),-sigma,3,4,1,1,0.9101917255297679,0.5737704918032787,0,0,0,0,0,0,0,0,0,0,0
adult,hetero,EMDS,-sigma,3,4,2,-1,0.8123107971745711,0.4098360655737705,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,GLAD,-sigma,3,4,2,-1,0.893037336024218,0.47540983606557374,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,OneCoinDS,-sigma,3,4,2,-1,0.8990918264379415,0.3442622950819672,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,TwoStep-EM,-sigma,3,4,2,-1,0.8617558022199798,0.5901639344262295,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,BDS(iter_sampling=1000),-sigma,3,4,2,1,0.9101917255297679,0.5737704918032787,0,0,0,0,0,0,0,0,0,0,0
adult,hetero,BDS(iter_sampling=2000),-sigma,3,4,2,1,0.9101917255297679,0.5737704918032787,0,0,0,0,0,0,0,0,0,0,0
adult,hetero,BDS(iter_sampling=3000),-sigma,3,4,2,1,0.9112008072653885,0.5737704918032787,0,0,0,0,0,0,0,0,0,0,0
adult,hetero,Two-Step-MCMC(iter_sampling=1000),-sigma,3,4,2,1,0.9112008072653885,0.5737704918032787,0,0,0,0,0,0,0,0,0,0,0
