dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,recall,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pih_4,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3,uc_pia_4
adult,hetero,EMDS,mean,3,4,0,-1,0.9919273461150353,0.9508196721311475,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,GLAD,mean,3,4,0,-1,0.9576185671039354,0.32786885245901637,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,OneCoinDS,mean,3,4,0,-1,0.9445005045408678,0.09836065573770492,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,HSDS_EM,mean,3,4,0,-1,0.9202825428859738,0.7377049180327869,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,BDS(iter_sampling=1000),mean,3,4,0,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hetero,BDS(iter_sampling=2000),mean,3,4,0,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hetero,BDS(iter_sampling=3000),mean,3,4,0,0,1.0,1.0,2,0,0,518,0,757,0,0,18,0,17
adult,hetero,HSDS_MCMC(iter_sampling=1000),mean,3,4,0,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hetero,HSDS_MCMC(iter_sampling=2000),mean,3,4,0,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hetero,HSDS_MCMC(iter_sampling=3000),mean,3,4,0,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hetero,EMDS,mean,3,4,1,-1,0.9919273461150353,0.9508196721311475,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,GLAD,mean,3,4,1,-1,0.9576185671039354,0.32786885245901637,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,OneCoinDS,mean,3,4,1,-1,0.9445005045408678,0.09836065573770492,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,HSDS_EM,mean,3,4,1,-1,0.9202825428859738,0.7377049180327869,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,BDS(iter_sampling=1000),mean,3,4,1,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hetero,BDS(iter_sampling=2000),mean,3,4,1,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hetero,BDS(iter_sampling=3000),mean,3,4,1,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hetero,HSDS_MCMC(iter_sampling=1000),mean,3,4,1,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hetero,HSDS_MCMC(iter_sampling=2000),mean,3,4,1,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hetero,HSDS_MCMC(iter_sampling=3000),mean,3,4,1,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hetero,EMDS,mean,3,4,2,-1,0.9919273461150353,0.9508196721311475,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,GLAD,mean,3,4,2,-1,0.9576185671039354,0.32786885245901637,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,OneCoinDS,mean,3,4,2,-1,0.9445005045408678,0.09836065573770492,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,HSDS_EM,mean,3,4,2,-1,0.9202825428859738,0.7377049180327869,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,BDS(iter_sampling=1000),mean,3,4,2,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hetero,BDS(iter_sampling=2000),mean,3,4,2,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hetero,BDS(iter_sampling=3000),mean,3,4,2,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hetero,HSDS_MCMC(iter_sampling=1000),mean,3,4,2,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hetero,HSDS_MCMC(iter_sampling=2000),mean,3,4,2,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hetero,HSDS_MCMC(iter_sampling=3000),mean,3,4,2,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hetero,EMDS,mean,3,4,3,-1,0.9919273461150353,0.9508196721311475,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,GLAD,mean,3,4,3,-1,0.9576185671039354,0.32786885245901637,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,OneCoinDS,mean,3,4,3,-1,0.9445005045408678,0.09836065573770492,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,HSDS_EM,mean,3,4,3,-1,0.9202825428859738,0.7377049180327869,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,BDS(iter_sampling=1000),mean,3,4,3,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hetero,BDS(iter_sampling=2000),mean,3,4,3,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hetero,BDS(iter_sampling=3000),mean,3,4,3,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hetero,HSDS_MCMC(iter_sampling=1000),mean,3,4,3,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hetero,HSDS_MCMC(iter_sampling=2000),mean,3,4,3,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hetero,HSDS_MCMC(iter_sampling=3000),mean,3,4,3,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hetero,EMDS,mean,3,4,4,-1,0.9919273461150353,0.9508196721311475,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,GLAD,mean,3,4,4,-1,0.9576185671039354,0.32786885245901637,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,OneCoinDS,mean,3,4,4,-1,0.9445005045408678,0.09836065573770492,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,HSDS_EM,mean,3,4,4,-1,0.9202825428859738,0.7377049180327869,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,BDS(iter_sampling=1000),mean,3,4,4,0,1.0,1.0,2,0,0,523,0,758,0,0,18,0,18
adult,hetero,BDS(iter_sampling=2000),mean,3,4,4,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hetero,BDS(iter_sampling=3000),mean,3,4,4,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hetero,HSDS_MCMC(iter_sampling=1000),mean,3,4,4,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hetero,HSDS_MCMC(iter_sampling=2000),mean,3,4,4,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hetero,HSDS_MCMC(iter_sampling=3000),mean,3,4,4,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hetero,EMDS,mean,3,8,0,-1,0.9979818365287588,0.9672131147540983,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,GLAD,mean,3,8,0,-1,0.9535822401614531,0.2459016393442623,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,OneCoinDS,mean,3,8,0,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,HSDS_EM,mean,3,8,0,-1,0.963673057517659,0.9836065573770492,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,BDS(iter_sampling=1000),mean,3,8,0,0,1.0,1.0,3,10,0,0,288,128,30,0,0,24,26
adult,hetero,BDS(iter_sampling=2000),mean,3,8,0,0,1.0,1.0,4,5,0,134,567,883,30,0,38,26,37
adult,hetero,BDS(iter_sampling=3000),mean,3,8,0,0,1.0,1.0,3,73,340,0,0,120,30,30,0,0,26
adult,hetero,HSDS_MCMC(iter_sampling=1000),mean,3,8,0,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hetero,HSDS_MCMC(iter_sampling=2000),mean,3,8,0,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hetero,HSDS_MCMC(iter_sampling=3000),mean,3,8,0,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hetero,EMDS,mean,3,8,1,-1,0.9979818365287588,0.9672131147540983,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,GLAD,mean,3,8,1,-1,0.9535822401614531,0.2459016393442623,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,OneCoinDS,mean,3,8,1,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,HSDS_EM,mean,3,8,1,-1,0.963673057517659,0.9836065573770492,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,BDS(iter_sampling=1000),mean,3,8,1,0,0.9989909182643795,1.0,3,9,0,318,965,0,31,0,38,40,0
adult,hetero,BDS(iter_sampling=2000),mean,3,8,1,0,1.0,1.0,3,74,11,0,11,0,30,14,0,13,0
adult,hetero,BDS(iter_sampling=3000),mean,3,8,1,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hetero,HSDS_MCMC(iter_sampling=1000),mean,3,8,1,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hetero,HSDS_MCMC(iter_sampling=2000),mean,3,8,1,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hetero,HSDS_MCMC(iter_sampling=3000),mean,3,8,1,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hetero,EMDS,mean,3,8,2,-1,0.9979818365287588,0.9672131147540983,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,GLAD,mean,3,8,2,-1,0.9535822401614531,0.2459016393442623,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,OneCoinDS,mean,3,8,2,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,HSDS_EM,mean,3,8,2,-1,0.963673057517659,0.9836065573770492,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,BDS(iter_sampling=1000),mean,3,8,2,0,0.9384460141271443,0.0,3,0,11,218,784,0,0,14,30,30,0
adult,hetero,BDS(iter_sampling=2000),mean,3,8,2,0,0.9798183652875883,0.6721311475409836,5,3,11,532,745,122,30,13,31,29,27
adult,hetero,BDS(iter_sampling=3000),mean,3,8,2,0,0.9969727547931383,0.9508196721311475,2,73,0,0,162,0,30,0,0,13,0
adult,hetero,HSDS_MCMC(iter_sampling=1000),mean,3,8,2,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hetero,HSDS_MCMC(iter_sampling=2000),mean,3,8,2,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hetero,HSDS_MCMC(iter_sampling=3000),mean,3,8,2,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hetero,EMDS,mean,3,8,3,-1,0.9979818365287588,0.9672131147540983,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,GLAD,mean,3,8,3,-1,0.9535822401614531,0.2459016393442623,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,OneCoinDS,mean,3,8,3,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,HSDS_EM,mean,3,8,3,-1,0.963673057517659,0.9836065573770492,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,BDS(iter_sampling=1000),mean,3,8,3,0,0.9384460141271443,0.0,4,3,662,159,11,0,30,34,31,12,0
adult,hetero,BDS(iter_sampling=2000),mean,3,8,3,0,0.9384460141271443,0.0,4,0,603,153,414,120,0,30,33,28,27
adult,hetero,BDS(iter_sampling=3000),mean,3,8,3,0,1.0,1.0,4,74,653,655,0,764,30,33,37,0,30
adult,hetero,HSDS_MCMC(iter_sampling=1000),mean,3,8,3,0,1.0,1.0,3,65,0,0,14,13,31,0,0,12,12
adult,hetero,HSDS_MCMC(iter_sampling=2000),mean,3,8,3,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hetero,HSDS_MCMC(iter_sampling=3000),mean,3,8,3,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hetero,EMDS,mean,3,8,4,-1,0.9979818365287588,0.9672131147540983,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,GLAD,mean,3,8,4,-1,0.9535822401614531,0.2459016393442623,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,OneCoinDS,mean,3,8,4,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,HSDS_EM,mean,3,8,4,-1,0.963673057517659,0.9836065573770492,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,BDS(iter_sampling=1000),mean,3,8,4,0,0.9334006054490414,0.0,4,3,0,530,1069,333,30,0,31,37,28
adult,hetero,BDS(iter_sampling=2000),mean,3,8,4,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hetero,BDS(iter_sampling=3000),mean,3,8,4,0,1.0,1.0,4,72,302,0,11,118,30,25,0,12,26
adult,hetero,HSDS_MCMC(iter_sampling=1000),mean,3,8,4,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hetero,HSDS_MCMC(iter_sampling=2000),mean,3,8,4,0,1.0,1.0,2,8,11,0,0,0,30,13,0,0,0
adult,hetero,HSDS_MCMC(iter_sampling=3000),mean,3,8,4,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hetero,EMDS,mean,3,12,0,-1,1.0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,GLAD,mean,3,12,0,-1,0.9404641775983855,0.03278688524590164,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
