dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,recall,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pih_4,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3,uc_pia_4
adult,hetero,EMDS,-sigma,5,4,0,-1,0.8607467204843592,0.7704918032786885,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,GLAD,-sigma,5,4,0,-1,0.8849646821392533,0.5245901639344263,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,OneCoinDS,-sigma,5,4,0,-1,0.8900100908173562,0.4918032786885246,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,HSDS_EM,-sigma,5,4,0,-1,0.834510595358224,0.7213114754098361,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,BDS(iter_sampling=1000),-sigma,5,4,0,1,0.8950554994954592,0.7213114754098361,0,0,0,0,0,0,0,0,0,0,0
adult,hetero,BDS(iter_sampling=2000),-sigma,5,4,0,1,0.8950554994954592,0.7213114754098361,0,0,0,0,0,0,0,0,0,0,0
adult,hetero,BDS(iter_sampling=3000),-sigma,5,4,0,1,0.8950554994954592,0.7213114754098361,0,0,0,0,0,0,0,0,0,0,0
adult,hetero,HSDS_MCMC(iter_sampling=1000),-sigma,5,4,0,1,0.8950554994954592,0.7049180327868853,0,0,0,0,0,0,0,0,0,0,0
adult,hetero,HSDS_MCMC(iter_sampling=2000),-sigma,5,4,0,1,0.8960645812310797,0.7213114754098361,0,0,0,0,0,0,0,0,0,0,0
adult,hetero,HSDS_MCMC(iter_sampling=3000),-sigma,5,4,0,1,0.8950554994954592,0.7213114754098361,0,0,0,0,0,0,0,0,0,0,0
adult,hetero,EMDS,-sigma,5,4,1,-1,0.8607467204843592,0.7704918032786885,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,GLAD,-sigma,5,4,1,-1,0.8849646821392533,0.5245901639344263,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
