dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,recall,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pih_4,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3,uc_pia_4
adult,homo,EMDS,mean,3,4,0,-1,0.929364278506559,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,GLAD,mean,3,4,0,-1,0.9394550958627649,0.03278688524590164,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,OneCoinDS,mean,3,4,0,-1,0.9374369323915237,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,HSDS_EM,mean,3,4,0,-1,0.9233097880928355,0.639344262295082,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,BDS(iter_sampling=1000),mean,3,4,0,0,0.9889001009081736,0.819672131147541,2,0,0,534,0,765,0,0,12,0,11
adult,homo,BDS(iter_sampling=2000),mean,3,4,0,1,0.9889001009081736,0.819672131147541,0,0,0,0,0,0,0,0,0,0,0
adult,homo,BDS(iter_sampling=3000),mean,3,4,0,1,0.9899091826437941,0.8360655737704918,0,0,0,0,0,0,0,0,0,0,0
adult,homo,HSDS_MCMC(iter_sampling=1000),mean,3,4,0,1,0.9889001009081736,0.819672131147541,0,0,0,0,0,0,0,0,0,0,0
adult,homo,HSDS_MCMC(iter_sampling=2000),mean,3,4,0,1,0.9889001009081736,0.819672131147541,0,0,0,0,0,0,0,0,0,0,0
adult,homo,HSDS_MCMC(iter_sampling=3000),mean,3,4,0,1,0.9889001009081736,0.819672131147541,0,0,0,0,0,0,0,0,0,0,0
adult,homo,EMDS,mean,3,4,1,-1,0.929364278506559,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,GLAD,mean,3,4,1,-1,0.9394550958627649,0.03278688524590164,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,OneCoinDS,mean,3,4,1,-1,0.9374369323915237,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,HSDS_EM,mean,3,4,1,-1,0.9233097880928355,0.639344262295082,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,BDS(iter_sampling=1000),mean,3,4,1,1,0.9889001009081736,0.819672131147541,0,0,0,0,0,0,0,0,0,0,0
adult,homo,BDS(iter_sampling=2000),mean,3,4,1,1,0.9899091826437941,0.8360655737704918,0,0,0,0,0,0,0,0,0,0,0
