dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,biased_accuracy,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pih_4,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3,uc_pia_4
adult,hybrid,EMDS,max,3,8,0,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,GLAD,max,3,8,0,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,OneCoinDS,max,3,8,0,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,TwoStep-EM,max,3,8,0,-1,0.9677093844601413,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,BDS(iter_sampling=1000),max,3,8,0,0,0.9384460141271443,0.0,5,15,1008,237,1001,898,40,40,40,40,40
adult,hybrid,BDS(iter_sampling=2000),max,3,8,0,0,0.5933400605449042,0.0,5,599,1012,516,1205,246,40,40,40,40,25
adult,hybrid,BDS(iter_sampling=3000),max,3,8,0,0,0.8970736629667003,0.0,4,0,1039,287,275,897,0,40,40,40,40
adult,hybrid,Two-Step-MCMC(iter_sampling=1000),max,3,8,0,0,1.0,1.0,2,11,13,0,0,0,40,11,0,0,0
adult,hybrid,Two-Step-MCMC(iter_sampling=2000),max,3,8,0,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,Two-Step-MCMC(iter_sampling=3000),max,3,8,0,0,1.0,1.0,2,9,0,0,11,0,40,0,0,15,0
adult,hybrid,EMDS,max,3,8,1,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,GLAD,max,3,8,1,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,OneCoinDS,max,3,8,1,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,TwoStep-EM,max,3,8,1,-1,0.9677093844601413,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,BDS(iter_sampling=1000),max,3,8,1,0,0.38647830474268413,0.0,5,835,44,139,276,780,40,18,40,40,16
adult,hybrid,BDS(iter_sampling=2000),max,3,8,1,0,0.9384460141271443,0.0,5,3,656,676,310,834,40,40,40,40,40
adult,hybrid,BDS(iter_sampling=3000),max,3,8,1,0,0.9384460141271443,0.0,5,623,342,261,687,67,40,40,40,40,40
adult,hybrid,Two-Step-MCMC(iter_sampling=1000),max,3,8,1,0,1.0,1.0,2,16,14,0,0,0,40,11,0,0,0
adult,hybrid,Two-Step-MCMC(iter_sampling=2000),max,3,8,1,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,Two-Step-MCMC(iter_sampling=3000),max,3,8,1,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,EMDS,max,3,8,2,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,GLAD,max,3,8,2,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,OneCoinDS,max,3,8,2,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,TwoStep-EM,max,3,8,2,-1,0.9677093844601413,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,BDS(iter_sampling=1000),max,3,8,2,0,0.9556004036326943,0.2786885245901639,2,72,158,0,0,0,40,11,0,0,0
adult,hybrid,BDS(iter_sampling=2000),max,3,8,2,0,0.9384460141271443,0.0,5,15,11,524,1026,228,40,11,16,40,40
adult,hybrid,BDS(iter_sampling=3000),max,3,8,2,0,0.9384460141271443,0.0,3,3,699,157,0,0,40,40,40,0,0
adult,hybrid,Two-Step-MCMC(iter_sampling=1000),max,3,8,2,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
