dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,recall,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pih_4,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3,uc_pia_4
adult,hybrid,EMDS,mean,3,8,0,-1,0.9364278506559032,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,GLAD,mean,3,8,0,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,OneCoinDS,mean,3,8,0,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,HSDS_EM,mean,3,8,0,-1,0.9646821392532795,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,BDS(iter_sampling=1000),mean,3,8,0,1,0.9384460141271443,0.0,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,BDS(iter_sampling=2000),mean,3,8,0,0,0.9384460141271443,0.0,2,0,0,136,691,0,0,0,39,26,0
adult,hybrid,BDS(iter_sampling=3000),mean,3,8,0,0,0.9566094853683148,0.29508196721311475,4,74,161,522,0,766,27,11,30,0,28
adult,hybrid,HSDS_MCMC(iter_sampling=1000),mean,3,8,0,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,HSDS_MCMC(iter_sampling=2000),mean,3,8,0,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,HSDS_MCMC(iter_sampling=3000),mean,3,8,0,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,EMDS,mean,3,8,1,-1,0.9364278506559032,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,GLAD,mean,3,8,1,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,OneCoinDS,mean,3,8,1,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,HSDS_EM,mean,3,8,1,-1,0.9646821392532795,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,BDS(iter_sampling=1000),mean,3,8,1,0,0.9384460141271443,0.0,5,3,700,664,281,837,27,27,35,24,33
adult,hybrid,BDS(iter_sampling=2000),mean,3,8,1,0,0.9384460141271443,0.0,2,3,14,0,0,0,27,10,0,0,0
adult,hybrid,BDS(iter_sampling=3000),mean,3,8,1,0,0.9374369323915237,0.0,4,0,637,547,692,761,0,29,37,23,27
adult,hybrid,HSDS_MCMC(iter_sampling=1000),mean,3,8,1,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,HSDS_MCMC(iter_sampling=2000),mean,3,8,1,0,1.0,1.0,2,9,11,0,0,0,30,9,0,0,0
adult,hybrid,HSDS_MCMC(iter_sampling=3000),mean,3,8,1,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,EMDS,mean,3,8,2,-1,0.9364278506559032,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,GLAD,mean,3,8,2,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,OneCoinDS,mean,3,8,2,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,HSDS_EM,mean,3,8,2,-1,0.9646821392532795,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,BDS(iter_sampling=1000),mean,3,8,2,0,0.9384460141271443,0.0,4,3,28,527,0,764,27,9,30,0,27
adult,hybrid,BDS(iter_sampling=2000),mean,3,8,2,0,0.922300706357215,0.0,3,0,923,781,0,339,0,30,30,0,27
adult,hybrid,BDS(iter_sampling=3000),mean,3,8,2,0,0.9384460141271443,0.0,3,0,1034,153,0,111,0,34,30,0,27
adult,hybrid,HSDS_MCMC(iter_sampling=1000),mean,3,8,2,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,HSDS_MCMC(iter_sampling=2000),mean,3,8,2,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,HSDS_MCMC(iter_sampling=3000),mean,3,8,2,0,1.0,1.0,2,10,11,0,0,0,27,9,0,0,0
adult,hybrid,EMDS,mean,3,8,3,-1,0.9364278506559032,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,GLAD,mean,3,8,3,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,OneCoinDS,mean,3,8,3,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,HSDS_EM,mean,3,8,3,-1,0.9646821392532795,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,BDS(iter_sampling=1000),mean,3,8,3,0,0.958627648839556,0.32786885245901637,5,70,157,533,686,67,30,11,29,25,26
adult,hybrid,BDS(iter_sampling=2000),mean,3,8,3,0,0.9384460141271443,0.0,2,0,0,533,0,769,0,0,30,0,27
adult,hybrid,BDS(iter_sampling=3000),mean,3,8,3,0,0.9384460141271443,0.0,2,3,11,0,0,0,27,11,0,0,0
