dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,biased_accuracy,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pih_4,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3,uc_pia_4
adult,hybrid,EMDS,mean,5,8,0,-1,0.9394550958627649,0.06557377049180328,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,GLAD,mean,5,8,0,-1,0.941473259334006,0.04918032786885246,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,OneCoinDS,mean,5,8,0,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,TwoStep-EM,mean,5,8,0,-1,0.9091826437941474,0.8688524590163934,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,BDS(iter_sampling=1000),mean,5,8,0,0,0.9384460141271443,0.0,2,6,57,0,0,0,33,14,0,0,0
adult,hybrid,BDS(iter_sampling=2000),mean,5,8,0,0,0.9737638748738647,0.5737704918032787,2,110,247,0,0,0,33,14,0,0,0
adult,hybrid,BDS(iter_sampling=3000),mean,5,8,0,0,0.9384460141271443,0.0,2,53,210,0,0,0,33,14,0,0,0
adult,hybrid,Two-Step-MCMC(iter_sampling=1000),mean,5,8,0,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,Two-Step-MCMC(iter_sampling=2000),mean,5,8,0,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,Two-Step-MCMC(iter_sampling=3000),mean,5,8,0,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,EMDS,mean,5,8,1,-1,0.9394550958627649,0.06557377049180328,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,GLAD,mean,5,8,1,-1,0.941473259334006,0.04918032786885246,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,OneCoinDS,mean,5,8,1,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,TwoStep-EM,mean,5,8,1,-1,0.9091826437941474,0.8688524590163934,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,BDS(iter_sampling=1000),mean,5,8,1,0,0.9697275479313825,0.5081967213114754,2,104,251,0,0,0,35,14,0,0,0
adult,hybrid,BDS(iter_sampling=2000),mean,5,8,1,0,0.9747729566094854,0.5901639344262295,4,106,248,916,0,1223,33,14,32,0,28
adult,hybrid,BDS(iter_sampling=3000),mean,5,8,1,0,0.9384460141271443,0.0,2,6,34,0,0,0,33,12,0,0,0
adult,hybrid,Two-Step-MCMC(iter_sampling=1000),mean,5,8,1,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,Two-Step-MCMC(iter_sampling=2000),mean,5,8,1,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,Two-Step-MCMC(iter_sampling=3000),mean,5,8,1,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
adult,hybrid,EMDS,mean,5,8,2,-1,0.9394550958627649,0.06557377049180328,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,GLAD,mean,5,8,2,-1,0.941473259334006,0.04918032786885246,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,OneCoinDS,mean,5,8,2,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hybrid,TwoStep-EM,mean,5,8,2,-1,0.9091826437941474,0.8688524590163934,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
