dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,recall,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3
dog,hetero,EMDS,-sigma,10,3,0,-1,0.8525402726146221,0.8895348837209303,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,GLAD,-sigma,10,3,0,-1,0.8488228004956629,0.8546511627906976,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,OneCoinDS,-sigma,10,3,0,-1,0.8351920693928129,0.8604651162790697,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,HSDS_EM,-sigma,10,3,0,-1,0.8475836431226765,0.8895348837209303,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,BDS(iter_sampling=1000),-sigma,10,3,0,1,0.8438661710037175,0.8895348837209303,0,0,0,0,0,0,0,0,0
dog,hetero,BDS(iter_sampling=2000),-sigma,10,3,0,0,0.8413878562577447,0.8895348837209303,3,1,235,239,5,0,9,10,1
dog,hetero,BDS(iter_sampling=3000),-sigma,10,3,0,0,0.8451053283767038,0.8837209302325582,3,241,3,243,4,7,0,8,1
dog,hetero,HSDS_MCMC(iter_sampling=1000),-sigma,10,3,0,1,0.8451053283767038,0.8895348837209303,0,0,0,0,0,0,0,0,0
dog,hetero,HSDS_MCMC(iter_sampling=2000),-sigma,10,3,0,1,0.8451053283767038,0.8895348837209303,0,0,0,0,0,0,0,0,0
dog,hetero,HSDS_MCMC(iter_sampling=3000),-sigma,10,3,0,1,0.8451053283767038,0.8895348837209303,0,0,0,0,0,0,0,0,0
dog,hetero,EMDS,-sigma,10,3,1,-1,0.8525402726146221,0.8895348837209303,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,GLAD,-sigma,10,3,1,-1,0.8488228004956629,0.8546511627906976,-1,-1,-1,-1,-1,-1,-1,-1,-1
