dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,recall,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3
dog,hetero,EMDS,mean,10,3,0,-1,0.9107806691449815,0.8953488372093024,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,GLAD,mean,10,3,0,-1,0.8810408921933085,0.8546511627906976,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,OneCoinDS,mean,10,3,0,-1,0.8798017348203222,0.8604651162790697,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,HSDS_EM,mean,10,3,0,-1,0.8698884758364313,0.8953488372093024,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,BDS(iter_sampling=1000),mean,10,3,0,0,0.909541511771995,0.8837209302325582,3,318,2,268,265,10,0,9,10
dog,hetero,BDS(iter_sampling=2000),mean,10,3,0,0,0.9182156133828996,0.8895348837209303,4,319,287,268,312,10,9,9,11
dog,hetero,BDS(iter_sampling=3000),mean,10,3,0,0,0.9083023543990086,0.8895348837209303,4,284,251,269,267,8,10,10,10
dog,hetero,HSDS_MCMC(iter_sampling=1000),mean,10,3,0,1,0.9083023543990086,0.8895348837209303,0,0,0,0,0,0,0,0,0
dog,hetero,HSDS_MCMC(iter_sampling=2000),mean,10,3,0,1,0.9083023543990086,0.8895348837209303,0,0,0,0,0,0,0,0,0
dog,hetero,HSDS_MCMC(iter_sampling=3000),mean,10,3,0,1,0.9083023543990086,0.8895348837209303,0,0,0,0,0,0,0,0,0
dog,hetero,EMDS,mean,10,3,1,-1,0.9107806691449815,0.8953488372093024,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,GLAD,mean,10,3,1,-1,0.8810408921933085,0.8546511627906976,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,OneCoinDS,mean,10,3,1,-1,0.8798017348203222,0.8604651162790697,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,HSDS_EM,mean,10,3,1,-1,0.8698884758364313,0.8953488372093024,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,BDS(iter_sampling=1000),mean,10,3,1,0,0.9033457249070632,0.8953488372093024,3,0,249,261,12,0,10,10,6
dog,hetero,BDS(iter_sampling=2000),mean,10,3,1,0,0.9083023543990086,0.8953488372093024,3,0,325,267,280,0,11,10,10
dog,hetero,BDS(iter_sampling=3000),mean,10,3,1,0,0.8909541511771994,0.8953488372093024,3,0,247,311,162,0,10,11,9
dog,hetero,HSDS_MCMC(iter_sampling=1000),mean,10,3,1,1,0.9083023543990086,0.8895348837209303,0,0,0,0,0,0,0,0,0
dog,hetero,HSDS_MCMC(iter_sampling=2000),mean,10,3,1,1,0.9083023543990086,0.8895348837209303,0,0,0,0,0,0,0,0,0
dog,hetero,HSDS_MCMC(iter_sampling=3000),mean,10,3,1,1,0.9083023543990086,0.8895348837209303,0,0,0,0,0,0,0,0,0
dog,hetero,EMDS,mean,10,3,2,-1,0.9107806691449815,0.8953488372093024,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,GLAD,mean,10,3,2,-1,0.8810408921933085,0.8546511627906976,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,OneCoinDS,mean,10,3,2,-1,0.8798017348203222,0.8604651162790697,-1,-1,-1,-1,-1,-1,-1,-1,-1
