dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,biased_accuracy,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3
dog,hetero,EMDS,-sigma,5,3,0,-1,0.872366790582404,0.8604651162790697,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,GLAD,-sigma,5,3,0,-1,0.8475836431226765,0.7965116279069767,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,OneCoinDS,-sigma,5,3,0,-1,0.8327137546468402,0.7965116279069767,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,TwoStep-EM,-sigma,5,3,0,-1,0.8463444857496902,0.872093023255814,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,BDS(iter_sampling=1000),-sigma,5,3,0,1,0.8574969021065675,0.8488372093023255,0,0,0,0,0,0,0,0,0
dog,hetero,BDS(iter_sampling=2000),-sigma,5,3,0,1,0.8599752168525403,0.8488372093023255,0,0,0,0,0,0,0,0,0
dog,hetero,BDS(iter_sampling=3000),-sigma,5,3,0,1,0.8587360594795539,0.8488372093023255,0,0,0,0,0,0,0,0,0
dog,hetero,Two-Step-MCMC(iter_sampling=1000),-sigma,5,3,0,1,0.8574969021065675,0.8488372093023255,0,0,0,0,0,0,0,0,0
dog,hetero,Two-Step-MCMC(iter_sampling=2000),-sigma,5,3,0,1,0.8574969021065675,0.8488372093023255,0,0,0,0,0,0,0,0,0
dog,hetero,Two-Step-MCMC(iter_sampling=3000),-sigma,5,3,0,1,0.8574969021065675,0.8488372093023255,0,0,0,0,0,0,0,0,0
dog,hetero,EMDS,-sigma,5,3,1,-1,0.872366790582404,0.8604651162790697,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,GLAD,-sigma,5,3,1,-1,0.8475836431226765,0.7965116279069767,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,OneCoinDS,-sigma,5,3,1,-1,0.8327137546468402,0.7965116279069767,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,TwoStep-EM,-sigma,5,3,1,-1,0.8463444857496902,0.872093023255814,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hetero,BDS(iter_sampling=1000),-sigma,5,3,1,1,0.8574969021065675,0.8488372093023255,0,0,0,0,0,0,0,0,0
dog,hetero,BDS(iter_sampling=2000),-sigma,5,3,1,1,0.8574969021065675,0.8488372093023255,0,0,0,0,0,0,0,0,0
dog,hetero,BDS(iter_sampling=3000),-sigma,5,3,1,1,0.8574969021065675,0.8488372093023255,0,0,0,0,0,0,0,0,0
dog,hetero,Two-Step-MCMC(iter_sampling=1000),-sigma,5,3,1,1,0.8587360594795539,0.8488372093023255,0,0,0,0,0,0,0,0,0
