dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,biased_accuracy,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3
dog,homo,EMDS,mean,10,3,0,-1,0.8983890954151177,0.8837209302325582,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,GLAD,mean,10,3,0,-1,0.8661710037174721,0.7790697674418605,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,OneCoinDS,mean,10,3,0,-1,0.8636926889714994,0.7965116279069767,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,TwoStep-EM,mean,10,3,0,-1,0.862453531598513,0.877906976744186,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,BDS(iter_sampling=1000),mean,10,3,0,0,0.8810408921933085,0.877906976744186,4,290,248,252,265,9,10,10,10
dog,homo,BDS(iter_sampling=2000),mean,10,3,0,0,0.8798017348203222,0.877906976744186,4,245,4,252,3,10,0,11,6
dog,homo,BDS(iter_sampling=3000),mean,10,3,0,0,0.8649318463444857,0.8546511627906976,4,258,10,269,9,10,0,11,6
dog,homo,Two-Step-MCMC(iter_sampling=1000),mean,10,3,0,1,0.8810408921933085,0.877906976744186,0,0,0,0,0,0,0,0,0
dog,homo,Two-Step-MCMC(iter_sampling=2000),mean,10,3,0,1,0.8810408921933085,0.877906976744186,0,0,0,0,0,0,0,0,0
dog,homo,Two-Step-MCMC(iter_sampling=3000),mean,10,3,0,1,0.8810408921933085,0.877906976744186,0,0,0,0,0,0,0,0,0
dog,homo,EMDS,mean,10,3,1,-1,0.8983890954151177,0.8837209302325582,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,GLAD,mean,10,3,1,-1,0.8661710037174721,0.7790697674418605,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,OneCoinDS,mean,10,3,1,-1,0.8636926889714994,0.7965116279069767,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,TwoStep-EM,mean,10,3,1,-1,0.862453531598513,0.877906976744186,-1,-1,-1,-1,-1,-1,-1,-1,-1
