dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,biased_accuracy,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3
dog,homo,EMDS,max,5,3,0,-1,0.9256505576208178,0.8023255813953488,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,GLAD,max,5,3,0,-1,0.7868649318463445,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,OneCoinDS,max,5,3,0,-1,0.7868649318463445,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,TwoStep-EM,max,5,3,0,-1,0.909541511771995,0.8313953488372093,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,BDS(iter_sampling=1000),max,5,3,0,0,0.919454770755886,0.8081395348837209,3,68,273,276,0,12,6,6,0
dog,homo,BDS(iter_sampling=2000),max,5,3,0,0,0.6381660470879802,0.8372093023255814,4,67,255,308,307,12,6,9,9
dog,homo,BDS(iter_sampling=3000),max,5,3,0,0,0.9157372986369269,0.813953488372093,2,54,124,0,0,12,3,0,0
dog,homo,Two-Step-MCMC(iter_sampling=1000),max,5,3,0,1,0.9157372986369269,0.8372093023255814,0,0,0,0,0,0,0,0,0
dog,homo,Two-Step-MCMC(iter_sampling=2000),max,5,3,0,1,0.9157372986369269,0.8372093023255814,0,0,0,0,0,0,0,0,0
dog,homo,Two-Step-MCMC(iter_sampling=3000),max,5,3,0,1,0.9157372986369269,0.8372093023255814,0,0,0,0,0,0,0,0,0
dog,homo,EMDS,max,5,3,1,-1,0.9256505576208178,0.8023255813953488,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,GLAD,max,5,3,1,-1,0.7868649318463445,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,OneCoinDS,max,5,3,1,-1,0.7868649318463445,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,TwoStep-EM,max,5,3,1,-1,0.909541511771995,0.8313953488372093,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,BDS(iter_sampling=1000),max,5,3,1,0,0.9157372986369269,0.813953488372093,2,56,123,0,0,12,3,0,0
dog,homo,BDS(iter_sampling=2000),max,5,3,1,0,0.919454770755886,0.8081395348837209,3,66,274,274,0,12,6,6,0
dog,homo,BDS(iter_sampling=3000),max,5,3,1,0,0.7868649318463445,0.0,3,0,296,274,277,0,9,6,6
dog,homo,Two-Step-MCMC(iter_sampling=1000),max,5,3,1,1,0.9157372986369269,0.8372093023255814,0,0,0,0,0,0,0,0,0
dog,homo,Two-Step-MCMC(iter_sampling=2000),max,5,3,1,1,0.9157372986369269,0.8372093023255814,0,0,0,0,0,0,0,0,0
dog,homo,Two-Step-MCMC(iter_sampling=3000),max,5,3,1,1,0.9157372986369269,0.8372093023255814,0,0,0,0,0,0,0,0,0
dog,homo,EMDS,max,5,3,2,-1,0.9256505576208178,0.8023255813953488,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,GLAD,max,5,3,2,-1,0.7868649318463445,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,OneCoinDS,max,5,3,2,-1,0.7868649318463445,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,TwoStep-EM,max,5,3,2,-1,0.909541511771995,0.8313953488372093,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,BDS(iter_sampling=1000),max,5,3,2,0,0.919454770755886,0.8081395348837209,3,66,276,0,280,12,6,0,6
dog,homo,BDS(iter_sampling=2000),max,5,3,2,0,0.9157372986369269,0.813953488372093,2,55,124,0,0,12,3,0,0
dog,homo,BDS(iter_sampling=3000),max,5,3,2,0,0.9157372986369269,0.8372093023255814,3,55,232,276,0,12,6,6,0
dog,homo,Two-Step-MCMC(iter_sampling=1000),max,5,3,2,1,0.9157372986369269,0.8372093023255814,0,0,0,0,0,0,0,0,0
dog,homo,Two-Step-MCMC(iter_sampling=2000),max,5,3,2,1,0.9157372986369269,0.8372093023255814,0,0,0,0,0,0,0,0,0
dog,homo,Two-Step-MCMC(iter_sampling=3000),max,5,3,2,1,0.9157372986369269,0.8372093023255814,0,0,0,0,0,0,0,0,0
dog,homo,EMDS,max,5,3,3,-1,0.9256505576208178,0.8023255813953488,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,GLAD,max,5,3,3,-1,0.7868649318463445,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,OneCoinDS,max,5,3,3,-1,0.7868649318463445,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,TwoStep-EM,max,5,3,3,-1,0.909541511771995,0.8313953488372093,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,BDS(iter_sampling=1000),max,5,3,3,0,0.9157372986369269,0.813953488372093,2,56,124,0,0,12,3,0,0
dog,homo,BDS(iter_sampling=2000),max,5,3,3,0,0.9157372986369269,0.8372093023255814,4,56,229,276,124,12,6,6,6
dog,homo,BDS(iter_sampling=3000),max,5,3,3,0,0.9157372986369269,0.813953488372093,4,56,124,132,126,12,3,6,6
dog,homo,Two-Step-MCMC(iter_sampling=1000),max,5,3,3,1,0.9157372986369269,0.8372093023255814,0,0,0,0,0,0,0,0,0
dog,homo,Two-Step-MCMC(iter_sampling=2000),max,5,3,3,1,0.9157372986369269,0.8372093023255814,0,0,0,0,0,0,0,0,0
dog,homo,Two-Step-MCMC(iter_sampling=3000),max,5,3,3,1,0.9157372986369269,0.8372093023255814,0,0,0,0,0,0,0,0,0
dog,homo,EMDS,max,5,3,4,-1,0.9256505576208178,0.8023255813953488,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,GLAD,max,5,3,4,-1,0.7868649318463445,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,OneCoinDS,max,5,3,4,-1,0.7868649318463445,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,TwoStep-EM,max,5,3,4,-1,0.909541511771995,0.8313953488372093,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,BDS(iter_sampling=1000),max,5,3,4,0,0.8203221809169765,0.1686046511627907,2,67,139,0,0,12,3,0,0
dog,homo,BDS(iter_sampling=2000),max,5,3,4,0,0.5576208178438662,0.0,3,0,296,293,278,0,9,6,6
dog,homo,BDS(iter_sampling=3000),max,5,3,4,0,0.8215613382899628,0.1744186046511628,2,65,137,0,0,12,3,0,0
dog,homo,Two-Step-MCMC(iter_sampling=1000),max,5,3,4,1,0.9157372986369269,0.8372093023255814,0,0,0,0,0,0,0,0,0
dog,homo,Two-Step-MCMC(iter_sampling=2000),max,5,3,4,1,0.9157372986369269,0.8372093023255814,0,0,0,0,0,0,0,0,0
dog,homo,Two-Step-MCMC(iter_sampling=3000),max,5,3,4,1,0.9157372986369269,0.8372093023255814,0,0,0,0,0,0,0,0,0
