dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,recall,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3
dog,hybrid,EMDS,max,3,6,0,-1,0.9677819083023544,0.8488372093023255,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,GLAD,max,3,6,0,-1,0.7868649318463445,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,OneCoinDS,max,3,6,0,-1,0.7868649318463445,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,HSDS_EM,max,3,6,0,-1,0.9913258983890955,0.9593023255813954,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,BDS(iter_sampling=1000),max,3,6,0,0,0.7868649318463445,0.0,3,214,0,208,215,24,0,10,16
dog,hybrid,BDS(iter_sampling=2000),max,3,6,0,0,1.0,1.0,2,185,0,0,180,10,0,0,10
dog,hybrid,BDS(iter_sampling=3000),max,3,6,0,0,0.7868649318463445,0.0,4,211,189,210,250,24,12,16,18
dog,hybrid,HSDS_MCMC(iter_sampling=1000),max,3,6,0,1,1.0,1.0,0,0,0,0,0,0,0,0,0
dog,hybrid,HSDS_MCMC(iter_sampling=2000),max,3,6,0,1,1.0,1.0,0,0,0,0,0,0,0,0,0
dog,hybrid,HSDS_MCMC(iter_sampling=3000),max,3,6,0,1,1.0,1.0,0,0,0,0,0,0,0,0,0
dog,hybrid,EMDS,max,3,6,1,-1,0.9677819083023544,0.8488372093023255,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,GLAD,max,3,6,1,-1,0.7868649318463445,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,OneCoinDS,max,3,6,1,-1,0.7868649318463445,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,HSDS_EM,max,3,6,1,-1,0.9913258983890955,0.9593023255813954,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,BDS(iter_sampling=1000),max,3,6,1,0,0.7868649318463445,0.0,2,27,88,0,0,24,8,0,0
dog,hybrid,BDS(iter_sampling=2000),max,3,6,1,0,0.2874845105328377,0.0,4,138,195,245,226,24,12,18,13
dog,hybrid,BDS(iter_sampling=3000),max,3,6,1,0,0.9653035935563816,0.8372093023255814,4,189,195,111,233,24,12,12,13
dog,hybrid,HSDS_MCMC(iter_sampling=1000),max,3,6,1,1,1.0,1.0,0,0,0,0,0,0,0,0,0
dog,hybrid,HSDS_MCMC(iter_sampling=2000),max,3,6,1,1,1.0,1.0,0,0,0,0,0,0,0,0,0
dog,hybrid,HSDS_MCMC(iter_sampling=3000),max,3,6,1,1,1.0,1.0,0,0,0,0,0,0,0,0,0
dog,hybrid,EMDS,max,3,6,2,-1,0.9677819083023544,0.8488372093023255,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,GLAD,max,3,6,2,-1,0.7868649318463445,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,OneCoinDS,max,3,6,2,-1,0.7868649318463445,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,HSDS_EM,max,3,6,2,-1,0.9913258983890955,0.9593023255813954,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,BDS(iter_sampling=1000),max,3,6,2,0,0.7868649318463445,0.0,4,133,222,224,180,24,13,13,10
dog,hybrid,BDS(iter_sampling=2000),max,3,6,2,0,0.4423791821561338,1.0,3,225,0,219,214,16,0,16,16
dog,hybrid,BDS(iter_sampling=3000),max,3,6,2,0,0.7942998760842627,0.03488372093023256,2,48,98,0,0,24,8,0,0
dog,hybrid,HSDS_MCMC(iter_sampling=1000),max,3,6,2,1,1.0,1.0,0,0,0,0,0,0,0,0,0
