dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,biased_accuracy,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3
dog,hybrid,EMDS,max,5,6,0,-1,0.9851301115241635,0.9302325581395349,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,GLAD,max,5,6,0,-1,0.7868649318463445,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,OneCoinDS,max,5,6,0,-1,0.7868649318463445,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,TwoStep-EM,max,5,6,0,-1,0.9690210656753407,0.9186046511627907,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,BDS(iter_sampling=1000),max,5,6,0,0,0.7868649318463445,0.0,3,218,127,223,0,24,8,10,0
dog,hybrid,BDS(iter_sampling=2000),max,5,6,0,0,0.9789343246592317,0.9011627906976745,3,67,274,0,274,24,13,0,13
dog,hybrid,BDS(iter_sampling=3000),max,5,6,0,0,0.7868649318463445,0.0,4,174,278,276,264,24,13,13,16
dog,hybrid,Two-Step-MCMC(iter_sampling=1000),max,5,6,0,1,0.9814126394052045,0.9127906976744186,0,0,0,0,0,0,0,0,0
dog,hybrid,Two-Step-MCMC(iter_sampling=2000),max,5,6,0,1,0.9814126394052045,0.9127906976744186,0,0,0,0,0,0,0,0,0
dog,hybrid,Two-Step-MCMC(iter_sampling=3000),max,5,6,0,1,0.9814126394052045,0.9127906976744186,0,0,0,0,0,0,0,0,0
dog,hybrid,EMDS,max,5,6,1,-1,0.9851301115241635,0.9302325581395349,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,GLAD,max,5,6,1,-1,0.7868649318463445,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,OneCoinDS,max,5,6,1,-1,0.7868649318463445,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,TwoStep-EM,max,5,6,1,-1,0.9690210656753407,0.9186046511627907,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,BDS(iter_sampling=1000),max,5,6,1,0,0.42131350681536556,0.9011627906976745,4,232,269,281,272,24,13,18,16
dog,hybrid,BDS(iter_sampling=2000),max,5,6,1,0,0.7930607187112764,0.029069767441860465,2,68,128,0,0,24,8,0,0
dog,hybrid,BDS(iter_sampling=3000),max,5,6,1,0,0.7868649318463445,0.0,4,214,111,119,238,24,4,12,10
dog,hybrid,Two-Step-MCMC(iter_sampling=1000),max,5,6,1,1,0.9814126394052045,0.9127906976744186,0,0,0,0,0,0,0,0,0
dog,hybrid,Two-Step-MCMC(iter_sampling=2000),max,5,6,1,1,0.9814126394052045,0.9127906976744186,0,0,0,0,0,0,0,0,0
dog,hybrid,Two-Step-MCMC(iter_sampling=3000),max,5,6,1,1,0.9814126394052045,0.9127906976744186,0,0,0,0,0,0,0,0,0
dog,hybrid,EMDS,max,5,6,2,-1,0.9851301115241635,0.9302325581395349,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,GLAD,max,5,6,2,-1,0.7868649318463445,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,OneCoinDS,max,5,6,2,-1,0.7868649318463445,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,TwoStep-EM,max,5,6,2,-1,0.9690210656753407,0.9186046511627907,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,BDS(iter_sampling=1000),max,5,6,2,0,0.976456009913259,0.8895348837209303,3,231,112,0,224,24,4,0,10
dog,hybrid,BDS(iter_sampling=2000),max,5,6,2,0,0.7868649318463445,0.0,4,214,127,223,124,24,8,10,12
dog,hybrid,BDS(iter_sampling=3000),max,5,6,2,0,0.7967781908302355,0.046511627906976744,4,44,310,303,306,24,18,18,18
dog,hybrid,Two-Step-MCMC(iter_sampling=1000),max,5,6,2,1,0.9814126394052045,0.9127906976744186,0,0,0,0,0,0,0,0,0
dog,hybrid,Two-Step-MCMC(iter_sampling=2000),max,5,6,2,1,0.9814126394052045,0.9127906976744186,0,0,0,0,0,0,0,0,0
dog,hybrid,Two-Step-MCMC(iter_sampling=3000),max,5,6,2,1,0.9814126394052045,0.9127906976744186,0,0,0,0,0,0,0,0,0
dog,hybrid,EMDS,max,5,6,3,-1,0.9851301115241635,0.9302325581395349,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,GLAD,max,5,6,3,-1,0.7868649318463445,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,OneCoinDS,max,5,6,3,-1,0.7868649318463445,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,TwoStep-EM,max,5,6,3,-1,0.9690210656753407,0.9186046511627907,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,BDS(iter_sampling=1000),max,5,6,3,0,0.516728624535316,0.0,4,250,272,296,263,24,13,18,16
dog,hybrid,BDS(iter_sampling=2000),max,5,6,3,0,0.9801734820322181,0.9069767441860465,3,233,0,222,125,17,0,10,12
dog,hybrid,BDS(iter_sampling=3000),max,5,6,3,0,0.516728624535316,0.0,3,243,244,272,0,24,13,13,0
dog,hybrid,Two-Step-MCMC(iter_sampling=1000),max,5,6,3,1,0.9814126394052045,0.9127906976744186,0,0,0,0,0,0,0,0,0
dog,hybrid,Two-Step-MCMC(iter_sampling=2000),max,5,6,3,1,0.9814126394052045,0.9127906976744186,0,0,0,0,0,0,0,0,0
dog,hybrid,Two-Step-MCMC(iter_sampling=3000),max,5,6,3,1,0.9814126394052045,0.9127906976744186,0,0,0,0,0,0,0,0,0
dog,hybrid,EMDS,max,5,6,4,-1,0.9851301115241635,0.9302325581395349,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,GLAD,max,5,6,4,-1,0.7868649318463445,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,OneCoinDS,max,5,6,4,-1,0.7868649318463445,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,TwoStep-EM,max,5,6,4,-1,0.9690210656753407,0.9186046511627907,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,BDS(iter_sampling=1000),max,5,6,4,0,0.9801734820322181,0.9069767441860465,4,231,249,305,265,24,13,18,16
dog,hybrid,BDS(iter_sampling=2000),max,5,6,4,0,0.9789343246592317,0.9011627906976745,4,282,251,222,266,24,13,10,13
dog,hybrid,BDS(iter_sampling=3000),max,5,6,4,0,0.7050805452292441,0.9011627906976745,4,67,272,268,276,24,13,16,18
dog,hybrid,Two-Step-MCMC(iter_sampling=1000),max,5,6,4,1,0.9814126394052045,0.9127906976744186,0,0,0,0,0,0,0,0,0
dog,hybrid,Two-Step-MCMC(iter_sampling=2000),max,5,6,4,1,0.9814126394052045,0.9127906976744186,0,0,0,0,0,0,0,0,0
dog,hybrid,Two-Step-MCMC(iter_sampling=3000),max,5,6,4,1,0.9814126394052045,0.9127906976744186,0,0,0,0,0,0,0,0,0
dog,hybrid,EMDS,max,5,12,0,-1,0.9975216852540273,0.9883720930232558,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,GLAD,max,5,12,0,-1,0.7868649318463445,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,OneCoinDS,max,5,12,0,-1,0.7868649318463445,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,TwoStep-EM,max,5,12,0,-1,0.9913258983890955,0.9651162790697675,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,BDS(iter_sampling=1000),max,5,12,0,0,1.0,1.0,4,73,272,303,125,48,26,36,24
dog,hybrid,BDS(iter_sampling=2000),max,5,12,0,0,0.7868649318463445,0.0,4,223,243,258,305,48,24,20,36
dog,hybrid,BDS(iter_sampling=3000),max,5,12,0,0,1.0,1.0,3,239,107,0,235,48,11,0,20
dog,hybrid,Two-Step-MCMC(iter_sampling=1000),max,5,12,0,1,1.0,1.0,0,0,0,0,0,0,0,0,0
dog,hybrid,Two-Step-MCMC(iter_sampling=2000),max,5,12,0,1,1.0,1.0,0,0,0,0,0,0,0,0,0
dog,hybrid,Two-Step-MCMC(iter_sampling=3000),max,5,12,0,1,1.0,1.0,0,0,0,0,0,0,0,0,0
dog,hybrid,EMDS,max,5,12,1,-1,0.9975216852540273,0.9883720930232558,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,GLAD,max,5,12,1,-1,0.7868649318463445,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,OneCoinDS,max,5,12,1,-1,0.7868649318463445,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,TwoStep-EM,max,5,12,1,-1,0.9913258983890955,0.9651162790697675,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,BDS(iter_sampling=1000),max,5,12,1,0,1.0,1.0,4,246,245,277,268,20,24,36,32
dog,hybrid,BDS(iter_sampling=2000),max,5,12,1,0,0.5675340768277571,0.0,4,221,289,284,270,48,26,26,36
dog,hybrid,BDS(iter_sampling=3000),max,5,12,1,0,0.4993804213135068,0.0,4,219,246,137,288,48,24,24,36
dog,hybrid,Two-Step-MCMC(iter_sampling=1000),max,5,12,1,1,1.0,1.0,0,0,0,0,0,0,0,0,0
dog,hybrid,Two-Step-MCMC(iter_sampling=2000),max,5,12,1,1,1.0,1.0,0,0,0,0,0,0,0,0,0
dog,hybrid,Two-Step-MCMC(iter_sampling=3000),max,5,12,1,0,1.0,1.0,2,58,108,0,0,48,12,0,0
dog,hybrid,EMDS,max,5,12,2,-1,0.9975216852540273,0.9883720930232558,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,GLAD,max,5,12,2,-1,0.7868649318463445,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,OneCoinDS,max,5,12,2,-1,0.7868649318463445,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,TwoStep-EM,max,5,12,2,-1,0.9913258983890955,0.9651162790697675,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,BDS(iter_sampling=1000),max,5,12,2,0,0.516728624535316,0.0,4,240,129,274,149,48,15,26,24
dog,hybrid,BDS(iter_sampling=2000),max,5,12,2,0,1.0,1.0,4,243,107,130,273,48,11,24,32
dog,hybrid,BDS(iter_sampling=3000),max,5,12,2,0,0.7868649318463445,0.0,2,48,109,0,0,48,16,0,0
dog,hybrid,Two-Step-MCMC(iter_sampling=1000),max,5,12,2,1,1.0,1.0,0,0,0,0,0,0,0,0,0
dog,hybrid,Two-Step-MCMC(iter_sampling=2000),max,5,12,2,1,1.0,1.0,0,0,0,0,0,0,0,0,0
dog,hybrid,Two-Step-MCMC(iter_sampling=3000),max,5,12,2,1,1.0,1.0,0,0,0,0,0,0,0,0,0
dog,hybrid,EMDS,max,5,12,3,-1,0.9975216852540273,0.9883720930232558,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,GLAD,max,5,12,3,-1,0.7868649318463445,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,OneCoinDS,max,5,12,3,-1,0.7868649318463445,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,TwoStep-EM,max,5,12,3,-1,0.9913258983890955,0.9651162790697675,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,BDS(iter_sampling=1000),max,5,12,3,0,0.2701363073110285,0.0,4,49,290,131,282,48,36,24,26
dog,hybrid,BDS(iter_sampling=2000),max,5,12,3,0,0.4993804213135068,0.0,4,214,279,236,311,48,26,20,36
dog,hybrid,BDS(iter_sampling=3000),max,5,12,3,0,0.7868649318463445,0.0,3,0,279,300,272,0,26,36,32
dog,hybrid,Two-Step-MCMC(iter_sampling=1000),max,5,12,3,1,1.0,1.0,0,0,0,0,0,0,0,0,0
dog,hybrid,Two-Step-MCMC(iter_sampling=2000),max,5,12,3,1,1.0,1.0,0,0,0,0,0,0,0,0,0
dog,hybrid,Two-Step-MCMC(iter_sampling=3000),max,5,12,3,1,1.0,1.0,0,0,0,0,0,0,0,0,0
dog,hybrid,EMDS,max,5,12,4,-1,0.9975216852540273,0.9883720930232558,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,GLAD,max,5,12,4,-1,0.7868649318463445,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,OneCoinDS,max,5,12,4,-1,0.7868649318463445,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,TwoStep-EM,max,5,12,4,-1,0.9913258983890955,0.9651162790697675,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,BDS(iter_sampling=1000),max,5,12,4,0,0.7695167286245354,0.0,4,254,245,278,250,48,24,26,20
dog,hybrid,BDS(iter_sampling=2000),max,5,12,4,0,0.7868649318463445,0.0,4,183,279,305,273,48,26,36,32
dog,hybrid,BDS(iter_sampling=3000),max,5,12,4,0,0.7868649318463445,0.0,4,217,275,132,287,48,26,24,26
dog,hybrid,Two-Step-MCMC(iter_sampling=1000),max,5,12,4,1,1.0,1.0,0,0,0,0,0,0,0,0,0
dog,hybrid,Two-Step-MCMC(iter_sampling=2000),max,5,12,4,1,1.0,1.0,0,0,0,0,0,0,0,0,0
dog,hybrid,Two-Step-MCMC(iter_sampling=3000),max,5,12,4,1,1.0,1.0,0,0,0,0,0,0,0,0,0
dog,hybrid,EMDS,max,5,18,0,-1,0.9987608426270136,0.9941860465116279,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,GLAD,max,5,18,0,-1,0.7868649318463445,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,OneCoinDS,max,5,18,0,-1,0.7868649318463445,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,TwoStep-EM,max,5,18,0,-1,0.9467162329615861,0.7674418604651163,-1,-1,-1,-1,-1,-1,-1,-1,-1
