dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,recall,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3
dog,hybrid,EMDS,mean,5,6,0,-1,0.9739776951672863,0.8895348837209303,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,GLAD,mean,5,6,0,-1,0.8104089219330854,0.11627906976744186,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,OneCoinDS,mean,5,6,0,-1,0.7868649318463445,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,HSDS_EM,mean,5,6,0,-1,0.9591078066914498,0.9127906976744186,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,BDS(iter_sampling=1000),mean,5,6,0,0,0.9690210656753407,0.8662790697674418,3,233,118,216,0,24,6,16,0
dog,hybrid,BDS(iter_sampling=2000),mean,5,6,0,0,0.7868649318463445,0.0,4,173,309,245,240,20,22,21,16
dog,hybrid,BDS(iter_sampling=3000),mean,5,6,0,0,0.8215613382899628,0.16279069767441862,3,72,280,0,210,24,17,0,15
dog,hybrid,HSDS_MCMC(iter_sampling=1000),mean,5,6,0,1,0.9628252788104089,0.9011627906976745,0,0,0,0,0,0,0,0,0
dog,hybrid,HSDS_MCMC(iter_sampling=2000),mean,5,6,0,1,0.9628252788104089,0.9011627906976745,0,0,0,0,0,0,0,0,0
dog,hybrid,HSDS_MCMC(iter_sampling=3000),mean,5,6,0,1,0.9628252788104089,0.9011627906976745,0,0,0,0,0,0,0,0,0
dog,hybrid,EMDS,mean,5,6,1,-1,0.9739776951672863,0.8895348837209303,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,GLAD,mean,5,6,1,-1,0.8104089219330854,0.11627906976744186,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,OneCoinDS,mean,5,6,1,-1,0.7868649318463445,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,HSDS_EM,mean,5,6,1,-1,0.9591078066914498,0.9127906976744186,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,BDS(iter_sampling=1000),mean,5,6,1,0,0.9628252788104089,0.9011627906976745,4,65,280,303,303,24,24,23,23
dog,hybrid,BDS(iter_sampling=2000),mean,5,6,1,1,0.9628252788104089,0.9011627906976745,0,0,0,0,0,0,0,0,0
dog,hybrid,BDS(iter_sampling=3000),mean,5,6,1,0,0.9653035935563816,0.9011627906976745,2,53,119,0,0,24,5,0,0
dog,hybrid,HSDS_MCMC(iter_sampling=1000),mean,5,6,1,1,0.9628252788104089,0.9011627906976745,0,0,0,0,0,0,0,0,0
dog,hybrid,HSDS_MCMC(iter_sampling=2000),mean,5,6,1,1,0.9628252788104089,0.9011627906976745,0,0,0,0,0,0,0,0,0
dog,hybrid,HSDS_MCMC(iter_sampling=3000),mean,5,6,1,1,0.9628252788104089,0.9011627906976745,0,0,0,0,0,0,0,0,0
dog,hybrid,EMDS,mean,5,6,2,-1,0.9739776951672863,0.8895348837209303,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,GLAD,mean,5,6,2,-1,0.8104089219330854,0.11627906976744186,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,OneCoinDS,mean,5,6,2,-1,0.7868649318463445,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,HSDS_EM,mean,5,6,2,-1,0.9591078066914498,0.9127906976744186,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,BDS(iter_sampling=1000),mean,5,6,2,0,0.7868649318463445,0.0,4,242,119,130,234,24,5,19,18
dog,hybrid,BDS(iter_sampling=2000),mean,5,6,2,0,0.7620817843866171,0.0,2,0,272,293,0,0,20,20,0
dog,hybrid,BDS(iter_sampling=3000),mean,5,6,2,0,0.7732342007434945,0.040697674418604654,4,214,272,253,306,24,18,23,23
dog,hybrid,HSDS_MCMC(iter_sampling=1000),mean,5,6,2,1,0.9628252788104089,0.9011627906976745,0,0,0,0,0,0,0,0,0
dog,hybrid,HSDS_MCMC(iter_sampling=2000),mean,5,6,2,1,0.9628252788104089,0.9011627906976745,0,0,0,0,0,0,0,0,0
dog,hybrid,HSDS_MCMC(iter_sampling=3000),mean,5,6,2,1,0.9628252788104089,0.9011627906976745,0,0,0,0,0,0,0,0,0
dog,hybrid,EMDS,mean,5,6,3,-1,0.9739776951672863,0.8895348837209303,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,GLAD,mean,5,6,3,-1,0.8104089219330854,0.11627906976744186,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,OneCoinDS,mean,5,6,3,-1,0.7868649318463445,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,HSDS_EM,mean,5,6,3,-1,0.9591078066914498,0.9127906976744186,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,BDS(iter_sampling=1000),mean,5,6,3,0,0.7868649318463445,0.0,4,43,121,132,124,17,6,19,19
dog,hybrid,BDS(iter_sampling=2000),mean,5,6,3,0,0.7806691449814126,0.029069767441860465,4,218,116,275,250,23,6,23,23
dog,hybrid,BDS(iter_sampling=3000),mean,5,6,3,0,0.9714993804213135,0.872093023255814,4,232,118,130,212,24,5,19,16
dog,hybrid,HSDS_MCMC(iter_sampling=1000),mean,5,6,3,1,0.9628252788104089,0.9011627906976745,0,0,0,0,0,0,0,0,0
dog,hybrid,HSDS_MCMC(iter_sampling=2000),mean,5,6,3,1,0.9628252788104089,0.9011627906976745,0,0,0,0,0,0,0,0,0
dog,hybrid,HSDS_MCMC(iter_sampling=3000),mean,5,6,3,1,0.9628252788104089,0.9011627906976745,0,0,0,0,0,0,0,0,0
dog,hybrid,EMDS,mean,5,6,4,-1,0.9739776951672863,0.8895348837209303,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,GLAD,mean,5,6,4,-1,0.8104089219330854,0.11627906976744186,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,OneCoinDS,mean,5,6,4,-1,0.7868649318463445,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,HSDS_EM,mean,5,6,4,-1,0.9591078066914498,0.9127906976744186,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,BDS(iter_sampling=1000),mean,5,6,4,0,0.9628252788104089,0.9011627906976745,4,74,309,284,124,24,24,21,19
dog,hybrid,BDS(iter_sampling=2000),mean,5,6,4,0,0.9553903345724907,0.8023255813953488,2,62,130,0,0,24,6,0,0
dog,hybrid,BDS(iter_sampling=3000),mean,5,6,4,0,0.9628252788104089,0.9011627906976745,4,65,284,276,277,24,24,19,18
dog,hybrid,HSDS_MCMC(iter_sampling=1000),mean,5,6,4,1,0.9628252788104089,0.9011627906976745,0,0,0,0,0,0,0,0,0
dog,hybrid,HSDS_MCMC(iter_sampling=2000),mean,5,6,4,1,0.9628252788104089,0.9011627906976745,0,0,0,0,0,0,0,0,0
dog,hybrid,HSDS_MCMC(iter_sampling=3000),mean,5,6,4,1,0.9628252788104089,0.9011627906976745,0,0,0,0,0,0,0,0,0
dog,hybrid,EMDS,mean,5,12,0,-1,0.9727385377942999,0.872093023255814,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,GLAD,mean,5,12,0,-1,0.7881040892193308,0.005813953488372093,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,OneCoinDS,mean,5,12,0,-1,0.7868649318463445,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,HSDS_EM,mean,5,12,0,-1,0.9863692688971499,0.9593023255813954,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,BDS(iter_sampling=1000),mean,5,12,0,0,0.7868649318463445,0.0,4,289,131,238,238,48,24,33,33
dog,hybrid,BDS(iter_sampling=2000),mean,5,12,0,0,0.7831474597273854,0.0,4,221,312,272,307,48,45,45,46
dog,hybrid,BDS(iter_sampling=3000),mean,5,12,0,0,0.2874845105328377,0.0,4,171,297,285,141,38,46,39,40
dog,hybrid,HSDS_MCMC(iter_sampling=1000),mean,5,12,0,1,0.9975216852540273,1.0,0,0,0,0,0,0,0,0,0
dog,hybrid,HSDS_MCMC(iter_sampling=2000),mean,5,12,0,1,0.9975216852540273,1.0,0,0,0,0,0,0,0,0,0
dog,hybrid,HSDS_MCMC(iter_sampling=3000),mean,5,12,0,1,0.9975216852540273,1.0,0,0,0,0,0,0,0,0,0
dog,hybrid,EMDS,mean,5,12,1,-1,0.9727385377942999,0.872093023255814,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,GLAD,mean,5,12,1,-1,0.7881040892193308,0.005813953488372093,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,OneCoinDS,mean,5,12,1,-1,0.7868649318463445,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,HSDS_EM,mean,5,12,1,-1,0.9863692688971499,0.9593023255813954,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,BDS(iter_sampling=1000),mean,5,12,1,0,0.7930607187112764,0.03488372093023256,4,224,270,273,268,48,37,44,39
dog,hybrid,BDS(iter_sampling=2000),mean,5,12,1,0,0.9467162329615861,0.7558139534883721,2,133,129,0,0,48,25,0,0
dog,hybrid,BDS(iter_sampling=3000),mean,5,12,1,0,0.7856257744733581,0.0,4,242,269,258,304,48,37,35,44
dog,hybrid,HSDS_MCMC(iter_sampling=1000),mean,5,12,1,1,0.9975216852540273,1.0,0,0,0,0,0,0,0,0,0
dog,hybrid,HSDS_MCMC(iter_sampling=2000),mean,5,12,1,1,0.9975216852540273,1.0,0,0,0,0,0,0,0,0,0
dog,hybrid,HSDS_MCMC(iter_sampling=3000),mean,5,12,1,1,0.9975216852540273,1.0,0,0,0,0,0,0,0,0,0
dog,hybrid,EMDS,mean,5,12,2,-1,0.9727385377942999,0.872093023255814,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,GLAD,mean,5,12,2,-1,0.7881040892193308,0.005813953488372093,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,OneCoinDS,mean,5,12,2,-1,0.7868649318463445,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,HSDS_EM,mean,5,12,2,-1,0.9863692688971499,0.9593023255813954,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,BDS(iter_sampling=1000),mean,5,12,2,0,0.7868649318463445,0.0,2,0,256,275,0,0,36,36,0
dog,hybrid,BDS(iter_sampling=2000),mean,5,12,2,0,0.7868649318463445,0.0,3,0,266,275,126,0,38,36,39
dog,hybrid,BDS(iter_sampling=3000),mean,5,12,2,0,0.9938042131350682,0.9767441860465116,2,267,0,0,251,35,0,0,33
dog,hybrid,HSDS_MCMC(iter_sampling=1000),mean,5,12,2,1,0.9975216852540273,1.0,0,0,0,0,0,0,0,0,0
dog,hybrid,HSDS_MCMC(iter_sampling=2000),mean,5,12,2,1,0.9975216852540273,1.0,0,0,0,0,0,0,0,0,0
dog,hybrid,HSDS_MCMC(iter_sampling=3000),mean,5,12,2,1,0.9975216852540273,1.0,0,0,0,0,0,0,0,0,0
dog,hybrid,EMDS,mean,5,12,3,-1,0.9727385377942999,0.872093023255814,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,GLAD,mean,5,12,3,-1,0.7881040892193308,0.005813953488372093,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,OneCoinDS,mean,5,12,3,-1,0.7868649318463445,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,HSDS_EM,mean,5,12,3,-1,0.9863692688971499,0.9593023255813954,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,BDS(iter_sampling=1000),mean,5,12,3,0,0.7868649318463445,0.0,2,50,111,0,0,36,12,0,0
dog,hybrid,BDS(iter_sampling=2000),mean,5,12,3,0,0.9987608426270136,1.0,2,243,0,0,234,34,0,0,33
dog,hybrid,BDS(iter_sampling=3000),mean,5,12,3,0,0.7868649318463445,0.0,3,183,262,289,0,41,37,40,0
dog,hybrid,HSDS_MCMC(iter_sampling=1000),mean,5,12,3,1,0.9975216852540273,1.0,0,0,0,0,0,0,0,0,0
dog,hybrid,HSDS_MCMC(iter_sampling=2000),mean,5,12,3,1,0.9975216852540273,1.0,0,0,0,0,0,0,0,0,0
dog,hybrid,HSDS_MCMC(iter_sampling=3000),mean,5,12,3,1,0.9975216852540273,1.0,0,0,0,0,0,0,0,0,0
dog,hybrid,EMDS,mean,5,12,4,-1,0.9727385377942999,0.872093023255814,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,hybrid,GLAD,mean,5,12,4,-1,0.7881040892193308,0.005813953488372093,-1,-1,-1,-1,-1,-1,-1,-1,-1
