dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,biased_accuracy,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3
face,hetero,EMDS,-sigma,3,3,0,-1,0.6763698630136986,0.9315068493150684,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,GLAD,-sigma,3,3,0,-1,0.6438356164383562,0.910958904109589,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,OneCoinDS,-sigma,3,3,0,-1,0.5856164383561644,0.958904109589041,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,TwoStep-EM,-sigma,3,3,0,-1,0.6352739726027398,0.9246575342465754,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,BDS(iter_sampling=1000),-sigma,3,3,0,1,0.613013698630137,0.9657534246575342,0,0,0,0,0,0,0,0,0
face,hetero,BDS(iter_sampling=2000),-sigma,3,3,0,1,0.613013698630137,0.9657534246575342,0,0,0,0,0,0,0,0,0
face,hetero,BDS(iter_sampling=3000),-sigma,3,3,0,1,0.613013698630137,0.9657534246575342,0,0,0,0,0,0,0,0,0
face,hetero,Two-Step-MCMC(iter_sampling=1000),-sigma,3,3,0,1,0.6113013698630136,0.9657534246575342,0,0,0,0,0,0,0,0,0
face,hetero,Two-Step-MCMC(iter_sampling=2000),-sigma,3,3,0,1,0.613013698630137,0.9657534246575342,0,0,0,0,0,0,0,0,0
face,hetero,Two-Step-MCMC(iter_sampling=3000),-sigma,3,3,0,1,0.613013698630137,0.9657534246575342,0,0,0,0,0,0,0,0,0
face,hetero,EMDS,-sigma,3,3,1,-1,0.6763698630136986,0.9315068493150684,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,GLAD,-sigma,3,3,1,-1,0.6438356164383562,0.910958904109589,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,OneCoinDS,-sigma,3,3,1,-1,0.5856164383561644,0.958904109589041,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,TwoStep-EM,-sigma,3,3,1,-1,0.6352739726027398,0.9246575342465754,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,BDS(iter_sampling=1000),-sigma,3,3,1,1,0.613013698630137,0.9657534246575342,0,0,0,0,0,0,0,0,0
face,hetero,BDS(iter_sampling=2000),-sigma,3,3,1,1,0.613013698630137,0.9657534246575342,0,0,0,0,0,0,0,0,0
face,hetero,BDS(iter_sampling=3000),-sigma,3,3,1,1,0.6113013698630136,0.9657534246575342,0,0,0,0,0,0,0,0,0
face,hetero,Two-Step-MCMC(iter_sampling=1000),-sigma,3,3,1,1,0.6113013698630136,0.9657534246575342,0,0,0,0,0,0,0,0,0
face,hetero,Two-Step-MCMC(iter_sampling=2000),-sigma,3,3,1,1,0.613013698630137,0.9657534246575342,0,0,0,0,0,0,0,0,0
face,hetero,Two-Step-MCMC(iter_sampling=3000),-sigma,3,3,1,1,0.613013698630137,0.9657534246575342,0,0,0,0,0,0,0,0,0
face,hetero,EMDS,-sigma,3,3,2,-1,0.6763698630136986,0.9315068493150684,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,GLAD,-sigma,3,3,2,-1,0.6438356164383562,0.910958904109589,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,OneCoinDS,-sigma,3,3,2,-1,0.5856164383561644,0.958904109589041,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,TwoStep-EM,-sigma,3,3,2,-1,0.6352739726027398,0.9246575342465754,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,BDS(iter_sampling=1000),-sigma,3,3,2,1,0.6113013698630136,0.9657534246575342,0,0,0,0,0,0,0,0,0
face,hetero,BDS(iter_sampling=2000),-sigma,3,3,2,1,0.613013698630137,0.9657534246575342,0,0,0,0,0,0,0,0,0
face,hetero,BDS(iter_sampling=3000),-sigma,3,3,2,1,0.613013698630137,0.9657534246575342,0,0,0,0,0,0,0,0,0
face,hetero,Two-Step-MCMC(iter_sampling=1000),-sigma,3,3,2,1,0.613013698630137,0.9657534246575342,0,0,0,0,0,0,0,0,0
face,hetero,Two-Step-MCMC(iter_sampling=2000),-sigma,3,3,2,1,0.613013698630137,0.9657534246575342,0,0,0,0,0,0,0,0,0
face,hetero,Two-Step-MCMC(iter_sampling=3000),-sigma,3,3,2,1,0.6113013698630136,0.9657534246575342,0,0,0,0,0,0,0,0,0
face,hetero,EMDS,-sigma,3,3,3,-1,0.6763698630136986,0.9315068493150684,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,GLAD,-sigma,3,3,3,-1,0.6438356164383562,0.910958904109589,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,OneCoinDS,-sigma,3,3,3,-1,0.5856164383561644,0.958904109589041,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,TwoStep-EM,-sigma,3,3,3,-1,0.6352739726027398,0.9246575342465754,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,BDS(iter_sampling=1000),-sigma,3,3,3,1,0.613013698630137,0.9657534246575342,0,0,0,0,0,0,0,0,0
face,hetero,BDS(iter_sampling=2000),-sigma,3,3,3,1,0.6113013698630136,0.9657534246575342,0,0,0,0,0,0,0,0,0
face,hetero,BDS(iter_sampling=3000),-sigma,3,3,3,1,0.613013698630137,0.9657534246575342,0,0,0,0,0,0,0,0,0
face,hetero,Two-Step-MCMC(iter_sampling=1000),-sigma,3,3,3,1,0.613013698630137,0.9657534246575342,0,0,0,0,0,0,0,0,0
face,hetero,Two-Step-MCMC(iter_sampling=2000),-sigma,3,3,3,1,0.613013698630137,0.9657534246575342,0,0,0,0,0,0,0,0,0
face,hetero,Two-Step-MCMC(iter_sampling=3000),-sigma,3,3,3,1,0.613013698630137,0.9657534246575342,0,0,0,0,0,0,0,0,0
face,hetero,EMDS,-sigma,3,3,4,-1,0.6763698630136986,0.9315068493150684,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,GLAD,-sigma,3,3,4,-1,0.6438356164383562,0.910958904109589,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,OneCoinDS,-sigma,3,3,4,-1,0.5856164383561644,0.958904109589041,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,TwoStep-EM,-sigma,3,3,4,-1,0.6352739726027398,0.9246575342465754,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,BDS(iter_sampling=1000),-sigma,3,3,4,1,0.613013698630137,0.9657534246575342,0,0,0,0,0,0,0,0,0
face,hetero,BDS(iter_sampling=2000),-sigma,3,3,4,1,0.613013698630137,0.9657534246575342,0,0,0,0,0,0,0,0,0
face,hetero,BDS(iter_sampling=3000),-sigma,3,3,4,1,0.613013698630137,0.9657534246575342,0,0,0,0,0,0,0,0,0
face,hetero,Two-Step-MCMC(iter_sampling=1000),-sigma,3,3,4,1,0.613013698630137,0.9657534246575342,0,0,0,0,0,0,0,0,0
face,hetero,Two-Step-MCMC(iter_sampling=2000),-sigma,3,3,4,1,0.613013698630137,0.9657534246575342,0,0,0,0,0,0,0,0,0
face,hetero,Two-Step-MCMC(iter_sampling=3000),-sigma,3,3,4,1,0.613013698630137,0.9657534246575342,0,0,0,0,0,0,0,0,0
face,hetero,EMDS,-sigma,3,6,0,-1,0.8065068493150684,0.8698630136986302,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,GLAD,-sigma,3,6,0,-1,0.684931506849315,0.8767123287671232,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,OneCoinDS,-sigma,3,6,0,-1,0.601027397260274,0.958904109589041,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,TwoStep-EM,-sigma,3,6,0,-1,0.6763698630136986,0.9041095890410958,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,BDS(iter_sampling=1000),-sigma,3,6,0,1,0.6438356164383562,0.9657534246575342,0,0,0,0,0,0,0,0,0
face,hetero,BDS(iter_sampling=2000),-sigma,3,6,0,0,0.6523972602739726,0.958904109589041,3,33,65,48,0,24,20,16,0
face,hetero,BDS(iter_sampling=3000),-sigma,3,6,0,1,0.6438356164383562,0.9657534246575342,0,0,0,0,0,0,0,0,0
face,hetero,Two-Step-MCMC(iter_sampling=1000),-sigma,3,6,0,1,0.6438356164383562,0.9657534246575342,0,0,0,0,0,0,0,0,0
face,hetero,Two-Step-MCMC(iter_sampling=2000),-sigma,3,6,0,1,0.6455479452054794,0.9657534246575342,0,0,0,0,0,0,0,0,0
face,hetero,Two-Step-MCMC(iter_sampling=3000),-sigma,3,6,0,1,0.6455479452054794,0.9657534246575342,0,0,0,0,0,0,0,0,0
face,hetero,EMDS,-sigma,3,6,1,-1,0.8065068493150684,0.8698630136986302,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,GLAD,-sigma,3,6,1,-1,0.684931506849315,0.8767123287671232,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,OneCoinDS,-sigma,3,6,1,-1,0.601027397260274,0.958904109589041,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,TwoStep-EM,-sigma,3,6,1,-1,0.6763698630136986,0.9041095890410958,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,BDS(iter_sampling=1000),-sigma,3,6,1,0,0.714041095890411,0.9452054794520548,4,59,56,14,46,24,16,0,19
face,hetero,BDS(iter_sampling=2000),-sigma,3,6,1,0,0.7106164383561644,0.9452054794520548,4,59,56,13,46,24,16,0,19
face,hetero,BDS(iter_sampling=3000),-sigma,3,6,1,0,0.6575342465753424,0.9657534246575342,4,50,41,41,70,17,13,9,22
face,hetero,Two-Step-MCMC(iter_sampling=1000),-sigma,3,6,1,1,0.6455479452054794,0.9657534246575342,0,0,0,0,0,0,0,0,0
face,hetero,Two-Step-MCMC(iter_sampling=2000),-sigma,3,6,1,1,0.6438356164383562,0.9657534246575342,0,0,0,0,0,0,0,0,0
face,hetero,Two-Step-MCMC(iter_sampling=3000),-sigma,3,6,1,1,0.6421232876712328,0.9657534246575342,0,0,0,0,0,0,0,0,0
face,hetero,EMDS,-sigma,3,6,2,-1,0.8065068493150684,0.8698630136986302,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,GLAD,-sigma,3,6,2,-1,0.684931506849315,0.8767123287671232,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,OneCoinDS,-sigma,3,6,2,-1,0.601027397260274,0.958904109589041,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,TwoStep-EM,-sigma,3,6,2,-1,0.6763698630136986,0.9041095890410958,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,BDS(iter_sampling=1000),-sigma,3,6,2,1,0.6438356164383562,0.9657534246575342,0,0,0,0,0,0,0,0,0
face,hetero,BDS(iter_sampling=2000),-sigma,3,6,2,0,0.6541095890410958,0.952054794520548,3,33,0,8,46,24,0,0,18
face,hetero,BDS(iter_sampling=3000),-sigma,3,6,2,0,0.6592465753424658,0.958904109589041,3,57,56,15,0,21,16,0,0
face,hetero,Two-Step-MCMC(iter_sampling=1000),-sigma,3,6,2,1,0.6455479452054794,0.9657534246575342,0,0,0,0,0,0,0,0,0
face,hetero,Two-Step-MCMC(iter_sampling=2000),-sigma,3,6,2,1,0.6455479452054794,0.9657534246575342,0,0,0,0,0,0,0,0,0
