dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,recall,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3
face,hetero,EMDS,max,5,3,0,-1,0.9417808219178082,0.9931506849315068,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,GLAD,max,5,3,0,-1,0.773972602739726,0.8561643835616438,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,OneCoinDS,max,5,3,0,-1,0.6592465753424658,0.9041095890410958,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,HSDS_EM,max,5,3,0,-1,0.7431506849315068,0.9657534246575342,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,BDS(iter_sampling=1000),max,5,3,0,0,0.9777397260273972,1.0,3,66,76,0,75,7,7,0,6
face,hetero,BDS(iter_sampling=2000),max,5,3,0,0,0.928082191780822,1.0,4,0,1,14,19,4,6,0,0
face,hetero,BDS(iter_sampling=3000),max,5,3,0,0,0.9143835616438356,1.0,4,25,87,74,76,12,9,6,6
face,hetero,HSDS_MCMC(iter_sampling=1000),max,5,3,0,0,0.9126712328767124,1.0,2,0,0,25,0,5,0,0,0
face,hetero,HSDS_MCMC(iter_sampling=2000),max,5,3,0,0,0.940068493150685,1.0,2,0,0,30,0,7,0,0,0
face,hetero,HSDS_MCMC(iter_sampling=3000),max,5,3,0,1,0.898972602739726,1.0,0,0,0,0,0,0,0,0,0
face,hetero,EMDS,max,5,3,1,-1,0.9417808219178082,0.9931506849315068,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,GLAD,max,5,3,1,-1,0.773972602739726,0.8561643835616438,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,OneCoinDS,max,5,3,1,-1,0.6592465753424658,0.9041095890410958,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,HSDS_EM,max,5,3,1,-1,0.7431506849315068,0.9657534246575342,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,BDS(iter_sampling=1000),max,5,3,1,0,0.4931506849315068,0.8698630136986302,4,59,82,80,91,12,10,6,12
face,hetero,BDS(iter_sampling=2000),max,5,3,1,0,0.886986301369863,1.0,4,18,62,30,76,9,6,0,6
face,hetero,BDS(iter_sampling=3000),max,5,3,1,0,0.9246575342465754,1.0,3,51,65,75,16,7,7,6,0
face,hetero,HSDS_MCMC(iter_sampling=1000),max,5,3,1,1,0.898972602739726,1.0,0,0,0,0,0,0,0,0,0
face,hetero,HSDS_MCMC(iter_sampling=2000),max,5,3,1,0,0.9058219178082192,1.0,2,0,0,19,0,4,0,0,0
face,hetero,HSDS_MCMC(iter_sampling=3000),max,5,3,1,0,0.9058219178082192,1.0,2,0,0,18,0,4,0,0,0
face,hetero,EMDS,max,5,3,2,-1,0.9417808219178082,0.9931506849315068,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,GLAD,max,5,3,2,-1,0.773972602739726,0.8561643835616438,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,OneCoinDS,max,5,3,2,-1,0.6592465753424658,0.9041095890410958,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,HSDS_EM,max,5,3,2,-1,0.7431506849315068,0.9657534246575342,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,BDS(iter_sampling=1000),max,5,3,2,0,0.916095890410959,1.0,4,33,72,26,77,12,7,0,6
face,hetero,BDS(iter_sampling=2000),max,5,3,2,0,0.9537671232876712,1.0,4,66,77,49,83,9,7,6,9
face,hetero,BDS(iter_sampling=3000),max,5,3,2,0,0.4948630136986301,0.0,4,82,81,69,84,7,9,12,9
face,hetero,HSDS_MCMC(iter_sampling=1000),max,5,3,2,0,0.9075342465753424,1.0,2,0,0,25,0,6,0,0,0
face,hetero,HSDS_MCMC(iter_sampling=2000),max,5,3,2,1,0.898972602739726,1.0,0,0,0,0,0,0,0,0,0
face,hetero,HSDS_MCMC(iter_sampling=3000),max,5,3,2,0,0.9058219178082192,1.0,2,0,0,14,0,4,0,0,0
face,hetero,EMDS,max,5,3,3,-1,0.9417808219178082,0.9931506849315068,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,GLAD,max,5,3,3,-1,0.773972602739726,0.8561643835616438,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,OneCoinDS,max,5,3,3,-1,0.6592465753424658,0.9041095890410958,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,HSDS_EM,max,5,3,3,-1,0.7431506849315068,0.9657534246575342,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,BDS(iter_sampling=1000),max,5,3,3,0,0.9075342465753424,1.0,4,1,72,24,74,7,6,0,6
face,hetero,BDS(iter_sampling=2000),max,5,3,3,0,0.9075342465753424,0.8287671232876712,4,72,80,75,47,12,9,6,3
face,hetero,BDS(iter_sampling=3000),max,5,3,3,0,0.9777397260273972,1.0,4,53,62,75,37,9,4,6,0
