dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,recall,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3
face,hetero,EMDS,mean,5,3,0,-1,0.7277397260273972,0.9315068493150684,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,GLAD,mean,5,3,0,-1,0.666095890410959,0.8835616438356164,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,OneCoinDS,mean,5,3,0,-1,0.6198630136986302,0.9315068493150684,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,HSDS_EM,mean,5,3,0,-1,0.6712328767123288,0.9452054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,BDS(iter_sampling=1000),mean,5,3,0,0,0.6832191780821918,0.9383561643835616,2,69,70,0,0,11,10,0,0
face,hetero,BDS(iter_sampling=2000),mean,5,3,0,0,0.678082191780822,0.952054794520548,2,4,46,0,62,0,8,0,7
face,hetero,BDS(iter_sampling=3000),mean,5,3,0,1,0.6832191780821918,0.952054794520548,0,0,0,0,0,0,0,0,0
face,hetero,HSDS_MCMC(iter_sampling=1000),mean,5,3,0,1,0.6832191780821918,0.952054794520548,0,0,0,0,0,0,0,0,0
face,hetero,HSDS_MCMC(iter_sampling=2000),mean,5,3,0,1,0.6832191780821918,0.952054794520548,0,0,0,0,0,0,0,0,0
face,hetero,HSDS_MCMC(iter_sampling=3000),mean,5,3,0,1,0.6832191780821918,0.952054794520548,0,0,0,0,0,0,0,0,0
face,hetero,EMDS,mean,5,3,1,-1,0.7277397260273972,0.9315068493150684,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,GLAD,mean,5,3,1,-1,0.666095890410959,0.8835616438356164,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,OneCoinDS,mean,5,3,1,-1,0.6198630136986302,0.9315068493150684,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hetero,HSDS_EM,mean,5,3,1,-1,0.6712328767123288,0.9452054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
