dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,recall,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3
face,homo,EMDS,+sigma,5,3,0,-1,0.8835616438356164,0.9246575342465754,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,GLAD,+sigma,5,3,0,-1,0.7174657534246576,0.821917808219178,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,OneCoinDS,+sigma,5,3,0,-1,0.6523972602739726,0.9315068493150684,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,HSDS_EM,+sigma,5,3,0,-1,0.7037671232876712,0.9452054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,BDS(iter_sampling=1000),+sigma,5,3,0,0,0.8921232876712328,0.9726027397260274,3,68,70,1,0,6,7,0,0
face,homo,BDS(iter_sampling=2000),+sigma,5,3,0,0,0.8886986301369864,0.9726027397260274,3,50,68,0,75,11,7,0,8
face,homo,BDS(iter_sampling=3000),+sigma,5,3,0,0,0.8784246575342466,0.9726027397260274,2,0,71,83,45,0,11,11,10
face,homo,HSDS_MCMC(iter_sampling=1000),+sigma,5,3,0,1,0.8852739726027398,0.9726027397260274,0,0,0,0,0,0,0,0,0
face,homo,HSDS_MCMC(iter_sampling=2000),+sigma,5,3,0,1,0.8852739726027398,0.9726027397260274,0,0,0,0,0,0,0,0,0
face,homo,HSDS_MCMC(iter_sampling=3000),+sigma,5,3,0,1,0.886986301369863,0.9726027397260274,0,0,0,0,0,0,0,0,0
face,homo,EMDS,+sigma,5,3,1,-1,0.8835616438356164,0.9246575342465754,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,GLAD,+sigma,5,3,1,-1,0.7174657534246576,0.821917808219178,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,OneCoinDS,+sigma,5,3,1,-1,0.6523972602739726,0.9315068493150684,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,HSDS_EM,+sigma,5,3,1,-1,0.7037671232876712,0.9452054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,BDS(iter_sampling=1000),+sigma,5,3,1,0,0.6352739726027398,0.9726027397260274,3,52,0,67,54,9,0,11,10
face,homo,BDS(iter_sampling=2000),+sigma,5,3,1,0,0.8904109589041096,0.9657534246575342,4,84,68,1,55,11,7,1,10
face,homo,BDS(iter_sampling=3000),+sigma,5,3,1,0,0.523972602739726,0.0136986301369863,3,53,70,0,81,11,7,0,10
face,homo,HSDS_MCMC(iter_sampling=1000),+sigma,5,3,1,1,0.886986301369863,0.9726027397260274,0,0,0,0,0,0,0,0,0
face,homo,HSDS_MCMC(iter_sampling=2000),+sigma,5,3,1,1,0.8852739726027398,0.9726027397260274,0,0,0,0,0,0,0,0,0
face,homo,HSDS_MCMC(iter_sampling=3000),+sigma,5,3,1,1,0.886986301369863,0.9726027397260274,0,0,0,0,0,0,0,0,0
face,homo,EMDS,+sigma,5,3,2,-1,0.8835616438356164,0.9246575342465754,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,GLAD,+sigma,5,3,2,-1,0.7174657534246576,0.821917808219178,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,OneCoinDS,+sigma,5,3,2,-1,0.6523972602739726,0.9315068493150684,-1,-1,-1,-1,-1,-1,-1,-1,-1
