dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,recall,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3
face,hybrid,EMDS,+sigma,3,6,0,-1,0.9845890410958904,0.9931506849315068,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,GLAD,+sigma,3,6,0,-1,0.7517123287671232,0.03424657534246575,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,OneCoinDS,+sigma,3,6,0,-1,0.7465753424657534,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,HSDS_EM,+sigma,3,6,0,-1,0.9657534246575342,0.9726027397260274,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,BDS(iter_sampling=1000),+sigma,3,6,0,0,0.5171232876712328,0.0958904109589041,4,48,66,70,71,24,21,24,23
face,hybrid,BDS(iter_sampling=2000),+sigma,3,6,0,0,0.4897260273972603,0.0,3,41,66,67,74,24,19,22,22
face,hybrid,BDS(iter_sampling=3000),+sigma,3,6,0,0,0.9845890410958904,0.9931506849315068,3,29,79,62,52,24,23,19,18
face,hybrid,HSDS_MCMC(iter_sampling=1000),+sigma,3,6,0,1,0.9828767123287672,0.9931506849315068,0,0,0,0,0,0,0,0,0
face,hybrid,HSDS_MCMC(iter_sampling=2000),+sigma,3,6,0,1,0.9828767123287672,0.9931506849315068,0,0,0,0,0,0,0,0,0
face,hybrid,HSDS_MCMC(iter_sampling=3000),+sigma,3,6,0,1,0.9828767123287672,0.9931506849315068,0,0,0,0,0,0,0,0,0
face,hybrid,EMDS,+sigma,3,6,1,-1,0.9845890410958904,0.9931506849315068,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,GLAD,+sigma,3,6,1,-1,0.7517123287671232,0.03424657534246575,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,OneCoinDS,+sigma,3,6,1,-1,0.7465753424657534,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,HSDS_EM,+sigma,3,6,1,-1,0.9657534246575342,0.9726027397260274,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,BDS(iter_sampling=1000),+sigma,3,6,1,0,0.7756849315068494,0.2945205479452055,2,30,53,48,51,24,7,19,19
face,hybrid,BDS(iter_sampling=2000),+sigma,3,6,1,0,0.7448630136986302,0.0,2,43,56,38,42,24,7,18,18
face,hybrid,BDS(iter_sampling=3000),+sigma,3,6,1,0,0.7226027397260274,0.0,4,11,56,69,64,21,17,20,19
face,hybrid,HSDS_MCMC(iter_sampling=1000),+sigma,3,6,1,1,0.9828767123287672,0.9931506849315068,0,0,0,0,0,0,0,0,0
face,hybrid,HSDS_MCMC(iter_sampling=2000),+sigma,3,6,1,1,0.9828767123287672,0.9931506849315068,0,0,0,0,0,0,0,0,0
face,hybrid,HSDS_MCMC(iter_sampling=3000),+sigma,3,6,1,1,0.9828767123287672,0.9931506849315068,0,0,0,0,0,0,0,0,0
face,hybrid,EMDS,+sigma,3,6,2,-1,0.9845890410958904,0.9931506849315068,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,GLAD,+sigma,3,6,2,-1,0.7517123287671232,0.03424657534246575,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,OneCoinDS,+sigma,3,6,2,-1,0.7465753424657534,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,HSDS_EM,+sigma,3,6,2,-1,0.9657534246575342,0.9726027397260274,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,BDS(iter_sampling=1000),+sigma,3,6,2,0,0.3904109589041096,0.0,4,17,80,50,75,22,23,18,23
face,hybrid,BDS(iter_sampling=2000),+sigma,3,6,2,0,0.6523972602739726,0.9726027397260274,4,45,51,59,73,24,10,23,22
face,hybrid,BDS(iter_sampling=3000),+sigma,3,6,2,0,0.9845890410958904,0.9863013698630136,2,25,47,0,0,24,7,0,0
face,hybrid,HSDS_MCMC(iter_sampling=1000),+sigma,3,6,2,1,0.9828767123287672,0.9931506849315068,0,0,0,0,0,0,0,0,0
face,hybrid,HSDS_MCMC(iter_sampling=2000),+sigma,3,6,2,1,0.9828767123287672,0.9931506849315068,0,0,0,0,0,0,0,0,0
face,hybrid,HSDS_MCMC(iter_sampling=3000),+sigma,3,6,2,1,0.9828767123287672,0.9931506849315068,0,0,0,0,0,0,0,0,0
face,hybrid,EMDS,+sigma,3,6,3,-1,0.9845890410958904,0.9931506849315068,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,GLAD,+sigma,3,6,3,-1,0.7517123287671232,0.03424657534246575,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,OneCoinDS,+sigma,3,6,3,-1,0.7465753424657534,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
