dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,recall,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3
face,hybrid,EMDS,-sigma,3,6,0,-1,0.8184931506849316,0.8904109589041096,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,GLAD,-sigma,3,6,0,-1,0.6815068493150684,0.8561643835616438,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,OneCoinDS,-sigma,3,6,0,-1,0.5976027397260274,0.958904109589041,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,HSDS_EM,-sigma,3,6,0,-1,0.7003424657534246,0.9452054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,BDS(iter_sampling=1000),-sigma,3,6,0,1,0.6986301369863014,0.9657534246575342,0,0,0,0,0,0,0,0,0
face,hybrid,BDS(iter_sampling=2000),-sigma,3,6,0,1,0.6986301369863014,0.9657534246575342,0,0,0,0,0,0,0,0,0
face,hybrid,BDS(iter_sampling=3000),-sigma,3,6,0,1,0.6986301369863014,0.9657534246575342,0,0,0,0,0,0,0,0,0
face,hybrid,HSDS_MCMC(iter_sampling=1000),-sigma,3,6,0,1,0.6986301369863014,0.9657534246575342,0,0,0,0,0,0,0,0,0
face,hybrid,HSDS_MCMC(iter_sampling=2000),-sigma,3,6,0,1,0.6986301369863014,0.9657534246575342,0,0,0,0,0,0,0,0,0
face,hybrid,HSDS_MCMC(iter_sampling=3000),-sigma,3,6,0,1,0.6986301369863014,0.9657534246575342,0,0,0,0,0,0,0,0,0
face,hybrid,EMDS,-sigma,3,6,1,-1,0.8184931506849316,0.8904109589041096,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,GLAD,-sigma,3,6,1,-1,0.6815068493150684,0.8561643835616438,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,OneCoinDS,-sigma,3,6,1,-1,0.5976027397260274,0.958904109589041,-1,-1,-1,-1,-1,-1,-1,-1,-1
