dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,recall,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3
face,hybrid,EMDS,max,3,6,0,-1,1.0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,GLAD,max,3,6,0,-1,0.75,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,OneCoinDS,max,3,6,0,-1,0.75,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,HSDS_EM,max,3,6,0,-1,0.9948630136986302,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,BDS(iter_sampling=1000),max,3,6,0,0,0.75,0.0,3,11,51,35,55,24,8,12,12
face,hybrid,BDS(iter_sampling=2000),max,3,6,0,0,0.5,0.0,0,66,54,0,37,13,12,0,10
face,hybrid,BDS(iter_sampling=3000),max,3,6,0,0,0.75,0.0,2,61,64,0,61,24,13,0,13
face,hybrid,HSDS_MCMC(iter_sampling=1000),max,3,6,0,1,1.0,1.0,0,0,0,0,0,0,0,0,0
face,hybrid,HSDS_MCMC(iter_sampling=2000),max,3,6,0,1,1.0,1.0,0,0,0,0,0,0,0,0,0
face,hybrid,HSDS_MCMC(iter_sampling=3000),max,3,6,0,1,1.0,1.0,0,0,0,0,0,0,0,0,0
face,hybrid,EMDS,max,3,6,1,-1,1.0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,GLAD,max,3,6,1,-1,0.75,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,OneCoinDS,max,3,6,1,-1,0.75,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,HSDS_EM,max,3,6,1,-1,0.9948630136986302,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,BDS(iter_sampling=1000),max,3,6,1,0,1.0,1.0,2,42,43,60,46,24,8,16,12
face,hybrid,BDS(iter_sampling=2000),max,3,6,1,0,1.0,1.0,0,40,0,38,39,10,0,12,10
face,hybrid,BDS(iter_sampling=3000),max,3,6,1,0,0.75,1.0,3,26,63,48,82,24,13,12,18
face,hybrid,HSDS_MCMC(iter_sampling=1000),max,3,6,1,1,1.0,1.0,0,0,0,0,0,0,0,0,0
face,hybrid,HSDS_MCMC(iter_sampling=2000),max,3,6,1,1,1.0,1.0,0,0,0,0,0,0,0,0,0
face,hybrid,HSDS_MCMC(iter_sampling=3000),max,3,6,1,1,1.0,1.0,0,0,0,0,0,0,0,0,0
face,hybrid,EMDS,max,3,6,2,-1,1.0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,GLAD,max,3,6,2,-1,0.75,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,OneCoinDS,max,3,6,2,-1,0.75,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,HSDS_EM,max,3,6,2,-1,0.9948630136986302,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,hybrid,BDS(iter_sampling=1000),max,3,6,2,0,1.0,1.0,0,40,0,37,0,10,0,10,0
face,hybrid,BDS(iter_sampling=2000),max,3,6,2,0,0.75,0.0,4,41,75,60,36,24,13,13,11
face,hybrid,BDS(iter_sampling=3000),max,3,6,2,0,0.75,0.0,2,53,0,36,46,24,0,10,11
face,hybrid,HSDS_MCMC(iter_sampling=1000),max,3,6,2,1,1.0,1.0,0,0,0,0,0,0,0,0,0
face,hybrid,HSDS_MCMC(iter_sampling=2000),max,3,6,2,1,1.0,1.0,0,0,0,0,0,0,0,0,0
face,hybrid,HSDS_MCMC(iter_sampling=3000),max,3,6,2,1,1.0,1.0,0,0,0,0,0,0,0,0,0
