dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,recall,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pih_4,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3,uc_pia_4
tiny,hybrid,EMDS,max,2,8,0,-1,0.9992,0.996,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hybrid,GLAD,max,2,8,0,-1,0.8,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hybrid,OneCoinDS,max,2,8,0,-1,0.8,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hybrid,HSDS_EM,max,2,8,0,-1,0.9992,0.996,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hybrid,BDS(iter_sampling=1000),max,2,8,0,0,0.6,0.0,2,353,458,521,406,321,40,18,29,24,14
tiny,hybrid,BDS(iter_sampling=2000),max,2,8,0,0,0.6,0.0,4,270,458,458,578,319,40,24,18,25,14
tiny,hybrid,BDS(iter_sampling=3000),max,2,8,0,0,0.8,0.0,3,269,633,495,408,484,40,32,18,24,18
tiny,hybrid,HSDS_MCMC(iter_sampling=1000),max,2,8,0,0,1.0,1.0,0,0,313,156,404,0,0,16,16,24,0
tiny,hybrid,HSDS_MCMC(iter_sampling=2000),max,2,8,0,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
tiny,hybrid,HSDS_MCMC(iter_sampling=3000),max,2,8,0,0,1.0,1.0,3,0,314,102,152,219,0,16,16,39,16
tiny,hybrid,EMDS,max,2,8,1,-1,0.9992,0.996,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hybrid,GLAD,max,2,8,1,-1,0.8,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hybrid,OneCoinDS,max,2,8,1,-1,0.8,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hybrid,HSDS_EM,max,2,8,1,-1,0.9992,0.996,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hybrid,BDS(iter_sampling=1000),max,2,8,1,0,0.6,1.0,0,317,0,405,215,543,14,0,24,16,29
tiny,hybrid,BDS(iter_sampling=2000),max,2,8,1,0,0.8,0.0,3,294,462,510,0,267,40,18,22,0,16
tiny,hybrid,BDS(iter_sampling=3000),max,2,8,1,0,0.8,0.0,3,427,399,520,554,326,40,24,18,25,14
tiny,hybrid,HSDS_MCMC(iter_sampling=1000),max,2,8,1,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
tiny,hybrid,HSDS_MCMC(iter_sampling=2000),max,2,8,1,0,1.0,1.0,2,51,0,0,0,266,40,0,0,0,15
tiny,hybrid,HSDS_MCMC(iter_sampling=3000),max,2,8,1,0,1.0,1.0,2,35,0,0,0,225,40,0,0,0,15
tiny,hybrid,EMDS,max,2,8,2,-1,0.9992,0.996,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hybrid,GLAD,max,2,8,2,-1,0.8,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hybrid,OneCoinDS,max,2,8,2,-1,0.8,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hybrid,HSDS_EM,max,2,8,2,-1,0.9992,0.996,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hybrid,BDS(iter_sampling=1000),max,2,8,2,0,1.0,1.0,2,317,480,524,551,452,40,32,29,25,24
