dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,biased_accuracy,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pih_4,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3,uc_pia_4
tiny,hybrid,EMDS,mean,2,8,0,-1,0.9996,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hybrid,GLAD,mean,2,8,0,-1,0.8028,0.014,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hybrid,OneCoinDS,mean,2,8,0,-1,0.8,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hybrid,TwoStep-EM,mean,2,8,0,-1,0.9896,0.996,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hybrid,BDS(iter_sampling=1000),mean,2,8,0,0,0.992,1.0,4,321,484,376,359,0,40,35,35,31,0
tiny,hybrid,BDS(iter_sampling=2000),mean,2,8,0,0,0.6168,0.086,3,293,454,589,433,506,40,31,35,35,40
tiny,hybrid,BDS(iter_sampling=3000),mean,2,8,0,0,0.2096,0.0,3,29,449,410,533,476,40,39,36,35,34
tiny,hybrid,Two-Step-MCMC(iter_sampling=1000),mean,2,8,0,1,0.9992,1.0,0,0,0,0,0,0,0,0,0,0,0
tiny,hybrid,Two-Step-MCMC(iter_sampling=2000),mean,2,8,0,1,0.9992,1.0,0,0,0,0,0,0,0,0,0,0,0
tiny,hybrid,Two-Step-MCMC(iter_sampling=3000),mean,2,8,0,1,0.9992,1.0,0,0,0,0,0,0,0,0,0,0,0
tiny,hybrid,EMDS,mean,2,8,1,-1,0.9996,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hybrid,GLAD,mean,2,8,1,-1,0.8028,0.014,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hybrid,OneCoinDS,mean,2,8,1,-1,0.8,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hybrid,TwoStep-EM,mean,2,8,1,-1,0.9896,0.996,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hybrid,BDS(iter_sampling=1000),mean,2,8,1,0,0.5996,1.0,3,504,360,499,412,315,35,28,38,39,24
tiny,hybrid,BDS(iter_sampling=2000),mean,2,8,1,0,0.61,0.114,2,462,225,492,544,425,40,15,32,38,35
tiny,hybrid,BDS(iter_sampling=3000),mean,2,8,1,0,0.912,0.56,2,324,341,311,150,0,40,23,28,27,0
tiny,hybrid,Two-Step-MCMC(iter_sampling=1000),mean,2,8,1,1,0.9992,1.0,0,0,0,0,0,0,0,0,0,0,0
tiny,hybrid,Two-Step-MCMC(iter_sampling=2000),mean,2,8,1,0,0.9992,1.0,0,0,0,157,149,0,0,0,27,27,0
tiny,hybrid,Two-Step-MCMC(iter_sampling=3000),mean,2,8,1,1,0.9992,1.0,0,0,0,0,0,0,0,0,0,0,0
tiny,hybrid,EMDS,mean,2,8,2,-1,0.9996,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hybrid,GLAD,mean,2,8,2,-1,0.8028,0.014,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hybrid,OneCoinDS,mean,2,8,2,-1,0.8,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hybrid,TwoStep-EM,mean,2,8,2,-1,0.9896,0.996,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tiny,hybrid,BDS(iter_sampling=1000),mean,2,8,2,0,0.5912,1.0,2,52,309,493,409,525,40,28,32,34,38
tiny,hybrid,BDS(iter_sampling=2000),mean,2,8,2,0,0.6,0.0,3,351,491,310,639,319,40,35,25,40,24
tiny,hybrid,BDS(iter_sampling=3000),mean,2,8,2,0,0.6004,0.0,0,484,305,334,526,460,35,28,22,37,32
tiny,hybrid,Two-Step-MCMC(iter_sampling=1000),mean,2,8,2,0,0.9992,1.0,0,0,0,157,149,0,0,0,27,27,0
tiny,hybrid,Two-Step-MCMC(iter_sampling=2000),mean,2,8,2,1,0.9992,1.0,0,0,0,0,0,0,0,0,0,0,0
tiny,hybrid,Two-Step-MCMC(iter_sampling=3000),mean,2,8,2,0,0.9424,1.0,0,0,0,208,212,0,0,0,30,29,0
