dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,recall,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pih_4,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3,uc_pia_4
adult,hetero,CBCC_M=2,-sigma,3,4,0,-1,0.8668012108980827,0.5737704918032787,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_M=4,-sigma,3,4,0,-1,0.8688193743693239,0.5737704918032787,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_M=8,-sigma,3,4,0,-1,0.8708375378405651,0.5737704918032787,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_M=2,-sigma,3,4,1,-1,0.6296670030272452,0.4918032786885246,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_M=4,-sigma,3,4,1,-1,0.8688193743693239,0.5737704918032787,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_M=8,-sigma,3,4,1,-1,0.6387487386478304,0.5245901639344263,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_M=2,-sigma,3,4,2,-1,0.6266397578203835,0.47540983606557374,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_M=4,-sigma,3,4,2,-1,0.8688193743693239,0.5737704918032787,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_M=8,-sigma,3,4,2,-1,0.8718466195761857,0.5737704918032787,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_M=2,-sigma,3,4,3,-1,0.8718466195761857,0.5737704918032787,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_M=4,-sigma,3,4,3,-1,0.8688193743693239,0.5737704918032787,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_M=8,-sigma,3,4,3,-1,0.8688193743693239,0.5737704918032787,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_M=2,-sigma,3,4,4,-1,0.8668012108980827,0.5737704918032787,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_M=4,-sigma,3,4,4,-1,0.8688193743693239,0.5737704918032787,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_M=8,-sigma,3,4,4,-1,0.8768920282542886,0.5737704918032787,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_M=2,-sigma,3,8,0,-1,0.9334006054490414,0.9344262295081968,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_M=4,-sigma,3,8,0,-1,0.9313824419778002,0.9508196721311475,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_M=8,-sigma,3,8,0,-1,0.9323915237134208,0.9344262295081968,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_M=2,-sigma,3,8,1,-1,0.9334006054490414,0.9344262295081968,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_M=4,-sigma,3,8,1,-1,0.9313824419778002,0.9508196721311475,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_M=8,-sigma,3,8,1,-1,0.9354187689202825,0.9344262295081968,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_M=2,-sigma,3,8,2,-1,0.9303733602421796,0.9508196721311475,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_M=4,-sigma,3,8,2,-1,0.9313824419778002,0.9508196721311475,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_M=8,-sigma,3,8,2,-1,0.9323915237134208,0.9344262295081968,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_M=2,-sigma,3,8,3,-1,0.9303733602421796,0.9508196721311475,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_M=4,-sigma,3,8,3,-1,0.9313824419778002,0.9508196721311475,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_M=8,-sigma,3,8,3,-1,0.9323915237134208,0.9508196721311475,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_M=2,-sigma,3,8,4,-1,0.934409687184662,0.9344262295081968,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_M=4,-sigma,3,8,4,-1,0.9313824419778002,0.9508196721311475,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_M=8,-sigma,3,8,4,-1,0.9374369323915237,0.9344262295081968,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_M=2,-sigma,3,12,0,-1,0.9798183652875883,0.9672131147540983,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_M=4,-sigma,3,12,0,-1,0.9798183652875883,0.9672131147540983,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_M=8,-sigma,3,12,0,-1,0.9798183652875883,0.9836065573770492,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_M=2,-sigma,3,12,1,-1,0.9798183652875883,0.9672131147540983,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_M=4,-sigma,3,12,1,-1,0.9808274470232089,0.9836065573770492,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_M=8,-sigma,3,12,1,-1,0.6851664984863775,0.6557377049180327,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_M=2,-sigma,3,12,2,-1,0.9798183652875883,0.9672131147540983,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_M=4,-sigma,3,12,2,-1,0.9798183652875883,0.9672131147540983,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_M=8,-sigma,3,12,2,-1,0.9798183652875883,0.9672131147540983,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_M=2,-sigma,3,12,3,-1,0.9798183652875883,0.9672131147540983,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_M=4,-sigma,3,12,3,-1,0.9798183652875883,0.9836065573770492,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_M=8,-sigma,3,12,3,-1,0.851664984863774,0.9180327868852459,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_M=2,-sigma,3,12,4,-1,0.9808274470232089,0.9672131147540983,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_M=4,-sigma,3,12,4,-1,0.9798183652875883,0.9672131147540983,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_M=8,-sigma,3,12,4,-1,0.900100908173562,0.9180327868852459,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_M=2,-sigma,3,16,0,-1,0.9334006054490414,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_M=4,-sigma,3,16,0,-1,0.9334006054490414,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_M=8,-sigma,3,16,0,-1,0.9334006054490414,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_M=2,-sigma,3,16,1,-1,0.9334006054490414,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_M=4,-sigma,3,16,1,-1,0.9334006054490414,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_M=8,-sigma,3,16,1,-1,0.9334006054490414,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_M=2,-sigma,3,16,2,-1,0.9334006054490414,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_M=4,-sigma,3,16,2,-1,0.9334006054490414,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_M=8,-sigma,3,16,2,-1,0.9334006054490414,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_M=2,-sigma,3,16,3,-1,0.9334006054490414,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_M=4,-sigma,3,16,3,-1,0.9334006054490414,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_M=8,-sigma,3,16,3,-1,0.9334006054490414,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_M=2,-sigma,3,16,4,-1,0.9334006054490414,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_M=4,-sigma,3,16,4,-1,0.9334006054490414,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_M=8,-sigma,3,16,4,-1,0.9323915237134208,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_M=2,-sigma,3,20,0,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_M=4,-sigma,3,20,0,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_M=8,-sigma,3,20,0,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_M=2,-sigma,3,20,1,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_M=4,-sigma,3,20,1,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_M=8,-sigma,3,20,1,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_M=2,-sigma,3,20,2,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_M=4,-sigma,3,20,2,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_M=8,-sigma,3,20,2,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_M=2,-sigma,3,20,3,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_M=4,-sigma,3,20,3,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_M=8,-sigma,3,20,3,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_M=2,-sigma,3,20,4,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_M=4,-sigma,3,20,4,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_M=8,-sigma,3,20,4,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_M=2,-sigma,3,24,0,-1,0.9374369323915237,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_M=4,-sigma,3,24,0,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_M=8,-sigma,3,24,0,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
