dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,recall,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pih_4,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3,uc_pia_4
adult,hetero,CBCC_C=2,mean,5,4,0,-1,0.987891019172553,0.8852459016393442,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_C=4,mean,5,4,0,-1,0.987891019172553,0.8852459016393442,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_C=8,mean,5,4,0,-1,0.9868819374369324,0.8852459016393442,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_C=2,mean,5,4,1,-1,0.987891019172553,0.8852459016393442,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_C=4,mean,5,4,1,-1,0.987891019172553,0.8852459016393442,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_C=8,mean,5,4,1,-1,0.987891019172553,0.8852459016393442,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_C=2,mean,5,4,2,-1,0.987891019172553,0.8852459016393442,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_C=4,mean,5,4,2,-1,0.987891019172553,0.8852459016393442,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_C=8,mean,5,4,2,-1,0.987891019172553,0.9016393442622951,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_C=2,mean,5,4,3,-1,0.987891019172553,0.8852459016393442,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_C=4,mean,5,4,3,-1,0.987891019172553,0.8852459016393442,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_C=8,mean,5,4,3,-1,0.987891019172553,0.8852459016393442,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_C=2,mean,5,4,4,-1,0.987891019172553,0.8852459016393442,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_C=4,mean,5,4,4,-1,0.987891019172553,0.8852459016393442,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_C=8,mean,5,4,4,-1,0.9868819374369324,0.8852459016393442,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_C=2,mean,5,8,0,-1,1.0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_C=4,mean,5,8,0,-1,1.0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_C=8,mean,5,8,0,-1,1.0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_C=2,mean,5,8,1,-1,1.0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_C=4,mean,5,8,1,-1,1.0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_C=8,mean,5,8,1,-1,1.0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_C=2,mean,5,8,2,-1,1.0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_C=4,mean,5,8,2,-1,1.0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_C=8,mean,5,8,2,-1,1.0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_C=2,mean,5,8,3,-1,1.0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_C=4,mean,5,8,3,-1,1.0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_C=8,mean,5,8,3,-1,1.0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_C=2,mean,5,8,4,-1,1.0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,hetero,CBCC_C=4,mean,5,8,4,-1,1.0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
